# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    9.5555e-01    -1.9119e-02    2.4643e-01    9.8531e-01    7.8021e-02    1.6237e+01    1.6010e+01
2.4388e-15    2.0815e+00    -6.1805e-01    3.2077e-01    9.8531e-01    7.8021e-02    9.4721e+00    9.2319e+00
4.3030e-15    1.7626e+00    2.7194e-01    4.1856e-01    9.8531e-01    7.8021e-02    5.5158e+00    5.3299e+00
7.5922e-15    1.4960e+00    -3.3932e-01    5.4780e-01    9.8531e-01    7.8021e-02    3.2037e+00    3.0800e+00
1.3396e-14    1.8793e+00    -5.4968e-01    7.1990e-01    9.8531e-01    7.8021e-02    1.8511e+00    1.7759e+00
2.3635e-14    2.1008e+00    -4.1871e-01    9.4735e-01    9.8531e-01    7.8021e-02    1.0665e+00    1.0209e+00
4.1702e-14    4.5627e+00    2.5867e+00    1.2490e+00    9.8531e-01    7.8021e-02    6.1295e-01    5.8614e-01
7.3580e-14    6.0524e+00    1.3369e-01    1.6474e+00    9.8531e-01    7.8021e-02    3.5218e-01    3.3662e-01
1.2982e-13    1.1581e+01    -2.2653e+00    2.1738e+00    9.8531e-01    7.8021e-02    2.0215e-01    1.9310e-01
2.2906e-13    1.1596e+01    1.4464e+00    2.8688e+00    9.8531e-01    7.8021e-02    1.1594e-01    1.1064e-01
4.0416e-13    2.0594e+01    -5.0401e+00    3.7900e+00    9.8531e-01    7.8021e-02    6.6521e-02    6.3560e-02
7.1310e-13    1.9756e+01    6.8936e+00    5.0282e+00    9.8531e-01    7.8021e-02    3.7708e-02    3.5950e-02
1.2582e-12    1.8127e+01    -3.1647e+00    6.6523e+00    9.8531e-01    7.8021e-02    2.1558e-02    2.0567e-02
2.2200e-12    1.9889e+01    1.5126e+01    8.9570e+00    9.8531e-01    7.8021e-02    1.1932e-02    1.1422e-02
3.9169e-12    -7.0445e+00    -7.4903e+00    1.2097e+01    9.8531e-01    7.8021e-02    6.5453e-03    6.2697e-03
