# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    2.2172e+00    -2.9585e-02    1.2619e-01    9.8531e-01    7.8021e-02    7.7975e+01    9.6816e+01
2.4388e-15    2.5314e+00    -1.4604e-01    1.5876e-01    9.8531e-01    7.8021e-02    4.5771e+01    5.2805e+01
4.3030e-15    3.0663e+00    2.3323e-01    2.0173e-01    9.8531e-01    7.8021e-02    2.6709e+01    2.9029e+01
7.5922e-15    3.9325e+00    1.6066e-02    2.5860e-01    9.8531e-01    7.8021e-02    1.5550e+01    1.6171e+01
1.3396e-14    3.9778e+00    1.9977e-01    3.3372e-01    9.8531e-01    7.8021e-02    9.0350e+00    9.0914e+00
2.3635e-14    5.3758e+00    -5.0579e-02    4.3444e-01    9.8531e-01    7.8021e-02    5.2282e+00    5.1589e+00
4.1702e-14    6.3737e+00    -5.6923e-01    5.6863e-01    9.8531e-01    7.8021e-02    3.0187e+00    2.9464e+00
7.3580e-14    6.8686e+00    -4.1421e-01    7.4645e-01    9.8531e-01    7.8021e-02    1.7384e+00    1.6838e+00
1.2982e-13    1.1646e+01    -8.0388e-01    9.8155e-01    9.8531e-01    7.8021e-02    1.0003e+00    9.6405e-01
2.2906e-13    9.7297e+00    2.1660e-01    1.2923e+00    9.8531e-01    7.8021e-02    5.7577e-01    5.5360e-01
4.0416e-13    1.3346e+01    2.7156e+00    1.7027e+00    9.8531e-01    7.8021e-02    3.3111e-01    3.1785e-01
7.1310e-13    1.5258e+01    2.3778e-01    2.2443e+00    9.8531e-01    7.8021e-02    1.9005e-01    1.8193e-01
1.2582e-12    2.3956e+01    -3.7640e+00    2.9656e+00    9.8531e-01    7.8021e-02    1.0875e-01    1.0402e-01
2.2200e-12    2.8569e+01    5.9752e+00    3.9166e+00    9.8531e-01    7.8021e-02    6.2270e-02    5.9480e-02
3.9169e-12    3.5815e+01    -1.5830e+00    5.2533e+00    9.8531e-01    7.8021e-02    3.4641e-02    3.3118e-02
