# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.382201932178117638e-15 1.779477067954294070e-02 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.438762430455725505e-15 3.047678277766209184e-03 1.358965024116031706e-01 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.302961856542886968e-15 2.053131427432968066e-03 7.153243152288048246e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.592162527861749358e-15 1.238239207097497924e-03 3.343777134359714187e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.339564090297987229e-14 6.788083453861607896e-04 1.406730210722027113e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.363532057474613662e-14 3.558251390445003491e-04 5.632286665129188075e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.170225095738051496e-14 1.905545477295710684e-04 2.295717268088616481e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.357961274155570078e-14 7.026447768322892677e-05 6.425612988056688367e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.298241530590361534e-13 1.969056351716767493e-05 1.365623037483832281e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.290622373441387703e-13 2.528828118651626990e-05 1.330726091443542908e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.041582967480835065e-13 -1.538908974208084339e-05 -6.142095176771291917e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.130984605939525963e-13 7.520575245256786009e-06 2.265560405678155971e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.258193679538452461e-12 6.495421160244570463e-05 1.475346732957703746e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.219961790286235902e-12 9.438341457331942059e-05 1.603627179825283238e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 3.916909161504292686e-12 1.566418218316675045e-04 1.973721244129569537e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.382201932178117638e-15 3.047678277766209184e-03 1.358965024116031706e-01 9.708287439144076547e-01
