cluster,z,r_kpc,M_NFW_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC,r_over_r500,r_over_r200
A209,0.206,10.0000,3.227595e+11,4.780895e+10,6.663991e-11,4.498878e-10,1.268453e-10,-10.1763,-9.3469,-9.8967,0.0070,0.0046
A209,0.206,10.5931,3.616278e+11,5.376803e+10,6.678923e-11,4.492045e-10,1.270338e-10,-10.1753,-9.3476,-9.8961,0.0074,0.0048
A209,0.206,11.2213,4.051409e+11,6.046629e+10,6.693492e-11,4.484825e-10,1.272176e-10,-10.1743,-9.3483,-9.8955,0.0078,0.0051
A209,0.206,11.8868,4.538473e+11,6.799464e+10,6.707664e-11,4.477199e-10,1.273963e-10,-10.1734,-9.3490,-9.8948,0.0083,0.0054
A209,0.206,12.5917,5.083590e+11,7.645500e+10,6.721399e-11,4.469144e-10,1.275695e-10,-10.1725,-9.3498,-9.8943,0.0088,0.0057
A209,0.206,13.3385,5.693588e+11,8.596164e+10,6.734659e-11,4.460638e-10,1.277365e-10,-10.1717,-9.3506,-9.8937,0.0093,0.0061
A209,0.206,14.1296,6.376078e+11,9.664257e+10,6.747401e-11,4.451657e-10,1.278970e-10,-10.1709,-9.3515,-9.8931,0.0098,0.0064
A209,0.206,14.9675,7.139546e+11,1.086412e+11,6.759582e-11,4.442176e-10,1.280503e-10,-10.1701,-9.3524,-9.8926,0.0104,0.0068
A209,0.206,15.8552,7.993448e+11,1.221182e+11,6.771153e-11,4.432171e-10,1.281959e-10,-10.1693,-9.3534,-9.8921,0.0110,0.0072
A209,0.206,16.7955,8.948316e+11,1.372532e+11,6.782067e-11,4.421614e-10,1.283332e-10,-10.1686,-9.3544,-9.8917,0.0117,0.0076
A209,0.206,17.7916,1.001587e+12,1.542476e+11,6.792272e-11,4.410476e-10,1.284615e-10,-10.1680,-9.3555,-9.8912,0.0124,0.0081
A209,0.206,18.8467,1.120917e+12,1.733263e+11,6.801712e-11,4.398730e-10,1.285802e-10,-10.1674,-9.3567,-9.8908,0.0131,0.0086
A209,0.206,19.9644,1.254272e+12,1.947410e+11,6.810331e-11,4.386344e-10,1.286885e-10,-10.1668,-9.3579,-9.8905,0.0139,0.0091
A209,0.206,21.1485,1.403266e+12,2.187728e+11,6.818069e-11,4.373288e-10,1.287857e-10,-10.1663,-9.3592,-9.8901,0.0147,0.0096
A209,0.206,22.4027,1.569691e+12,2.457359e+11,6.824862e-11,4.359529e-10,1.288710e-10,-10.1659,-9.3606,-9.8898,0.0156,0.0102
A209,0.206,23.7313,1.755540e+12,2.759811e+11,6.830646e-11,4.345033e-10,1.289437e-10,-10.1655,-9.3620,-9.8896,0.0165,0.0108
A209,0.206,25.1387,1.963021e+12,3.098998e+11,6.835350e-11,4.329765e-10,1.290027e-10,-10.1652,-9.3635,-9.8894,0.0175,0.0114
A209,0.206,26.6296,2.194585e+12,3.479284e+11,6.838904e-11,4.313691e-10,1.290473e-10,-10.1650,-9.3652,-9.8893,0.0185,0.0121
A209,0.206,28.2089,2.452949e+12,3.905535e+11,6.841233e-11,4.296773e-10,1.290766e-10,-10.1649,-9.3669,-9.8892,0.0196,0.0128
A209,0.206,29.8818,2.741123e+12,4.383172e+11,6.842259e-11,4.278973e-10,1.290894e-10,-10.1648,-9.3687,-9.8891,0.0208,0.0136
A209,0.206,31.6540,3.062437e+12,4.918228e+11,6.841901e-11,4.260252e-10,1.290849e-10,-10.1648,-9.3706,-9.8891,0.0220,0.0144
