cluster,z,M_200c,c_200c,r_200c_kpc,r_500_kpc,M_500_Msun,deficit_at_r500
A209,0.206,1.480000e+15,4.3,2196.30,1438.26,1.039045e+15,1.7073
A383,0.187,1.130000e+15,6.4,2020.92,1353.96,8.495459e+14,1.6490
A611,0.288,1.430000e+15,3.0,2107.47,1343.89,9.270025e+14,1.7232
A2261,0.224,2.110000e+15,4.2,2456.04,1605.85,1.474458e+15,1.8045
RXJ2129,0.235,7.500000e+14,8.5,1732.90,1176.03,5.860582e+14,1.5862
A963,0.206,9.500000e+14,4.4,1894.58,1242.52,6.699494e+14,1.6027
RXJ2248,0.348,2.450000e+15,4.6,2465.55,1621.56,1.742460e+15,1.9206
MACS1931,0.352,9.200000e+14,4.2,1776.08,1161.26,6.428915e+14,1.6693
MACS1115,0.352,1.520000e+15,5.0,2099.65,1387.93,1.097613e+15,1.8018
MACS1720,0.391,1.050000e+15,5.7,1828.57,1217.73,7.752695e+14,1.7368
MACS0416,0.396,1.240000e+15,3.6,1929.09,1247.77,8.389033e+14,1.7594
MACS1206,0.440,1.510000e+15,5.3,2025.16,1343.23,1.101499e+15,1.8553
MACS0329,0.450,1.200000e+15,4.9,1868.53,1233.67,8.634154e+14,1.7985
RXJ1347,0.451,3.300000e+15,3.5,2616.82,1689.08,2.218595e+15,2.0530
MACS1311,0.494,6.300000e+14,6.7,1481.57,994.85,4.768515e+14,1.6769
MACS1149,0.544,2.150000e+15,3.5,2186.96,1411.61,1.445448e+15,1.9946
MACS0717,0.548,2.740000e+15,3.3,2367.32,1521.18,1.817433e+15,2.0614
MACS0647,0.584,1.450000e+15,4.1,1887.64,1232.22,1.008354e+15,1.9223
MACS0744,0.686,1.220000e+15,5.0,1711.03,1131.05,8.809791e+14,1.9518
CLJ1226,0.890,1.320000e+15,4.0,1619.98,1055.72,9.133292e+14,2.0978
