cluster,z,r_kpc,kappa,sigma_kg_m2,M_2D_Msun,M_3D_approx_Msun
abell2744,0.308,10.2858,2.029663e+00,9.557390e+00,1.521105e+12,1.936731e+12
abell2744,0.308,10.8821,1.998869e+00,9.412385e+00,1.701171e+12,2.165998e+12
abell2744,0.308,11.5130,1.964482e+00,9.250458e+00,1.899453e+12,2.418458e+12
abell2744,0.308,12.1804,1.954343e+00,9.202717e+00,2.118935e+12,2.697912e+12
abell2744,0.308,12.8866,1.989994e+00,9.370594e+00,2.366285e+12,3.012847e+12
abell2744,0.308,13.6336,1.993140e+00,9.385405e+00,2.645803e+12,3.368741e+12
abell2744,0.308,14.4240,1.904209e+00,8.966643e+00,2.951729e+12,3.758258e+12
abell2744,0.308,15.2603,1.814447e+00,8.543968e+00,3.278442e+12,4.174242e+12
abell2744,0.308,16.1450,1.771264e+00,8.340626e+00,3.631181e+12,4.623363e+12
abell2744,0.308,17.0809,1.735326e+00,8.171400e+00,4.017312e+12,5.115001e+12
abell2744,0.308,18.0712,1.701046e+00,8.009978e+00,4.440861e+12,5.654279e+12
abell2744,0.308,19.1188,1.669342e+00,7.860690e+00,4.905847e+12,6.246318e+12
abell2744,0.308,20.2272,1.638099e+00,7.713570e+00,5.416588e+12,6.896614e+12
abell2744,0.308,21.3999,1.607770e+00,7.570754e+00,5.977625e+12,7.610948e+12
abell2744,0.308,22.6405,1.577784e+00,7.429557e+00,6.593928e+12,8.395649e+12
abell2744,0.308,23.9531,1.547290e+00,7.285963e+00,7.270657e+12,9.257288e+12
abell2744,0.308,25.3417,1.517731e+00,7.146777e+00,8.013573e+12,1.020320e+13
abell2744,0.308,26.8109,1.489361e+00,7.013183e+00,8.829413e+12,1.124196e+13
abell2744,0.308,28.3652,1.480041e+00,6.969299e+00,9.731304e+12,1.239028e+13
abell2744,0.308,30.0096,1.430757e+00,6.737227e+00,1.072049e+13,1.364975e+13
abell2744,0.308,31.7494,1.386811e+00,6.530290e+00,1.179227e+13,1.501439e+13
abell2744,0.308,33.5900,1.353682e+00,6.374290e+00,1.295923e+13,1.650020e+13
abell2744,0.308,35.5374,1.319003e+00,6.210992e+00,1.423306e+13,1.812209e+13
abell2744,0.308,37.5976,1.276259e+00,6.009719e+00,1.561743e+13,1.988473e+13
abell2744,0.308,39.7773,1.240544e+00,5.841539e+00,1.712022e+13,2.179814e+13
abell2744,0.308,42.0833,1.210990e+00,5.702376e+00,1.875878e+13,2.388442e+13
abell2744,0.308,44.5231,1.177960e+00,5.546841e+00,2.054593e+13,2.615989e+13
abell2744,0.308,47.1042,1.128566e+00,5.314252e+00,2.247686e+13,2.861843e+13
abell2744,0.308,49.8350,1.090906e+00,5.136919e+00,2.455687e+13,3.126677e+13
abell2744,0.308,52.7242,1.058836e+00,4.985905e+00,2.681202e+13,3.413812e+13
abell2744,0.308,55.7808,1.022260e+00,4.813676e+00,2.925544e+13,3.724918e+13
abell2744,0.308,59.0146,9.900883e-01,4.662182e+00,3.190015e+13,4.061654e+13
abell2744,0.308,62.4359,9.710778e-01,4.572664e+00,3.478562e+13,4.429043e+13
abell2744,0.308,66.0556,9.665734e-01,4.551454e+00,3.797730e+13,4.835419e+13
abell2744,0.308,69.8851,9.148068e-01,4.307693e+00,4.144355e+13,5.276757e+13
abell2744,0.308,73.9366,8.911923e-01,4.196495e+00,4.516942e+13,5.751150e+13
abell2744,0.308,78.2229,8.780679e-01,4.134694e+00,4.925564e+13,6.271423e+13
abell2744,0.308,82.7578,8.561871e-01,4.031661e+00,5.373823e+13,6.842164e+13
abell2744,0.308,87.5556,8.459075e-01,3.983256e+00,5.866349e+13,7.469268e+13
abell2744,0.308,92.6315,8.427933e-01,3.968591e+00,6.413365e+13,8.165750e+13
abell2744,0.308,98.0017,8.407004e-01,3.958736e+00,7.023767e+13,8.942938e+13
abell2744,0.308,103.6833,8.163259e-01,3.843960e+00,7.695999e+13,9.798850e+13
abell2744,0.308,109.6942,8.008818e-01,3.771236e+00,8.430459e+13,1.073399e+14
abell2744,0.308,116.0536,8.010699e-01,3.772122e+00,9.245013e+13,1.177112e+14
abell2744,0.308,122.7816,7.990006e-01,3.762378e+00,1.015564e+14,1.293057e+14
abell2744,0.308,129.8997,7.538720e-01,3.549874e+00,1.114408e+14,1.418908e+14
abell2744,0.308,137.4305,7.032692e-01,3.311593e+00,1.218207e+14,1.551070e+14
abell2744,0.308,145.3979,6.582343e-01,3.099530e+00,1.326771e+14,1.689297e+14
abell2744,0.308,153.8272,6.175209e-01,2.907816e+00,1.440637e+14,1.834276e+14
abell2744,0.308,162.7451,5.824351e-01,2.742602e+00,1.560525e+14,1.986922e+14
abell2744,0.308,172.1801,5.460062e-01,2.571064e+00,1.686708e+14,2.147583e+14
abell2744,0.308,182.1620,5.157876e-01,2.428769e+00,1.819618e+14,2.316810e+14
abell2744,0.308,192.7226,4.774000e-01,2.248007e+00,1.958734e+14,2.493938e+14
abell2744,0.308,203.8955,4.287967e-01,2.019141e+00,2.100749e+14,2.674756e+14
abell2744,0.308,215.7161,3.954932e-01,1.862320e+00,2.245393e+14,2.858923e+14
abell2744,0.308,228.2219,3.622502e-01,1.705784e+00,2.394210e+14,3.048403e+14
abell2744,0.308,241.4528,3.295818e-01,1.551953e+00,2.546279e+14,3.242022e+14
abell2744,0.308,255.4508,3.022353e-01,1.423182e+00,2.701742e+14,3.439965e+14
abell2744,0.308,270.2602,2.794747e-01,1.316006e+00,2.861972e+14,3.643976e+14
abell2744,0.308,285.9282,2.518943e-01,1.186134e+00,3.025739e+14,3.852491e+14
abell370,0.375,10.2881,3.363761e+00,1.483468e+01,2.362088e+12,3.007504e+12
abell370,0.375,10.8895,3.199780e+00,1.411150e+01,2.639194e+12,3.360326e+12
abell370,0.375,11.5261,3.053849e+00,1.346792e+01,2.934999e+12,3.736957e+12
abell370,0.375,12.1999,2.918486e+00,1.287095e+01,3.251498e+12,4.139936e+12
abell370,0.375,12.9130,2.799604e+00,1.234666e+01,3.591004e+12,4.572208e+12
abell370,0.375,13.6679,2.687264e+00,1.185123e+01,3.955986e+12,5.036918e+12
abell370,0.375,14.4669,2.586221e+00,1.140561e+01,4.348999e+12,5.537318e+12
abell370,0.375,15.3126,2.492679e+00,1.099308e+01,4.773066e+12,6.077256e+12
abell370,0.375,16.2077,2.406540e+00,1.061319e+01,5.231363e+12,6.660778e+12
abell370,0.375,17.1551,2.325485e+00,1.025573e+01,5.727292e+12,7.292214e+12
abell370,0.375,18.1579,2.253330e+00,9.937513e+00,6.264927e+12,7.976753e+12
abell370,0.375,19.2194,2.186088e+00,9.640966e+00,6.848930e+12,8.720328e+12
abell370,0.375,20.3429,2.123405e+00,9.364524e+00,7.484068e+12,9.529012e+12
abell370,0.375,21.5321,2.065528e+00,9.109280e+00,8.175741e+12,1.040968e+13
abell370,0.375,22.7907,2.012752e+00,8.876530e+00,8.930192e+12,1.137027e+13
abell370,0.375,24.1230,1.963744e+00,8.660396e+00,9.754345e+12,1.241962e+13
abell370,0.375,25.5332,1.918721e+00,8.461841e+00,1.065585e+13,1.356745e+13
abell370,0.375,27.0257,1.876917e+00,8.277478e+00,1.164327e+13,1.482467e+13
abell370,0.375,28.6056,1.839363e+00,8.111861e+00,1.272640e+13,1.620376e+13
