# SMACS J0723.3-7327 reconstructed radial profiles
# Source: Liu et al. 2023, A&A 670, A96 (eROSITA best-fit)
# Vikhlinin+2006 analytic models for T(r) and n_e(r)
# Cluster redshift z = 0.388
# Columns:
#   r_kpc         - radius [kpc]
#   n_e_cm3       - electron density [cm^-3]
#   T_keV         - temperature [keV]
#   rho_gas_kg_m3 - gas mass density [kg m^-3]
#   M_gas_Msun    - cumulative gas mass [M_sun]
#   M_HSE_Msun    - hydrostatic equilibrium mass [M_sun]
#   M_star_Msun   - stellar mass estimate (0.02 * M_HSE) [M_sun]
#   M_bar_Msun    - baryonic mass (M_gas + M_star) [M_sun]
#   g_bar_m_s2    - baryonic acceleration [m s^-2]
#   g_tot_m_s2    - total (observed) acceleration [m s^-2]
#   g_BEC_m_s2    - BEC/superfluid prediction [m s^-2]
#   log_g_bar     - log10(g_bar)
#   log_g_tot     - log10(g_tot)
#   log_g_BEC     - log10(g_BEC)
r_kpc,n_e_cm3,T_keV,rho_gas_kg_m3,M_gas_Msun,M_HSE_Msun,M_star_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC
1.00000000e+01,6.46298910e-02,1.12699355e+01,1.26478606e-22,0.00000000e+00,3.35144938e+12,6.70289875e+10,6.70289875e+10,9.34511409e-11,4.67255704e-09,1.59407163e-10,-1.00294154e+01,-8.33044539e+00,-9.79749217e+00
1.05930599e+01,6.21757282e-02,1.11861707e+01,1.21675888e-22,1.44761418e+09,3.52441088e+12,7.04882176e+10,7.19358318e+10,8.93767100e-11,4.37890605e-09,1.54600354e-10,-1.00487756e+01,-8.35863437e+00,-9.81078952e+00
1.12212917e+01,5.98139469e-02,1.11030878e+01,1.17053959e-22,3.10299325e+09,3.70638594e+12,7.41277189e+10,7.72307121e+10,8.55118457e-11,4.10380656e-09,1.49999787e-10,-1.00679737e+01,-8.38681312e+00,-9.82390936e+00
1.18867815e+01,5.75410059e-02,1.10206914e+01,1.12605887e-22,4.99592590e+09,3.89783912e+12,7.79567824e+10,8.29527082e+10,8.18509938e-11,3.84607100e-09,1.45602400e-10,-1.00869760e+01,-8.41498270e+00,-9.83683147e+00
1.25917388e+01,5.53534946e-02,1.09389878e+01,1.08324998e-22,7.16046370e+09,4.09927488e+12,8.19854976e+10,8.91459613e+10,7.83884733e-11,3.60460412e-09,1.41405016e-10,-1.01057478e+01,-8.44314243e+00,-9.84953519e+00
1.33385043e+01,5.32481280e-02,1.08579854e+01,1.04204864e-22,9.63552899e+09,4.31122552e+12,8.62245103e+10,9.58600393e+10,7.51182190e-11,3.37837941e-09,1.37404010e-10,-1.01242547e+01,-8.47129158e+00,-9.86200059e+00
1.41295575e+01,5.12217419e-02,1.07776946e+01,1.00239292e-22,1.24657591e+10,4.53425693e+12,9.06851387e+10,1.03150898e+11,7.20340509e-11,3.16643773e-09,1.33595605e-10,-1.01424622e+01,-8.49942905e+00,-9.87420783e+00
1.49675248e+01,4.92712875e-02,1.06981285e+01,9.64223155e-23,1.57019354e+10,4.76895882e+12,9.53791764e+10,1.11081112e+11,6.91293050e-11,2.96787459e-09,1.29975381e-10,-1.01603378e+01,-8.52755445e+00,-9.88613890e+00
1.58551887e+01,4.73938271e-02,1.06193034e+01,9.27481862e-23,1.94021375e+10,5.01595471e+12,1.00319094e+11,1.19721232e+11,6.63972811e-11,2.78184371e-09,1.26538799e-10,-1.01778497e+01,-8.55566727e+00,-9.89777629e+00
1.67954963e+01,4.55865296e-02,1.05412390e+01,8.92113635e-23,2.36327731e+10,5.27590293e+12,1.05518059e+11,1.29150832e+11,6.38312682e-11,2.60755251e-09,1.23281204e-10,-1.01949665e+01,-8.58376694e+00,-9.90910313e+00
