#Table: J/ApJ/896/70/fig2.dat (http://cdsarc.cds.unistra.fr)
------------------------------------------
        |     |       |       |    e|
        |     |     lo|     lo|_log(|
AName   |  Rad|g(gbar)|g(gtot)|gbar)|   e_
--------|-----|-------|-------|-----|-----
A209    | 14.3|-10.015| -9.579|0.043|0.089
A383    | 14.3| -9.910| -9.288|0.039|0.128
A611    | 22.2|-10.136| -9.381|0.036|0.124
A2261   | 23.6| -9.793| -9.364|0.040|0.097
MACS0329| 22.2| -9.871| -9.145|0.032|0.112
MACS0416| 14.3|-10.670| -9.541|0.043|0.096
MACS0429| 17.2| -9.743| -9.328|0.036|0.148
MACS0647| 14.3|-10.007| -9.279|0.043|0.156
MACS0717| 14.3|-10.184| -9.557|0.043|0.078
MACS0744| 14.3| -9.668| -9.283|0.043|0.139
MACS1115| 16.2|-10.291| -9.479|0.019|0.106
MACS1149| 14.3|-10.224| -9.509|0.043|0.107
MACS1206| 14.3|-10.542| -9.328|0.043|0.130
MACS1720| 23.6| -9.948| -9.342|0.032|0.128
MACS1931| 14.3| -9.997| -9.308|0.039|0.175
MS2137  | 14.3| -9.921| -9.567|0.036|0.171
RXJ1347 | 14.3| -9.899| -9.304|0.031|0.112
RXJ1532 | 14.3|-10.126| -9.334|0.039|0.267
RXJ2129 | 14.3|-10.133| -9.344|0.035|0.125
RXJ2248 | 30.3|-10.209| -9.387|0.033|0.145
A209    |100. |-10.682| -9.636|0.013|0.077
A383    |100. |-10.489| -9.434|0.007|0.089
A611    |100. |-10.504| -9.454|0.005|0.100
A2261   |100. |-10.423| -9.426|0.007|0.083
MACS0329|100. |-10.267| -9.296|0.005|0.084
MACS0429|100. |-10.293| -9.446|0.008|0.108
MACS0647|100. |-10.350| -9.379|0.010|0.120
MACS0717|100. |-10.769| -9.593|0.007|0.071
MACS0744|100. |-10.295| -9.364|0.008|0.111
MACS1115|100. |-10.256| -9.542|0.005|0.091
MACS1206|100. |-10.350| -9.407|0.008|0.106
MACS1720|100. |-10.371| -9.423|0.005|0.102
MACS1931|100. |-10.171| -9.409|0.002|0.127
MS2137  |100. |-10.254| -9.625|0.002|0.136
RXJ1347 |100. | -9.987| -9.362|0.001|0.096
RXJ1532 |100. |-10.127| -9.500|0.002|0.222
RXJ2129 |100. |-10.390| -9.494|0.004|0.086
RXJ2248 |100. |-10.313| -9.449|0.005|0.119
A209    |200. |-10.744| -9.695|0.009|0.068
A383    |200. |-10.677| -9.567|0.004|0.068
A611    |200. |-10.622| -9.538|0.005|0.080
A2261   |200. |-10.538| -9.495|0.003|0.068
MACS0329|200. |-10.487| -9.445|0.004|0.066
MACS0416|200. |-10.727| -9.688|0.034|0.069
MACS0429|200. |-10.526| -9.558|0.006|0.081
MACS0647|200. |-10.456| -9.477|0.007|0.095
MACS0717|200. |-10.699| -9.632|0.006|0.064
MACS0744|200. |-10.443| -9.445|0.006|0.087
MACS1115|200. |-10.445| -9.607|0.003|0.077
MACS1149|200. |-10.614| -9.598|0.012|0.085
MACS1206|200. |-10.432| -9.487|0.005|0.086
MACS1720|200. |-10.531| -9.515|0.004|0.080
MACS1931|200. |-10.387| -9.507|0.002|0.095
MS2137  |200. |-10.511| -9.692|0.003|0.105
RXJ1347 |200. |-10.172| -9.420|0.001|0.080
RXJ1532 |200. |-10.354| -9.643|0.002|0.191
RXJ2129 |200. |-10.561| -9.631|0.004|0.065
RXJ2248 |200. |-10.354| -9.526|0.003|0.093
A209    |400. |-10.764| -9.803|0.005|0.056
A383    |400. |-10.883| -9.772|0.004|0.059
A611    |400. |-10.767| -9.683|0.004|0.060
A2261   |400. |-10.687| -9.621|0.003|0.051
MACS0416|400. |-10.722| -9.820|0.035|0.058
MACS0717|400. |-10.566| -9.709|0.004|0.055
MACS0744|400. |-10.568| -9.592|0.005|0.064
MACS1149|400. |-10.618| -9.686|0.008|0.070
MACS1206|400. |-10.523| -9.627|0.004|0.064
MACS1720|400. |-10.693| -9.670|0.005|0.059
MACS1931|400. |-10.589| -9.668|0.002|0.069
RXJ1347 |400. |-10.377| -9.529|0.001|0.061
RXJ1532 |400. |-10.602| -9.857|0.002|0.157
RXJ2129 |400. |-10.738| -9.843|0.003|0.057
RXJ2248 |400. |-10.431| -9.661|0.003|0.065
A209    |600. |-10.845| -9.896|0.006|0.052
A611    |600. |-10.876| -9.801|0.004|0.056
A2261   |600. |-10.785| -9.726|0.003|0.044
MACS0717|600. |-10.543| -9.778|0.003|0.050
MACS0744|600. |-10.667| -9.709|0.005|0.057
MACS1206|600. |-10.610| -9.744|0.004|0.054
MACS1931|600. |-10.728| -9.793|0.003|0.070
RXJ1347 |600. |-10.510| -9.623|0.001|0.052
RXJ1532 |600. |-10.754|-10.014|0.002|0.138
RXJ2129 |600. |-10.854|-10.002|0.003|0.062
RXJ2248 |600. |-10.525| -9.773|0.003|0.058
------------------------------------------
