#Table: J/ApJ/896/70/table1.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------
                 |     | R  R         D  D      |     |    |    |    |    |     |     |  e_|     |  e_|
Name             |    z|Ah Am   RAs  Ed Em   DEs|Band |   n|  Re|e_Re| Rad|   M*| Mgas|Mgas| Mtot|Mtot|AName
-----------------|-----|------------------------|-----|----|----|----|----|-----|-----|----|-----|----|--------
A383             |0.187|02 48 03.38 -03 31 45.02|F110W|2.34|17.0|0.09|14.3| 4.45| 1.78|0.09| 7.55|2.23|A383
A209             |0.206|01 31 52.55 -13 36 40.50|F125W|2.62|22.1|0.14|14.3| 4.85|     |    | 3.87|0.79|A209
A2261            |0.224|17 22 27.21 +32 07 57.62|F125W|1.74|18.7|0.08|23.6|12.30| 0.48|0.03| 6.44|1.48|A2261
RX J2129.7+0005  |0.234|21 29 39.96 +00 05 21.17|F125W|2.70|41.4|0.54|14.3| 5.81| 2.18|0.07| 6.65|1.91|RXJ2129
A611             |0.288|08 00 56.82 +36 03 23.63|F125W|2.55|30.4|0.16|22.2| 6.58| 0.48|0.03| 6.24|1.81|A611
MS2137-2353      |0.313|21 40 15.16 -23 39 40.10|F125W|2.35|15.0|0.04|14.3| 3.65| 2.94|0.07| 3.98|1.57|MS2137
RX J2248.7-4431  |0.348|22 48 43.97 -44 31 51.14|F140W|2.45|34.5|0.20|30.3| 8.09| 1.01|0.03| 6.19|2.16|RXJ2248
MACS J1115.9+0129|0.355|11 15 51.91 +01 29 55.00|F140W|3.83|52.9|0.93|16.2| 3.00| 5.80|0.19| 6.25|1.53|MACS1115
MACS J1931.8-2635|0.352|19 31 49.70 -26 34 32.22|F140W|3.49|33.2|0.38|14.3| 6.92| 1.47|0.02| 7.21|2.90|MACS1931
RX J1532.9+3021  |0.362|15 32 53.78 +30 20 59.43|F140W|2.81|21.8|0.14|14.3| 3.34| 1.13|0.04| 6.80|4.18|RXJ1532
MACS J1720.3+3536|0.387|17 20 16.75 +35 36 26.24|F140W|2.63|17.2|0.06|23.6| 6.59| 1.15|0.03| 6.83|2.07|MACS1720
MACS J0416.1-2403|0.397|04 16 09.15 -24 04 02.99|F140W|3.78|56.2|0.81|14.3| 3.14|     |    | 4.22|0.94|MACS0416
MACS J0429.6-0253|0.399|04 29 36.00 -02 53 06.78|F140W|1.80|29.3|0.08|17.2|11.90| 6.71|0.55| 9.98|3.40|MACS0429
MACS J1206.2-0847|0.439|12 06 12.15 -08 48 03.32|F140W|3.65|44.8|0.52|14.3| 3.13|     |    | 6.90|2.07|MACS1206
MACS J0329.7-0211|0.450|03 29 41.57 -02 11 46.33|F140W|2.76|22.9|0.12|22.2| 8.47|13.1 |0.41|25.30|6.50|MACS0329
RX J1347.5-1145  |0.451|13 47 30.61 -11 45 09.33|F140W|2.62|21.7|0.12|14.3| 4.52| 5.11|0.07| 7.28|1.88|RXJ1347
MACS J1149.5+2223|0.544|11 49 35.70 +22 23 54.68|F160W|2.44|34.3|0.32|14.3| 4.72|     |    | 4.54|1.12|MACS1149
MACS J0717.5+3745|0.548|07 17 32.52 +37 44 34.84|F160W|2.49|13.2|0.07|14.3| 2.19|     |    | 4.07|0.73|MACS0717
MACS J0647.7+7015|0.584|06 47 50.65 +70 14 53.99|F160W|1.44|56.9|0.29|14.3|14.70|     |    | 7.71|2.77|MACS0647
MACS J0744.9+3927|0.686|07 44 52.80 +39 27 26.74|F160W|2.47|14.7|0.09|14.3| 7.74|     |    | 7.65|2.45|MACS0744
---------------------------------------------------------------------------------------------------------------
