NGC7331     10.78 10.69 10.84 12.38 12.21 12.60 239.00  5.40  3.99 0.41
NGC5985     10.91 10.55 11.10 12.21 12.12 12.28 293.60  8.60 10.71 2.67
UGC03205    10.94 10.85 11.00 12.12 11.95 12.33 219.60  8.60  5.35 1.07
UGC11914    10.95 10.82 11.04 13.04 12.44 13.67 288.10 10.50  3.12 0.94
UGC05253    10.95 10.81 11.05 12.16 12.08 12.27 213.70  7.10  4.28 1.07
NGC5907     10.96 10.87 11.01 12.02 11.93 12.16 215.00  2.90  7.88 0.41
NGC2998     10.98 10.85 11.07 12.01 11.91 12.13 209.90  8.10  7.06 1.06
NGC2841     11.00 10.95 11.04 12.54 12.42 12.69 284.80  8.60  5.51 0.55
NGC3992     11.01 10.93 11.07 12.15 12.03 12.30 241.00  5.20  9.99 0.97
UGC12506    11.12 10.95 11.19 12.14 11.96 12.33 234.00 16.80 12.36 1.24
NGC5371     11.13 10.94 11.26 11.64 11.53 11.74 209.50  3.90  9.80 2.45
UGC09133    11.15 11.04 11.24 12.22 12.18 12.25 226.80  4.20  5.92 1.18
NGC2955     11.17 11.11 11.22 12.13 11.80 12.48   0.00  0.00  7.22 0.72
UGC02953    11.18 11.03 11.28 12.29 12.22 12.36 264.90  6.00  5.03 1.51
NGC6195     11.21 11.15 11.26 12.16 11.94 12.42 251.70  9.30  9.52 0.95
UGC11455    11.22 11.11 11.31 12.61 12.43 12.84 269.40  7.40 10.06 1.51
NGC0801     11.23 11.18 11.28 12.00 11.90 12.14 220.10  6.20  7.76 0.78
NGC6674     11.24 11.15 11.32 12.42 12.32 12.56 241.30  4.90  7.75 1.54
UGC02885    11.37 11.30 11.43 12.62 12.48 12.79 289.50 12.00 12.20 1.22
UGC02487    11.39 11.33 11.45 12.58 12.52 12.67 332.00  3.50  9.63 1.45
ESO563-G021 11.40 11.33 11.46 12.93 12.70 13.21 314.60 11.70 10.59 1.59
