sparc_name,source,group_name,logMh,richness,central,env_class,env_dense,separation_arcsec
CamB,literature,field,9.5,1,1,field,field,
D512-2,literature,CVnI,11.0,12,0,poor_group,field,
D564-8,literature,field,10.0,1,1,field,field,
D631-7,literature,field,10.0,1,1,field,field,
DDO064,literature,field,10.0,1,1,field,field,
DDO154,literature,M81,12.0,30,0,group,field,
DDO161,literature,field,10.0,1,1,field,field,
DDO168,literature,M81,12.0,30,0,group,field,
DDO170,literature,field,10.5,1,1,field,field,
ESO079-G014,default_field,field,11.0,1,1,field,field,
ESO116-G012,default_field,field,11.0,1,1,field,field,
ESO444-G084,literature,CenA,12.5,30,0,group,dense,
ESO563-G021,default_field,field,11.0,1,1,field,field,
F561-1,default_field,field,11.0,1,1,field,field,
F563-1,default_field,field,11.0,1,1,field,field,
F563-V1,Yang_DR7,Yang_408418,0.0,1,1,field,field,2.0674972463813988
F563-V2,Yang_DR7,Yang_403544,0.0,1,1,field,field,28.019938759436712
F565-V2,default_field,field,11.0,1,1,field,field,
F567-2,default_field,field,11.0,1,1,field,field,
F568-1,default_field,field,11.0,1,1,field,field,
F568-3,default_field,field,11.0,1,1,field,field,
F568-V1,default_field,field,11.0,1,1,field,field,
F571-8,Yang_DR7,Yang_449062,0.0,1,1,field,field,21.345299665720333
F571-V1,Yang_DR7,Yang_65560,11.7436,2,0,poor_group,field,20.523973951708914
F574-1,default_field,field,11.0,1,1,field,field,
F574-2,default_field,field,11.0,1,1,field,field,
F579-V1,default_field,field,11.0,1,1,field,field,
F583-1,default_field,field,11.0,1,1,field,field,
F583-4,default_field,field,11.0,1,1,field,field,
IC2574,literature,M81,12.0,30,0,group,field,
IC4202,Yang_DR7,Yang_440574,12.2906,1,1,group,field,0.24802898832710737
KK98-251,literature,field,9.5,1,1,field,field,
NGC0024,default_field,field,11.0,1,1,field,field,
NGC0055,literature,Sculptor,11.5,15,0,poor_group,field,
NGC0100,default_field,field,11.0,1,1,field,field,
NGC0247,literature,Sculptor,11.5,15,0,poor_group,field,
NGC0289,default_field,field,11.0,1,1,field,field,
NGC0300,literature,Sculptor,11.5,15,0,poor_group,field,
NGC0801,default_field,field,11.0,1,1,field,field,
NGC0891,default_field,field,11.0,1,1,field,field,
NGC1003,default_field,field,11.0,1,1,field,field,
NGC1090,default_field,field,11.0,1,1,field,field,
NGC1705,literature,field,10.0,1,1,field,field,
NGC2366,literature,M81,12.0,30,0,group,field,
NGC2403,literature,M81,12.0,30,0,group,field,
NGC2683,default_field,field,11.0,1,1,field,field,
NGC2841,default_field,field,11.0,1,1,field,field,
NGC2903,default_field,field,11.0,1,1,field,field,
NGC2915,literature,CenA,12.5,30,0,group,dense,
NGC2955,default_field,field,11.0,1,1,field,field,
NGC2976,literature,M81,12.0,30,0,group,field,
NGC2998,Yang_DR7,Yang_586,12.6034,25,1,group,dense,0.5040117334929087
NGC3109,literature,Antlia,10.5,5,1,field,field,
NGC3198,default_field,field,11.0,1,1,field,field,
NGC3521,default_field,field,11.0,1,1,field,field,
NGC3726,literature,UMa,13.2,79,0,rich_group,dense,
NGC3741,literature,CVnI,11.0,12,0,poor_group,field,
NGC3769,literature,UMa,13.2,79,0,rich_group,dense,
NGC3877,literature,UMa,13.2,79,0,rich_group,dense,
NGC3893,literature,UMa,13.2,79,0,rich_group,dense,
NGC3917,literature,UMa,13.2,79,0,rich_group,dense,
NGC3949,literature,UMa,13.2,79,0,rich_group,dense,
NGC3953,literature,UMa,13.2,79,0,rich_group,dense,
NGC3972,literature,UMa,13.2,79,0,rich_group,dense,
NGC3992,literature,UMa,13.2,79,1,rich_group,dense,
NGC4010,literature,UMa,13.2,79,0,rich_group,dense,
NGC4013,literature,UMa,13.2,79,0,rich_group,dense,
NGC4051,literature,UMa,13.2,79,0,rich_group,dense,
NGC4068,literature,CVnI,11.0,12,0,poor_group,field,
NGC4085,literature,UMa,13.2,79,0,rich_group,dense,
NGC4088,literature,UMa,13.2,79,0,rich_group,dense,
NGC4100,literature,UMa,13.2,79,0,rich_group,dense,
NGC4138,literature,UMa,13.2,79,0,rich_group,dense,
NGC4157,literature,UMa,13.2,79,0,rich_group,dense,
NGC4183,literature,UMa,13.2,79,0,rich_group,dense,
NGC4214,literature,CVnI,11.0,12,0,poor_group,field,
NGC4217,literature,UMa,13.2,79,0,rich_group,dense,
NGC4389,literature,UMa,13.2,79,0,rich_group,dense,
NGC4559,default_field,field,11.0,1,1,field,field,
NGC5005,default_field,field,11.0,1,1,field,field,
