name,ra,dec,Vsys,env_class,group_name,env_dense,logMh,local_density,team_release
WALLABY J094524-480828,146.352598,-48.141160,874.9,field,field,field,11.0,0.0191,Vela TR1
WALLABY J094944-471059,147.433527,-47.183062,5360.5,field,field,field,11.0,0.0632,Vela TR1
WALLABY J100036-465940,150.152727,-46.994553,3692.9,rich_group,Vela_overdensity,dense,13.5,0.9611,Vela TR1
WALLABY J100123-434533,150.348521,-43.759392,3548.7,rich_group,Vela_overdensity,dense,13.5,2.9319,Vela TR1
WALLABY J100239-452950,150.662785,-45.497484,3507.6,rich_group,Vela_overdensity,dense,13.5,4.8637,Vela TR1
WALLABY J100342-270137,150.925581,-27.027123,950.6,field,field,field,11.0,709.9421,Hydra TR2
WALLABY J100351-273417,150.966205,-27.571503,2788.2,field,field,field,11.0,1.3383,Hydra TR2
WALLABY J100426-282638,151.109057,-28.444157,1091.2,field,field,field,11.0,44.2451,Hydra TR2
WALLABY J100437-490338,151.155000,-49.060543,3401.4,field,field,field,11.0,0.2362,Vela TR1
WALLABY J100539-282633,151.414463,-28.442512,1039.0,field,field,field,11.0,95.2714,Hydra TR2
WALLABY J100542-480241,151.427393,-48.044885,4007.7,rich_group,Vela_overdensity,dense,13.5,0.4127,Vela TR1
WALLABY J100656-450242,151.734782,-45.045075,3904.0,rich_group,Vela_overdensity,dense,13.5,15.2956,Vela TR1
WALLABY J100748-430145,151.951585,-43.029395,6258.4,field,field,field,11.0,0.0061,Vela TR1
WALLABY J100801-473847,152.005766,-47.646555,3344.6,rich_group,Vela_overdensity,dense,13.5,0.5270,Vela TR1
WALLABY J100916-431959,152.318358,-43.333100,4585.4,field,field,field,11.0,1.5481,Vela TR1
WALLABY J100938-255850,152.408854,-25.980648,3070.8,field,field,field,11.0,4.2358,Hydra TR2
WALLABY J101035-254920,152.646017,-25.822490,2505.3,field,field,field,11.0,2.2847,Hydra TR2
WALLABY J101219-471739,153.081658,-47.294326,2523.0,rich_group,Vela_overdensity,dense,13.5,0.2640,Vela TR1
WALLABY J101247-275028,153.199754,-27.841326,2602.6,field,field,field,11.0,186.8770,Hydra TR2
WALLABY J101330-434301,153.375345,-43.717001,4564.0,field,field,field,11.0,1.1718,Vela TR1
WALLABY J101331-434904,153.379532,-43.817927,4216.0,field,field,field,11.0,0.8880,Vela TR1
WALLABY J101359-253824,153.496384,-25.640029,3180.8,field,field,field,11.0,1.3486,Hydra TR2
WALLABY J101441-285221,153.674368,-28.872571,1095.2,field,field,field,11.0,8.6809,Hydra TR2
WALLABY J101442-445108,153.675989,-44.852381,1098.8,field,field,field,11.0,0.0182,Vela TR1
WALLABY J101448-285723,153.700598,-28.956518,4195.7,field,field,field,11.0,1.3479,Hydra TR2
WALLABY J101457-433710,153.737791,-43.619657,3032.5,field,field,field,11.0,1.5218,Vela TR1
WALLABY J101655-485238,154.229775,-48.877345,2738.2,field,field,field,11.0,0.0531,Vela TR1
WALLABY J101941-254852,154.922114,-25.814465,3005.4,field,field,field,11.0,89.5164,Hydra TR2
WALLABY J102017-253913,155.074336,-25.653777,3441.5,field,field,field,11.0,246.3028,Hydra TR2
WALLABY J103023-302336,157.597677,-30.393402,4087.7,field,field,field,11.0,14.7758,Hydra TR2
WALLABY J103244-283639,158.185507,-28.611102,3606.5,cluster,Hydra,dense,14.5,112.3924,Hydra TR1
WALLABY J103250-301601,158.209507,-30.267155,3479.2,field,field,field,11.0,117.9339,Hydra TR1
WALLABY J103359-301003,158.496590,-30.167654,3480.6,field,field,field,11.0,117.6667,Hydra TR2
WALLABY J103522-244506,158.844131,-24.751847,1034.9,field,field,field,11.0,12475.2507,Hydra TR1
WALLABY J103523-281855,158.848684,-28.315463,3301.8,cluster,Hydra,dense,14.5,9174.5859,Hydra TR1
