recno	Seq	OName	RAJ2000	DEJ2000	Type	Ropt	Rmax	V0	rPE	alpha	Qual	V80	W80	VPE	e_VPE	WPE	e_WPE
3	144	"456-044"	3.861666666666666	16.23472222222222	"4 "	22.9	13.1	124.9	5.0	0.015	0	5656	211	5640	18	259	25
5	100184	"I 1546"	5.369999999999999	22.506666666666664	"4 "	23.4	22.0	172.5	6.031	0.0	1	5820	318	5820	4	331	6
6	229	"500-014"	5.972499999999999	28.332499999999996	"3 "	16.6	24.8	117.9	4.452	3.0E-4	1	7235	222	7234	4	225	6
15	400846	"M-203014"	11.854999999999999	-9.852777777777776	"4 "	16.8	14.6	115.1	7.491	0.03	1	5761	182	5761	6	215	8
17	400387	"UA 14"	11.943749999999998	-9.898333333333332	"3 "	75.1	63.1	45.8	13.587	0.0242	1	1362	98	1358	10	103	14
26	410497	"384-060"	15.700833333333332	-1.4733333333333332	"3 "	18.9	26.2	96.3	4.158	0.0565	1	5876	233	5876	5	235	7
31	410518	"384-064"	16.062499999999996	-1.1141666666666665	"3B"	15.3	12.2	111.8	5.999	0.042	1	5420	206	5409	15	224	21
37	410541	"M+004027"	17.81583333333333	-0.45583333333333326	"4 "	16.1	22.0	74.5	4.914	0.0098	1	5323	138	5324	7	145	9
62	410377	"M-105044"	27.867499999999996	-6.514999999999999	"7 "	40.3	27.1	54.3	8.271	0.027	0	2149	108	2154	20	121	28
65	110619	"412-044"	28.676666666666662	5.425277777777777	"3 "	19.2	21.5	81.4	3.667	0.0	1	5908	155	5913	7	159	9
67	410408	"N 747"	29.37583333333333	-9.462499999999999	"5 "	20.2	22.6	196.2	2.541	-0.0127	1	5380	362	5378	7	346	10
76	2120	"388-074"	39.53124999999999	1.3877777777777776	"4B"	26.4	26.7	156.5	3.623	0.0072	1	6865	314	6861	7	322	10
77	420173	"M-307047"	39.741249999999994	-14.320277777777775	"5 "	27.9	35.6	90.0	5.501	0.0	1	4566	179	4565	4	176	6
100	430083	"N 1242"	47.82999999999999	-8.901944444444442	"6B"	23.1	22.6	129.5	4.365	-0.0087	1	4008	242	4008	5	243	7
102	2628	"390-041"	49.13208333333333	-0.46861111111111103	"4 "	33.1	42.9	170.0	6.12	0.0189	1	6823	362	6821	5	365	6
110	430418	"I 344"	55.37208333333333	-4.665833333333333	"6B"	22.4	24.2	125.0	7.794	0.0	1	5440	226	5440	6	232	8
111	430428	"N 1418"	55.567499999999995	-4.731944444444443	"4B"	22.9	24.4	93.7	4.281	0.0171	1	4207	200	4204	6	201	8
114	440081	"FGC0471"	64.23083333333332	-7.481944444444443	"5 "	28.4	34.7	166.7	3.959	0.004	1	8908	338	8905	11	333	16
124	440474	"FGC495"	69.38	-3.103611111111111	"6 "	30.5	29.5	92.5	10.582	0.0529	1	4431	152	4430	5	198	7
128	23746	"485 G 15"	72.13	-23.922222222222217	"3 "	22.7	26.0	144.1	4.346	0.0174	1	8160	300	8159	5	304	7
142	3801	"M1109046"	110.31374999999998	63.65027777777777	"5 "	31.9	32.0	166.2	4.684	0.0328	0	11442	346	11412	15	391	20
155	4370	"004-005"	125.61958333333331	-1.0458333333333332	"5 "	30.3	30.9	147.8	14.164	0.0	1	4516	203	4496	9	257	12
173	490060	"M-124007"	139.41333333333333	-7.907222222222221	"5 "	31.4	37.1	164.7	9.69	0.0141	1	7531	325	7521	7	323	9
181	5064	"I 540"	142.54208333333332	7.901944444444443	"3 "	30.3	22.9	78.1	0.463	0.0046	0	2026	204	2035	25	202	35
