recno	Region	Name	OName	RSA	RC3	Bmag	u_Bmag	b/a	u_b/a	Incl	Dist	<HI>	rHa95	rR	e_rR	ra(1-3rR)	e_ra(1-3rR)	f_ra(1-3rR)	ra(1-2rR)	e_ra(1-2rR)	f_ra(1-2rR)	ra(rR-rs)	e_ra(rR-rs)	f_ra(rR-rs)	rmax	SimbadName	_RA	_DE
92	"Field"	"N 5457"	"U 8981"	"Sc"	"SABcd"	8.21	 	0.934	 	21	6.7		744	140	10	160	20	 	160	20	 	150	20	 		"NGC 5457"	210.80212	54.34808
76	"Field"	"N 3031"	"U 5318"	"Sb"	"SAab"	7.39	 	0.515	 	61	3.6	0.99	565	160	10	600	200	d			*	300	100	d	140	"NGC 3031"	148.88822	69.06529
68	"Field"	"N 2403"	"U 3918"	"Sc"	"SABcd"	8.43	 	0.559	 	58	3.2		544	110	4	100	10	 			*	110	10	 		"NGC 2403"	114.21087	65.60267
88	"Field"	"N 5248"	"U 8616"	"Sbc"	"SBbc"	10.63	 	0.574	 	57	18.5	-0.11	265	40	8	30	3	 			*	35	5	 		"NGC 5248"	204.384	8.88497
74	"Field"	"N 2841"	"U 4966"	"Sb"	"SAb"	9.58	 	0.454	 	65	10.8	-0.13	251	58	4	62	5	 	140	30	d	62	5	 	179	"NGC 2841"	140.50846	50.97775
49	"Virgo"	"N 4698"	"U 7970"	"Sa"	"SAab"	11.53	 	0.5	 	62	16.6	-0.14	247	70	5			 			 			 	89	"NGC 4698"	192.09575	8.48744
77	"Field"	"N 3198"	"U 5572"	"Sc"	"SBc"	10.21	 	0.358	 	72	13.7	-0.14	247	50	5	70	10	 	95	15	 	65	5	 	196	"NGC 3198"	154.97846	45.55014
55	"Field"	"N 628"	"U 1149"	"Sc"	"SAc"	9.76	 	0.857	 	32	7.3	-0.11	242	72	3	100	10	 	110	10	 	80	4	 		"NGC 628"	24.17433	15.78322
56	"Field"	"N 925"	"U 1913"	"SBc"	"SABd"	9.97	 	0.629	 	52	9.1	0.01	220	66	5	90	5	 	130	10	 	120	20	 		"NGC 925"	36.82	33.57903
65	"Field"	"N 2090"	"363G23"	"Sc"	"SAc"	11.45	 	0.484	 	63	15.7	0.07	203					 			 			 	96	"NGC 2090"	86.75958	-34.25139
33	"Virgo"	"N 4536"	"U 7732"	"Sc"	"SABbc"	11.01	 	0.391	 	70	16.6	0.17	198	68	7	67	10	 	66	3	 	67	10	 	220	"NGC 4536"	188.61329	2.18756
4	"Virgo"	"N 4192"	"U 7231"	"Sb:"	"SABab"	10.92	 	0.276	 	79	16.6	0.18	194	72	4	58	5	 			*	72	10	 	228	"NGC 4192"	183.45154	14.89944
62	"Field"	"I 356"	"U 2953"	" "	"SAab pec"	10.17	 	0.719	 	45	14.6	-0.47	184	81	10	40	10	d	82	5	 	50	10	 		"IC 356"	61.94362	69.81256
60	"Field"	"N 1232"	"547G14"	"Sc"	"SABc"	10.38	 	0.848	 	33	25.8	-0.07	182	55	5	75	10	 	120	10	 	55	5	 	165	"NGC 1232"	47.43833	-20.57917
73	"Field"	"N 2805"	"U 4936"	" "	"SABd"	11.17	 	0.755	 	42	25.6	0.05	181	60	5	72	4	 	100	20	 	85	10	 		"NGC 2805"	140.08579	64.10308
84	"Field"	"N 4395"	"U 7524"	"Sd"	"SAm"	10.57	 	0.777	 	40	4.0	0.13	178	130	20			 			 			 		"NGC 4395"	186.45387	33.54661
79	"Field"	"N 3359"	"U 5873"	"SBc pec"	"SBc"	10.68	 	0.643	 	51	16.0	-0.22	176	43	2	46	2	 	43	3	 	45	1	 	213	"NGC 3359"	161.65237	63.22367
32	"Virgo"	"N 4535"	"U 7727"	"SBc"	"SABc"	10.51	 	0.731	 	44	16.6	0.16	156	60	6	50	10	 			*	77	10	 	148	"NGC 4535"	188.58496	8.19758
13	"Virgo"	"N 4321"	"U 7450"	"Sc"	"SABbc"	10.11	 	0.875	 	30	16.6	0.21	148	75	4	30	5	 	58	5	 	41	5	 	129	"NGC 4321"	185.72896	15.82208
75	"Field"	"N 2903"	"U 5079"	"Sc"	"SBd"	9.11	 	0.515	 	61	8.9	0.07	147	68	6	31	4	 	40	5	 	35	3	 		"NGC 2903"	143.04037	21.50075
80	"Field"	"N 3627"	"U 6346"	"Sb"	"SABb"	9.13	 	0.5	 	62	9.4	0.46	145	70	10			 	33	2	 	31	2	 		"NGC 3627"	170.06279	12.98933
82	"Field"	"N 3705"	"U 6498"	"Sb"	"SABab"	11.25	 	0.423	 	68	16.5	0.67	141	32	2	31	5	 	30	5	 	32	1	 	83	"NGC 3705"	172.53171	9.27664
30	"Virgo"	"N 4527"	"U 7721"	"Sb"	"SABbc"	11.32	 	0.309	 	76	16.6	-0.19	138	50	5	38	2	 	60	10	 	38	2	 	160	"NGC 4527"	188.53658	2.65294
61	"Field"	"N 1249"	"155G6"	"SBc"	"SBcd"	11.64	 	0.5	 	62	17.4	-0.05	137	40	3	21	1	 	29	2	 	30	5	 	148	"NGC 1249"	47.51042	-53.33472
12	"Virgo"	"N 4303"	"U 7420"	"Sc"	"SABbc"	10.17	 	0.906	 	26	16.6	-0.03	133	42	3	24	4	 			*	28	3	 		"NGC 4303"	185.47929	4.47464
91	"Field"	"N 5448"	"U 8969"	"Sa"	"SABa"	11.72	 	0.423	 	68	28.8	-0.16	126	26	3	43	5	 			*	37	2	 	52	"NGC 5448"	210.70946	49.17236
97	"Field"	"N 7098"	"48G5"	" "	"SABa"	12.23	 	0.574	 	57	37.5	0.83	126	42	4	72	5	 			*	72	5	 		"NGC 7098"	326.06875	-75.11222
34	"Virgo"	"N 4548"	"U 7753"	"SBb"	"SBb"	10.98	 	0.809	 	37	16.6	0.76	126	55	5			 	70	20	d	60	20	d	109	"NGC 4548"	188.86075	14.49586
81	"Field"	"N 3673"	"UA 236"	"SBb"	"SBb"	11.81	 	0.5	 	62	31.6	0.04	124	33	3	36	20	d			*	42	4	 	76	"NGC 3673"	171.30212	-26.73667
85	"Field"	"N 4597"	"M-0132034"	"SBc:"	"SBm"	12.21	 	0.423	 	68	17.4	-0.23	123	40	6			*			*	120	60	d	109	"NGC 4597"	190.0525	-5.79917
72	"Field"	"N 2715"	"U 4759"	"Sc"	"SABc"	11.09	 	0.342	 	74	21.0	0.08	123	35	3	72	10	 	43	5	 	60	8	 	124	"NGC 2715"	137.02558	78.08539
7	"Virgo"	"N 4254"	"U 7345"	"Sc"	"SAc"	10.43	 	0.839	 	34	16.6	-0.14	123	33	3	41	4	 	55	5	 	33	3	 		"NGC 4254"	184.70633	14.41678
2	"Virgo"	"N 4178"	"U 7215"	"SBc"	"SBdm"	11.89	 	0.342	 	74	16.6	-0.09	120	45	4	96	20	d	120	30	d	95	30	d	97	"NGC 4178"	183.19396	10.86592
89	"Field"	"N 5334"	"U 8790"	"SBc"	"SBc:"	11.62	 	0.719	 	45	22.2	0.11	115	40	4	45	1	 	45	2	 	44	1	 	98	"NGC 5334"	208.227	-1.1145
93	"Field"	"N 5669"	"U 9353"	"SBc"	"SABcd"	11.79	 	0.707	 	46	21.6	-0.27	115	31	4	31	5	 	45	5	 	36	3	 	75	"NGC 5669"	218.1825	9.89111
98	"Field"	"N 7141"	"189G7"	" "	"SABbc"	12.21	 	0.707	 	46	47.7		114	32	4			*			*	50	10	 		"NGC 7141"	328.06375	-55.56944
27	"Virgo"	"N 4501"	"U 7675"	"Sbc"	"SAb"	10.27	 	0.5	 	62	16.6	0.34	112	46	3	32	4	 	42	4	 	40	2	 	105	"NGC 4501"	187.99725	14.42039
66	"Field"	"N 2196"	"UA 121"	"Sab"	"SAab"	11.38	 	0.682	 	48	36.8	-0.44	112	31	5	46	2	 	100	30	d	41	2	 	74	"NGC 2196"	93.04167	-21.80667
90	"Field"	"N 5377"	"U 8863"	"SBa"	"SBa"	11.94	 	0.53	 	60	25.5	0.32	110	35	5	28	3	 			*	37	5	 	55	"NGC 5377"	209.07012	47.23522
94	"Field"	"N 6118"	"U 10350"	"Sc"	"SAcd"	11.26	 	0.438	 	67	25.3	0.1	106	40	5	35	5	 	55	10	 	35	4	 		"NGC 6118"	245.4525	-2.28411
53	"Field"	"N 578"	"UA 18"	"Sc"	"SABc"	11.17	 	0.574	 	57	26.2	-0.14	104	35	3	42	3	 	50	5	 	27	2	 		"NGC 578"	22.61958	-22.66694
59	"Field"	"N 1169"	"U 2503"	"SBa"	"SABb"	10.86	 	0.682	 	48	34.4	-0.25	103	32	3			*			*	120	50	d	74	"NGC 1169"	45.89454	46.386
46	"Virgo"	"N 4654"	"U 7902"	"SBc"	"SABcd"	11.14	 	0.629	 	52	16.6	0.05	101	36	3	23	2	 	24	4	 	27	3	 	97	"NGC 4654"	190.986	13.12639
54	"Field"	"N 613"	"413G11"	"SBb"	"SBbc"	10.53	 	0.799	 	38	23.9	0.06	101	63	3			 			*	30	5	 		"NGC 613"	23.57571	-29.41836
67	"Field"	" "	"U 3580"	" "	"SAa pec:"	12.2	 	0.469	 	64	18.7	-0.24	100	28	3	24	5	d	11	2	 	31	3	 	39	"UGC 3580"	103.87929	69.56372
