recno	ID	Rad	VRot	E_VRot	e_VRot
1324	"NGC4293 "	0.125	36.2961	10.8667	15.5937
1325	"NGC4293 "	0.275	32.4979	8.9839	5.8998
1326	"NGC4293 "	0.425	54.7023	4.5991	5.4893
1327	"NGC4293 "	0.575	73.4629	5.2271	11.6712
1328	"NGC4293 "	0.725	78.8598	5.3048	4.8025
1329	"NGC4293 "	0.875	87.3171	5.0744	5.7415
1330	"NGC4293 "	1.025	94.0318	3.3455	4.1269
1331	"NGC4293 "	1.175	94.4035	2.9487	2.9237
1332	"NGC4293 "	1.325	93.0439	2.8322	2.3319
1333	"NGC4293 "	1.475	95.367	5.2175	3.1104
1334	"NGC4293 "	1.625	99.517	5.3741	7.05
1335	"NGC4293 "	1.775	105.835	5.8056	7.8132
1336	"NGC4293 "	1.925	111.288	6.4634	6.398
1337	"NGC4293 "	2.075	110.168	8.0088	4.2507
1338	"NGC4293 "	2.225	118.906	8.2088	5.2557
1339	"NGC4293 "	2.375	124.448	11.8328	7.2994
1340	"NGC4293 "	2.525	131.377	9.8856	9.2242
1341	"NGC4293 "	2.675	128.463	10.7068	9.7614
