recno	T	Gal	logRho10	logSig10	logSig3	logNu10	logI10	logI3	SimbadName	_RA	_DE
334	S	"NGC1134"	-2.54	-1.06	-0.92	8.32	9.94	9.84	"NGC1134"	43.42225	13.01412
317	S	"NGC0803"	-2.23	-1.39	-1.58	8.61	9.53	8.65	"NGC0803"	30.93625	16.03096
321	S	"NGC0918"	-2.26	-1.46	-1.29	8.55	9.28	9.52	"NGC0918"	36.45927	18.49893
17	E	"NGC0770"	-2.03	-1.31	-0.71	8.89	9.62	10.49	"NGC0770"	29.80685	18.95469
315	S	"NGC0772"	-2.05	-1.29	-0.68	8.65	9.39	9.97	"NGC0772"	29.83159	19.00754
262	S	"IC0163"	-1.68	-0.78	0.08	9.21	10.11	11.09	"IC0163"	27.31243	20.71132
312	S	"NGC0691"	-1.7	-0.87	1.36	9.15	9.98	11.97	"NGC0691"	27.67384	21.7599
16	E	"NGC0680"	-1.77	-1.03	1.47	9.09	9.71	12.15	"NGC0680"	27.44703	21.97083
311	S	"NGC0678"	-1.77	-0.91	1.16	8.95	9.8	11.77	"NGC0678"	27.35358	21.9973
822	S	"UGC01551"	-2.06	-1.24	-0.83	8.91	9.66	9.77	"UGC01551"	30.90623	24.07552
329	S	"NGC1056"	-2.55	-1.68	-1.55	8.01	8.91	9.09	"NGC1056"	40.7012	28.57427
325	S	"NGC1012"	-2.41	-1.54	-1.79	8.19	9.39	8.68	"NGC1012"	39.81235	30.15167
324	S	"NGC0972"	-2.56	-1.7	-1.55	7.91	8.82	8.84	"NGC0972"	38.55577	29.31124
823	S	"UGC02143"	-2.44	-1.47	-1.55	8.33	9.14	9.03	"UGC02143"	39.90235	36.08122
825	S	"UGC03045"	-2.78	-1.7	-2.0	7.71	8.83	8.61	"UGC03045"	66.67392	20.40787
826	S	"UGC03053"	-3.12	-1.96	-2.34	7.57	8.55	8.34	"UGC03053"	67.0403	21.65532
15	E	"NGC0661"	-2.51	-0.89	0.07	8.39	10.02	11.05	"NGC0661"	26.06097	28.70599
