recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName
334	S	"NGC1134"	43.422256	13.014126	0	1	0	3640	39.3	-24.22	0.7	3.0	1.35	"NGC1134  "
317	S	"NGC0803"	30.936255	16.03096	0	0	0	2101	30.4	-22.61	0.22	5.3	1.44	"NGC0803  "
321	S	"NGC0918"	36.461667	18.496111	0	0	0	1507	22.5	-22.83	1.53	5.2	1.67	"NGC0918  "
17	E	"NGC0770"	29.80685	18.954695	0	0	0	2543	36.7	-22.57	0.31	-4.2	0.94	"NGC0770  "
315	S	"NGC0772"	29.831591	19.00754	0	0	0	2472	35.7	-25.59	0.31	3.0	1.9	"NGC0772  "
262	S	"IC0163"	27.312431	20.711317	0	0	0	2749	39.7	-22.38	0.36	8.0	1.35	"IC0163   "
312	S	"NGC0691"	27.673841	21.759899	0	0	0	2665	38.6	-24.14	0.31	4.0	1.76	"NGC0691  "
16	E	"NGC0680"	27.447035	21.970827	0	1	0	2928	37.5	-24.17	0.34	-4.0	1.16	"NGC0680  "
311	S	"NGC0678"	27.35358	21.997299	0	0	0	2835	40.9	-24.39	0.37	3.0	1.29	"NGC0678  "
822	S	"UGC01551"	30.906231	24.075525	0	0	0	2671	38.8	-21.7	0.4	6.1	1.51	"UGC01551 "
329	S	"NGC1056"	40.701195	28.574266	0	0	0	1545	23.7	-22.8	0.65	1.0	1.13	"NGC1056  "
325	S	"NGC1012"	39.812347	30.151669	0	0	0	987	16.3	-21.77	0.63	0.0	1.47	"NGC1012  "
324	S	"NGC0972"	38.555771	29.311243	0	0	0	1543	23.7	-24.05	0.46	2.0	1.44	"NGC0972  "
823	S	"UGC02143"	39.902344	36.081223	0	0	0	2754	40.6	-21.77	0.22	3.7	1.09	"UGC02143 "
825	S	"UGC03045"	66.67392	20.407866	0	0	0	1387	20.8	-22.02	2.53	5.0	1.09	"UGC03045 "
826	S	"UGC03053"	67.040306	21.655323	0	0	0	2414	34.8	-23.0	1.95	5.9	1.26	"UGC03053 "
15	E	"NGC0661"	26.060976	28.705988	0	1	0	3815	30.6	-23.19	0.3	-4.4	1.12	"NGC0661  "
805	S	"PGC005363"	21.638643	39.881031	0	0	0	2610	39.1	-21.81	0.25	0.0	1.04	"PGC005363"
307	S	"NGC0573"	22.705626	41.257317	0	0	0	2788	41.6	-22.03	0.22	0.0	1.02	"NGC0573  "
322	S	"NGC0925"	36.820469	33.57888	0	21	0	553	9.1	-21.95	0.33	7.0	2.15	"NGC0925  "
20	E	"NGC1023"	40.100052	39.063251	1	8	0	602	11.1	-24.01	0.26	-2.7	1.68	"NGC1023  "
263	S	"IC0239"	39.11625	38.97	0	0	0	903	15.7	-22.23	0.31	6.0	1.9	"IC0239   "
319	S	"NGC0891"	35.639167	42.349167	1	6	0	528	8.1	-23.64	0.28	3.0	2.01	"NGC0891  "
308	S	"NGC0620"	24.248648	42.323357	0	0	0	2507	37.8	-21.9	0.29	7.0	1.26	"NGC0620  "
295	S	"NGC0278"	13.017918	47.550537	0	0	0	627	12.8	-22.77	0.62	2.9	1.42	"NGC0278  "
294	S	"NGC0224"	10.68471	41.268749	1	45	0	-300	0.7	-23.39	0.46	3.0	2.96	"NGC0224  "
261	S	"IC0065"	15.230966	47.681984	0	0	0	2614	39.7	-23.54	0.64	4.0	1.38	"IC0065   "
348	S	"NGC2644"	130.382904	4.980223	0	0	0	1939	28.0	-21.89	0.16	4.6	1.25	"NGC2644  "
366	S	"NGC2775"	137.583801	7.037924	0	0	0	1354	20.5	-24.53	0.19	1.7	1.64	"NGC2775  "
360	S	"NGC2731"	135.534973	8.301766	0	0	0	2583	37.0	-22.38	0.29	5.5	1.16	"NGC2731  "
377	S	"NGC2894"	142.376038	7.718817	0	0	0	2146	31.4	-23.39	0.27	1.0	1.15	"NGC2894  "
264	S	"IC0540"	142.542755	7.902529	0	0	0	2035	30.0	-21.89	0.26	3.5	1.08	"IC0540   "
375	S	"NGC2882"	141.650513	7.95455	0	0	0	2153	31.5	-22.62	0.22	3.0	1.36	"NGC2882  "
379	S	"NGC2906"	143.026031	8.441907	0	0	0	2140	31.4	-23.39	0.2	5.9	1.36	"NGC2906  "
832	S	"UGC04550"	130.816666	13.085848	0	0	0	2067	30.3	-21.55	0.21	3.2	1.17	"UGC04550 "
349	S	"NGC2648"	130.665939	14.285502	0	0	0	2060	30.3	-23.76	0.12	1.1	1.23	"NGC2648  "
394	S	"NGC3094"	150.357986	15.769937	0	0	0	2404	35.6	-23.15	0.12	1.0	1.08	"NGC3094  "
388	S	"NGC3041"	148.27977	16.677694	0	0	0	1408	22.5	-23.04	0.15	5.4	1.83	"NGC3041  "
404	S	"NGC3227"	155.877533	19.86495	0	2	0	1157	22.4	-24.12	0.1	1.5	1.8	"NGC3227  "
266	S	"IC0610"	156.618179	20.228252	0	0	0	1170	19.6	-21.53	0.09	3.9	1.02	"IC0610   "
53	E	"NGC3226"	155.862549	19.898439	1	3	0	1315	22.9	-23.24	0.1	-4.8	1.49	"NGC3226  "
399	S	"NGC3177"	154.142334	21.122868	0	0	0	1302	21.7	-22.46	0.1	3.0	1.08	"NGC3177  "
401	S	"NGC3185"	154.410767	21.688284	0	0	0	1217	20.4	-22.41	0.12	1.1	1.5	"NGC3185  "
402	S	"NGC3190"	154.523514	21.83194	0	4	0	1271	24.6	-24.51	0.11	0.9	1.34	"NGC3190  "
52	E	"NGC3193"	154.603683	21.893978	1	3	0	1381	33.1	-24.63	0.11	-4.8	1.42	"NGC3193  "
841	S	"UGC05403"	150.648163	19.177067	0	0	0	2082	31.7	-22.18	0.14	0.0	0.97	"UGC05403 "
396	S	"NGC3162"	153.381546	22.737574	0	0	0	1300	21.7	-22.22	0.1	4.6	1.55	"NGC3162  "
378	S	"NGC2903"	143.04213	21.50083	0	5	0	556	8.9	-23.72	0.13	4.0	1.93	"NGC2903  "
380	S	"NGC2916"	143.739868	21.705259	0	1	0	3730	40.6	-23.93	0.12	3.1	1.44	"NGC2916  "
49	E	"NGC3098"	150.569458	24.711092	0	0	0	1397	23.0	-22.72	0.16	-1.5	1.12	"NGC3098  "
29	E	"NGC2577"	125.681137	22.55304	0	0	0	2062	30.8	-23.41	0.23	-3.0	1.15	"NGC2577  "
831	S	"UGC04375"	125.796989	22.664581	0	0	0	2061	30.8	-22.95	0.2	5.3	1.57	"UGC04375 "
31	E	"NGC2594"	126.821609	25.878935	0	0	0	2362	35.1	-22.36	0.24	0.0	0.82	"NGC2594  "
30	E	"NGC2592"	126.783669	25.970339	1	1	0	1979	25.0	-22.88	0.25	-4.8	1.09	"NGC2592  "
27	E	"NGC2481"	119.307182	23.767693	0	0	0	2157	32.0	-23.38	0.28	0.4	1.02	"NGC2481  "
37	E	"NGC2764"	137.072983	21.443447	0	0	0	2706	39.6	-23.19	0.17	-2.0	1.09	"NGC2764  "
364	S	"NGC2753"	136.784286	25.342352	0	0	0	2783	40.9	-21.9	0.15	0.0	1.13	"NGC2753  "
363	S	"NGC2750"	136.449554	25.437365	0	0	0	2674	39.4	-23.32	0.15	5.3	1.57	"NGC2750  "
361	S	"NGC2735"	135.66098	25.934587	0	0	0	2450	36.5	-23.01	0.17	3.0	0.99	"NGC2735  "
40	E	"NGC2824"	139.759277	26.269999	0	0	0	2758	40.7	-22.93	0.14	-2.0	0.86	"NGC2824  "
376	S	"NGC2893"	142.570618	29.539986	0	0	0	1699	26.9	-21.85	0.1	0.4	0.97	"NGC2893  "
42	E	"NGC2859"	141.077286	34.513378	0	0	0	1690	27.0	-24.13	0.09	-1.2	1.43	"NGC2859  "
833	S	"UGC04559"	131.031708	30.119106	0	0	0	2085	31.7	-22.49	0.27	2.1	1.14	"UGC04559 "
32	E	"NGC2679"	132.887192	30.865419	0	0	0	2027	31.1	-22.81	0.14	-2.0	1.35	"NGC2679  "
365	S	"NGC2770"	137.390091	33.123413	0	0	0	1947	30.2	-22.84	0.1	5.3	1.57	"NGC2770  "
352	S	"NGC2683"	133.172272	33.421799	1	3	0	411	7.5	-23.06	0.14	3.0	1.75	"NGC2683  "
368	S	"NGC2780"	138.18486	34.925514	0	0	0	1979	30.8	-21.59	0.1	2.0	1.27	"NGC2780  "
39	E	"NGC2778"	138.101639	35.027424	1	1	0	2025	22.3	-22.23	0.09	-4.8	1.2	"NGC2778  "
834	S	"UGC04621"	132.549164	35.076431	0	0	0	2306	35.0	-22.31	0.17	1.0	1.16	"UGC04621 "
