recno	Gal	Rmax	epse	epse/2	Band	V/sige	V/sige/2	lamRe	lamRe/2	F/S	F/S2	_RA	_DE
1	"IC0560"	1.1	0.587	0.479	G	0.77	0.607	0.691	0.589	F	F	146.47265	-0.26822
2	"IC0598"	1.39	0.579	0.502	G	0.896	0.629	0.736	0.592	F	F	153.20242	43.14555
3	"IC0676"	0.68	0.524	0.664	G	0.508	0.436	0.495	0.442	F	F	168.16591	9.05574
4	"IC0719"	1.06	0.714	0.642	R	0.279	0.117	0.263	0.092	F	S	175.07704	9.00986
5	"IC0782"	0.76	0.404	0.263	G	0.677	0.608	0.571	0.529	F	F	185.40405	5.76567
6	"IC1024"	1.18	0.679	0.752	G	0.916	0.647	0.724	0.599	F	F	217.86342	3.00911
7	"IC3631"	1.11	0.56	0.524	G	0.218	0.173	0.25	0.196	F	F	189.9502	12.97393
8	"NGC0448"	1.22	0.643	0.656	G	0.38	0.377	0.327	0.291	F	F	18.81887	-1.62611
9	"NGC0474"	0.52	0.192	0.191	G	0.229	0.227	0.213	0.21	F	F	20.02825	3.41544
10	"NGC0502"	1.44	0.146	0.047	G	0.213	0.168	0.234	0.172	F	F	20.73196	9.04903
11	"NGC0509"	0.56	0.679	0.661	G	0.451	0.43	0.465	0.444	F	F	20.85032	9.43347
12	"NGC0516"	0.95	0.699	0.701	G	0.786	0.624	0.655	0.579	F	F	21.03361	9.55167
13	"NGC0524"	0.5	0.034	0.034	G	0.344	0.344	0.325	0.325	F	F	21.19878	9.53879
14	"NGC0525"	1.41	0.28	0.173	G	0.404	0.285	0.418	0.274	F	F	21.22044	9.70324
15	"NGC0661"	1.33	0.306	0.307	G	0.134	0.094	0.139	0.07	S	S	26.06097	28.70599
16	"NGC0680"	1.19	0.189	0.185	G	0.413	0.361	0.406	0.36	F	F	27.44703	21.97083
17	"NGC0770"	2.01	0.276	0.299	G	0.184	0.117	0.195	0.114	F	S	29.80685	18.95469
18	"NGC0821"	0.49	0.392	0.392	G	0.288	0.288	0.273	0.273	F	F	32.08812	10.99487
19	"NGC0936"	1.0	0.223	0.223	C	0.677	0.448	0.657	0.43	F	F	36.90609	-1.15628
20	"NGC1023"	0.47	0.363	0.363	G	0.372	0.372	0.391	0.391	F	F	40.09958	39.06286
21	"NGC1121"	2.14	0.559	0.45	G	0.828	0.587	0.711	0.548	F	F	42.66339	-1.73404
22	"NGC1222"	1.12	0.28	0.28	C	0.153	0.138	0.147	0.132	S	S	47.23645	-2.95521
23	"NGC1248"	1.1	0.227	0.138	G	0.521	0.337	0.535	0.353	F	F	48.20233	-5.22467
24	"NGC1266"	0.88	0.193	0.207	G	0.775	0.589	0.638	0.517	F	F	49.00317	-2.42734
25	"NGC1289"	0.9	0.393	0.38	G	0.172	0.154	0.178	0.154	S	S	49.70759	-1.97335
26	"NGC1665"	0.65	0.491	0.44	G	0.669	0.478	0.658	0.511	F	F	72.0711	-5.42766
27	"NGC2481"	1.26	0.684	0.467	G	0.686	0.399	0.678	0.428	F	F	119.30718	23.76769
28	"NGC2549"	0.88	0.587	0.488	G	0.623	0.563	0.572	0.523	F	F	124.74311	57.80311
29	"NGC2577"	1.13	0.471	0.421	G	0.874	0.733	0.696	0.623	F	F	125.68114	22.55304
30	"NGC2592"	1.39	0.208	0.21	G	0.529	0.422	0.549	0.431	F	F	126.78367	25.97034
31	"NGC2594"	2.92	0.403	0.433	G	0.455	0.45	0.404	0.444	F	F	126.82161	25.87894
32	"NGC2679"	0.46	0.368	0.368	G	0.185	0.185	0.193	0.193	F	F	132.88719	30.86542
33	"NGC2685"	0.9	0.612	0.592	G	0.84	0.734	0.691	0.632	F	F	133.89479	58.73441
34	"NGC2695"	1.04	0.293	0.225	G	0.582	0.422	0.575	0.406	F	F	133.61278	-3.0671
35	"NGC2698"	1.27	0.516	0.267	S	0.569	0.331	0.593	0.345	F	F	133.90222	-3.18388
36	"NGC2699"	1.39	0.143	0.202	G	0.45	0.393	0.444	0.398	F	F	133.95342	-3.12751
37	"NGC2764"	1.25	0.614	0.662	G	0.783	0.568	0.658	0.535	F	F	137.07298	21.44345
38	"NGC2768"	0.35	0.472	0.472	G	0.236	0.236	0.253	0.253	F	F	137.90627	60.03721
39	"NGC2778"	1.05	0.224	0.201	G	0.574	0.419	0.572	0.435	F	F	138.10164	35.02742
40	"NGC2824"	2.49	0.162	0.107	G	0.534	0.407	0.492	0.37	F	F	139.75927	26.27
41	"NGC2852"	2.6	0.135	0.043	G	0.32	0.186	0.368	0.201	F	F	140.81068	40.16388
42	"NGC2859"	0.6	0.089	0.057	G	0.41	0.408	0.359	0.361	F	F	141.07729	34.51338
43	"NGC2880"	0.81	0.282	0.208	G	0.627	0.508	0.581	0.482	F	F	142.39424	62.49062
44	"NGC2950"	1.11	0.362	0.237	G	0.488	0.472	0.436	0.428	F	F	145.64632	58.85122
45	"NGC2962"	0.64	0.484	0.319	G	0.376	0.298	0.43	0.329	F	F	145.22461	5.16582
46	"NGC2974"	0.53	0.407	0.403	R	0.813	0.811	0.663	0.664	F	F	145.63861	-3.69912
