recno	Name	ID	z	PA	eps	Type	M*	rMAG	Reff	Rmax	SimbadName	_RA	_DE
1	"IC 0480"	159	0.015	167	0.77	"Sc "	1.41	-20.43	24	38	"IC 0480"	118.84679	26.74112
2	"IC 0540"	274	0.007	170	0.63	"Sab"	0.75	-19.27	14	27	"IC 0540"	142.54275	7.90253
3	"IC 0674"	381	0.025	117	0.63	"Sab"	8.09	-22.07	9	36	"IC 0674"	167.77641	43.63299
4	"IC 0944"	663	0.023	105	0.65	"Sab"	18.2	-22.37	19	37	"IC 0944"	207.87874	14.09213
5	"IC 1079"	781	0.029	82	0.51	"E4 "	21.23	-23.21	37	26	"IC 1079"	224.15054	9.36975
6	"IC 1151"	817	0.007	28	0.63	"Scd"	0.7	-20.26	22	37	"IC 1151"	239.6347	17.44155
7	"IC 1199"	824	0.016	157	0.57	"Sb "	4.67	-21.46	20	28	"IC 1199"	242.64311	10.04042
8	"IC 1256"	856	0.016	89	0.36	"Sb "	2.0	-21.18	17	25	"IC 1256"	260.94717	26.48651
9	"IC 1528"	5	0.013	75	0.56	"Sbc"	1.39	-20.95	23	41	"IC 1528"	1.27235	-7.09342
10	"IC 1652"	37	0.017	171	0.72	"S0a"	4.09	-21.2	11	26	"IC 1652"	18.73436	31.9485
11	"IC 1683"	43	0.016	15	0.35	"Sb "	3.88	-21.11	13	26	"IC 1683"	20.66195	34.437
12	"IC 1755"	70	0.026	155	0.75	"Sb "	8.43	-21.69	11	31	"IC 1755"	29.29088	14.54979
13	"IC 2101"	144	0.015	144	0.72	"Scd"	1.74	-20.81	25	44	"IC 2101"	72.92603	-6.23147
14	"IC 2247"	186	0.014	148	0.79	"Sab"	3.24	-20.75	21	41	"IC 2247"	123.9961	23.19953
15	"IC 2487"	273	0.015	162	0.79	"Sc "	2.48	-21.05	25	40	"IC 2487"	142.53828	20.09091
16	"IC 4566"	807	0.019	161	0.41	"Sb "	8.99	-21.96	15	27	"IC 4566"	234.1757	43.53937
17	"IC 5309"	906	0.014	25	0.55	"Sc "	1.89	-20.61	17	24	"IC 5309"	349.79849	8.10933
18	"IC 5376"	1	0.017	3	0.69	"Sb "	4.52	-21.1	16	36	"IC 5376"	0.33237	34.52574
19	"MCG-01-54-016"	878	0.01	32	0.78	"Scd"	0.11	-18.77	24	38	"MCG-01-54-016"	321.49917	-3.80986
20	"MCG-02-02-030"	13	0.012	171	0.56	"Sb "	2.34	-20.88	19	38	"MCG-02-02-030"	7.53045	-11.11366
21	"MCG-02-02-040"	16	0.012	53	0.47	"Scd"	0.99	-20.19	20	34	"MCG-02-02-040"	7.8988	-10.50634
22	"MCG-02-03-015"	32	0.019	22	0.74	"Sab"	4.24	-21.41	12	37	"MCG-02-03-015"	11.94341	-9.83509
23	"MCG-02-51-004"	868	0.019	159	0.64	"Sb "	4.79	-21.69	17	34	"MCG-02-51-004"	303.91623	-13.6219
24	"NGC 0001"	8	0.015	107	0.32	"Sbc"	6.31	-21.73	12	30	"NGC 0001"	1.81594	27.70809
25	"NGC 0023"	9	0.015	177	0.3	"Sb "	10.96	-22.47	17	26	"NGC 0023"	2.47255	25.92374
26	"NGC 0036"	10	0.02	24	0.48	"Sb "	7.87	-22.33	21	33	"NGC 0036"	2.84299	6.38924
27	"NGC 0155"	18	0.021	167	0.14	"E1 "	15.0	-22.41	15	25	"NGC 0155"	8.66714	-10.76649
28	"NGC 0160"	20	0.018	49	0.47	"Sa "	10.72	-22.18	22	35	"NGC 0160"	9.01687	23.95788
29	"NGC 0169"	22	0.015	90	0.47	"Sab"	39.9	-21.87	34	34	"NGC 0169"	9.21505	23.99094
30	"NGC 0171"	23	0.013	32	0.05	"Sb "	5.26	-21.84	26	32	"NGC 0171"	9.33967	-19.93425
31	"NGC 0177"	24	0.013	8	0.42	"Sab"	2.34	-20.7	13	37	"NGC 0177"	9.39306	-22.54925
32	"NGC 0180"	25	0.018	167	0.34	"Sb "	8.36	-22.31	28	41	"NGC 0180"	9.49038	8.63522
33	"NGC 0192"	26	0.014	168	0.57	"Sab"	7.05	-21.59	22	39	"NGC 0192"	9.8058	0.86414
34	"NGC 0214"	28	0.015	50	0.26	"Sbc"	6.65	-22.16	18	31	"NGC 0214"	10.36675	25.49934
35	"NGC 0216"	27	0.005	25	0.71	"Sd "	0.19	-18.99	20	35	"NGC 0216"	10.36202	-21.04803
36	"NGC 0217"	29	0.013	112	0.74	"Sa "	12.5	-21.9	23	41	"NGC 0217"	10.39126	-10.02138
37	"NGC 0234"	31	0.015	64	0.2	"Sc "	4.5	-21.91	20	34	"NGC 0234"	10.88493	14.34262
38	"NGC 0237"	30	0.014	175	0.32	"Sc "	2.04	-21.14	15	35	"NGC 0237"	10.86617	-0.12487
39	"NGC 0257"	33	0.018	88	0.36	"Sc "	6.22	-22.15	21	40	"NGC 0257"	12.00629	8.29707
40	"NGC 0364"	35	0.017	35	0.28	"E7 "	9.16	-21.56	15	24	"NGC 0364"	16.17031	-0.80266
41	"NGC 0429"	36	0.019	15	0.78	"Sa "	6.22	-21.26	6	29	"NGC 0429"	18.23939	-0.34491
