recno	ID	eps	PA	Incl	Reff	Type	M*	rMAG	C90/50	u-r	SFR	l0_5Re	lRe	l2Re	lRe90	(V/sig)e	SimbadName	_RA	_DE
1	1	0.685	3.4	75.8	16	"Sb "	4.52	-21.1	3.33	2.78	0.98	0.51	0.6	0.74	0.61	0.67	"IC5376"	0.33237	34.52575
2	2	0.526	44.1	65.8	16	"Sbc"	6.78	-22.09	2.06	2.86	6.43	0.71	0.83		0.84	1.45	"UGC00005"	0.77354	-1.91386
3	3	0.412	105.3	56.8	23	"Sc "	2.45	-21.06	2.11	2.44	2.18	0.52	0.61		0.64	0.74	"NGC7819"	1.10204	31.47203
4	4	0.302	173.3	64.6	17	"E1 "	10.86	-22.66	3.1	2.83	0.13	0.07	0.11		0.12	0.13	"UGC00029"	1.14054	28.30167
5	5	0.559	75.1	67.8	23	"Sbc"	1.39	-20.95	2.12	2.27	1.41	0.75	0.84		0.85	1.55	"IC1528"	1.27237	-7.09342
6	6	0.37	143.3	53.6	11	"Sab"	17.62	-22.26	3.22	3.29	0.72	0.39	0.5	0.64	0.54	0.53	"NGC7824"	1.276	6.92014
7	7	0.611	18.0	71.8	10	"Sab"	10.05	-21.69	2.68	2.86	1.33	0.37	0.58		0.59	0.67	"UGC00036"	1.30783	6.772
8	8	0.324	107.6	50.0	12	"Sbc"	6.31	-21.73	3.04	2.39	4.87	0.44	0.53	0.64	0.58	0.58	"NGC0001"	1.81608	27.70806
9	9	0.302	177.5	48.1	17	"Sb "	10.96	-22.47	3.22	2.24	15.5	0.45	0.43		0.48	0.48	"NGC0023"	2.47254	25.92375
10	10	0.476	24.6	61.9	21	"Sb "	7.87	-22.33	2.49	2.64	2.47	0.61	0.75		0.77	1.0	"NGC0036"	2.84292	6.38933
11	12	0.755	96.8	79.8	20	"Sc "	1.29	-20.75	2.22	1.91	3.09	0.64	0.73		0.73	0.98	"UGC00148"	3.96362	16.08981
12	13	0.561	171.2	68.6	19	"Sb "	2.34	-20.88	2.24	2.48	0.69	0.55	0.73		0.74	0.98	"MCG-02-02-030"	7.53046	-11.11367
13	14	0.462	7.5	60.9	20	"Sd "	0.6	-20.69	2.08	1.79	3.69	0.41	0.51		0.53	0.54	"UGC00312"	7.84933	8.46703
14	16	0.468	53.4	61.5	20	"Scd"	0.99	-20.19	2.23	2.24	1.19	0.51	0.61		0.63	0.74	"MCG-02-02-040"	7.89879	-10.50633
15	17	0.49	149.8	63.2	18	"E4 "	6.07	-21.39	3.23	3.58	0.1	0.25	0.28		0.29	0.29	"UGC 335 S"	8.48879	7.26828
