recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	_RA	_DE
1	"IC 0480"	"Sc "	62	167	0.8	84	24	38	1.6	4597	11.661	0.069	0.073	0.362	0.009	0.012	0	118.84679	26.74112
2	"IC 0540"	"Sab"	26	172	0.78	81	14	27	1.9	2095	8.582	0.054	0.047	0.39	0.009	0.011	0	142.54275	7.90253
3	"IC 0674"	"Sab"	103	119	0.6	69	9	36	4.0	7459	6.439	0.024	0.022	-0.451	0.021	0.02	2	167.77651	43.63301
4	"IC 0944"	"Sab"	96	105	0.66	75	19	37	1.9	6974	8.054	0.025	0.021	0.44	0.004	0.005	2	207.87874	14.09213
5	"IC 1079"	"E4 "	119	83	0.5	71	37	26	0.7	8631	6.306	0.025	0.023	0.32	0.004	0.005	1	224.15054	9.36975
6	"IC 1151"	"Scd"	31	29	0.57	68	22	37	1.7	2158	5.42	0.034	0.032	0.211	0.018	0.029	0	239.6347	17.44155
7	"IC 1256"	"Sb "	67	99	0.37	51	17	25	1.5	4691	5.852	0.04	0.038	0.598	0.006	0.01	0	260.94717	26.48651
8	"IC 1528"	"Sbc"	53	74	0.57	68	23	41	1.8	3741	3.582	0.021	0.014	0.402	0.01	0.015	0	1.27235	-7.09342
9	"IC 1652"	"S0a"	73	171	0.78	78	11	26	2.4	5040	2.959	0.013	0.012	0.456	0.009	0.017	1	18.73436	31.9485
10	"IC 1755"	"Sb "	110	155	0.75	78	11	31	2.8	7889	7.108	0.021	0.021	0.281	0.01	0.018	2	29.29088	14.54979
11	"IC 2101"	"Scd"	61	145	0.76	80	25	44	1.8	4445	5.773	0.044	0.039	0.601	0.005	0.008	0	72.92603	-6.23147
12	"IC 2247"	"Sab"	58	145	0.77	81	21	41	2.0	4230	7.787	0.035	0.035	0.48	0.011	0.016	1	123.9961	23.19953
13	"IC 2487"	"Sc "	58	164	0.74	76	25	40	1.6	4284	7.423	0.026	0.041	0.61	0.007	0.011	0	142.53828	20.09091
14	"IC 4566"	"Sb "	81	151	0.38	53	15	27	1.8	5523	5.556	0.03	0.016	-0.681	0.035	0.03	2	234.17566	43.53931
15	"IC 5309"	"Sc "	60	27	0.54	64	17	24	1.4	4153	4.163	0.046	0.037	0.42	0.013	0.019	0	349.79849	8.10933
16	"IC 5376"	"Sb "	72	3	0.73	80	16	36	2.2	4975	7.894	0.041	0.035	0.516	0.006	0.008	2	0.33237	34.52574
17	"MCG-01-54-016"	"Scd"	42	31	0.74	80	24	38	1.6	2915	10.861	0.172	0.186	0.818	0.011	0.015	0	321.49917	-3.80986
