recno	Galaxy	D	Re	logM*	logSFR	dSFR	Type	Bar	QS	f_QS	NA	f_NA	_RA	_DE
1	"IC0480"	61.7	14.0	9.988	0.145	-0.016	"Sc "	"AB"	"SF "	1	"nonA"	S	118.84679	26.74112
2	"IC0540"	26.1	12.1	9.736	-0.903	-0.869	"Sab"	"AB"	"MX "	1	"sAGN"	S	142.54275	7.90253
3	"IC0674"	103.4	9.2	10.997	-0.096	-1.033	"Sab"	"B "	"MX "	2	"nonA"	S	167.7765	43.633
4	"IC0944"	95.8	13.6	11.108	0.026	-0.996	"Sab"	"A "	"MX "	1	"nonA"	S	207.87874	14.09213
5	"IC1079"	119.3	18.2	11.252	-0.628	-1.762	"E4 "	"A "	"nR "	2	"nonA"	S	224.15054	9.36975
6	"IC1151"	31.0	19.9	9.521	0.006	0.206	"Scd"	"B "	"SF "	1	"nonA"	S	239.6347	17.44155
7	"IC1256"	67.0	10.1	10.397	0.157	-0.319	"Sb "	"AB"	"SF "	1	"nonA"	S	260.94717	26.48651
8	"IC1528"	53.3	16.0	10.134	0.428	0.155	"Sbc"	"AB"	"SF "	1	"nonA"	S	1.27235	-7.09342
9	"IC1652"	72.9	8.3	10.502	-1.479	-2.035	"S0a"	"A "	"fR "	1	"nonA"	S	18.73436	31.9485
10	"IC1755"	109.9	16.4	10.977	-0.507	-1.429	"Sb "	"A "	"MX "	1	"nonA"	S	29.29077	14.54987
11	"IC2101"	60.7	15.8	10.164	0.425	0.13	"Scd"	"AB"	"SF "	1	"nonA"	S	72.92603	-6.23147
12	"IC2247"	57.7	15.2	10.429	0.154	-0.345	"Sab"	"A "	"SF "	1	"sAGN"	S	123.99621	23.1996
13	"IC2487"	58.3	15.8	10.326	0.202	-0.219	"Sc "	"AB"	"SF "	1	"nonA"	S	142.53828	20.09091
14	"IC4566"	81.0	12.7	10.779	-0.025	-0.794	"Sb "	"B "	"MX "	1	"nonA"	S	234.17566	43.53931
15	"IC5309"	59.6	15.9	10.109	0.164	-0.089	"Sc "	"AB"	"SF "	2	"nonA"	S	349.79849	8.10933
16	"IC5376"	71.5	11.1	10.584	-0.254	-0.873	"Sb "	"A "	"cQ "	1	"nonA"	S	0.33237	34.52574
17	"MCG-01-54-016"	42.1	16.8	9.156	-0.528	-0.048	"Scd"	"A "	"SF "	1	"nonA"	S	321.49917	-3.80986
18	"MCG-02-02-030"	48.9	12.4	10.291	-0.103	-0.497	"Sb "	"AB"	"QnR"	1	"sAGN"	U	7.53045	-11.11366
19	"MCG-02-02-040"	49.8	16.1	9.952	0.108	-0.025	"Scd"	"AB"	"SF "	1	"nonA"	S	7.8988	-10.50634
20	"MCG-02-03-015"	79.8	12.7				"Sab"	"AB"	"SF "	3	"nonA"	S	11.94341	-9.83509
21	"MCG-02-51-004"	79.3	11.6	10.65	0.402	-0.268	"Sb "	"A "	"SF "	1	"nonA"	S	303.91623	-13.6219
22	"NGC 0001"	64.7	11.7	10.691	0.494	-0.207	"Sbc"	"A "	"SF "	1	"nonA"	S	1.81606	27.70806
23	"NGC 0023"	64.9	7.8	10.935	0.983	0.094	"Sb "	"B "	"SF "	1	"nonA"	S	2.47255	25.92374
24	"NGC 0155"	85.8	9.2	10.884	-1.809	-2.659	"E1 "	"A "	"fR "	1	"nonA"	S	8.66702	-10.76654
25	"NGC 0160"	74.0	16.8	11.047	0.05	-0.926	"Sa "	"A "	"cQ "	2	"nonA"	S	9.01708	23.95792
26	"NGC 0171"	53.9	18.0	10.641	-0.228	-0.89	"Sb "	"B "	"cQ "	1	"nonA"	S	9.33967	-19.93425
27	"NGC 0177"	52.7	16.2				"Sab"	"A "	"QnR"	2	"nonA"	S	9.39306	-22.54925
28	"NGC 0192"	57.9	14.2	10.75	0.348	-0.399	"Sab"	"AB"	"MX "	1	"nonA"	S	9.8058	0.86414
29	"NGC 0214"	64.2	14.8	10.801	0.715	-0.071	"Sbc"	"AB"	"SF "	1	"wAGN"	S	10.36676	25.4994
30	"NGC 0216"	21.4	10.9	9.185	-0.404	0.054	"Sd "	"A "	"SF "	1	"nonA"	S	10.36202	-21.04803
31	"NGC 0217"	55.2	19.2	10.832	-0.258	-1.068	"Sa "	"A "	"MX "	1	"nonA"	S	10.39122	-10.02141
32	"NGC 0237"	58.4	10.1	10.195	0.507	0.187	"Sc "	"B "	"SF "	1	"nonA"	S	10.86617	-0.12487
33	"NGC 0257"	73.7	16.2	10.842	0.941	0.124	"Sc "	"A "	"SF "	1	"nonA"	S	12.00629	8.29708
34	"NGC 0429"	78.0	6.7	10.736	-1.448	-2.184	"Sa "	"A "	"fR "	1	"nonA"	S	18.23927	-0.34498
35	"NGC 0444"	68.3	15.2	9.794	0.09	0.08	"Scd"	"A "	"SF "	1	"nonA"	S	18.9566	31.08023
36	"NGC 0499"	62.3	9.2	11.24	-1.14	-2.265	"E5 "	"A "	"fR "	1	"nonA"	S	20.79792	33.4602
37	"NGC 0504"	59.9	6.8	10.587	-1.41	-2.032	"S0 "	"A "	"fR "	1	"nonA"	S	20.86627	33.20436
38	"NGC 0517"	59.6	5.8	10.644	-1.509	-2.175	"S0 "	"A "	"fR "	1	"nonA"	S	21.18252	33.42959
39	"NGC 0528"	67.8	8.2	10.932	-0.97	-1.857	"S0 "	"A "	"nR "	1	"nonA"	S	21.38989	33.67141
40	"NGC 0529"	68.1	9.9	11.079	-0.977	-1.977	"E4 "	"A "	"fR "	1	"nonA"	S	21.41792	34.71293
41	"NGC 0551"	73.2	15.1	10.565	0.2	-0.404	"Sbc"	"AB"	"QnR"	1	"nonA"	S	21.9193	37.183
42	"NGC 0681"	24.3	16.6	10.16	-0.245	-0.537	"Sa "	"AB"	"MX "	2	"nonA"	S	27.29506	-10.42634
43	"NGC 0741"	77.0	15.4	11.434	-0.839	-2.113	"E1 "	"A "	"nR "	1	"nonA"	S	29.08733	5.62882
44	"NGC 0755"	22.6	17.8	9.3	-0.298	0.072	"Scd"	"B "	"SF "	1	"nonA"	S	29.09452	-9.06143
45	"NGC 0768"	96.7	15.2	10.579	0.45	-0.165	"Sc "	"B "	"SF "	1	"nonA"	S	29.67064	0.52921
46	"NGC 0774"	64.4	7.4	10.763	-0.992	-1.749	"S0 "	"A "	"nR "	1	"nonA"	S	29.89473	14.00821
47	"NGC 0776"	68.8	13.2	10.803	0.382	-0.406	"Sb "	"B "	"SF "	1	"nonA"	S	29.97716	23.64429
48	"NGC 0781"	48.7	7.2				"Sa "	"A "	"fR "	3	"nonA"	S	30.0374	12.65611
49	"NGC 0810"	106.0	10.3	11.357	-0.35	-1.564	"E5 "	"A "	"nR "	2	"nonA"	S	31.36901	13.25163
50	"NGC 0932"	56.9	14.0	10.957	-0.454	-1.36	"S0a"	"A "	"nR "	2	"nonA"	S	36.97785	20.33264
51	"NGC 1056"	22.4	8.0	10.017	0.093	-0.09	"Sa "	"A "	"SF "	1	"nonA"	S	40.7012	28.57427
52	"NGC 1060"	72.5	13.0	11.472	-0.654	-1.957	"E3 "	"A "	"fR "	1	"nonA"	S	40.81269	32.42501
53	"NGC 1167"	69.1	13.4	11.231	-0.32	-1.437	"S0 "	"A "	"nR "	1	"sAGN"	U	45.42649	35.20565
54	"NGC 1349"	90.2	11.1	11.112	-0.128	-1.154	"E6 "	"A "	"MX "	2	"nonA"	S	52.86476	4.38087
55	"NGC 1542"	50.3	8.9	10.314	0.054	-0.357	"Sab"	"AB"	"MX "	1	"nonA"	S	64.30898	4.78166
56	"NGC 1645"	65.9	12.2	10.764	-0.481	-1.239	"S0a"	"B "	"MX "	1	"nonA"	S	71.02665	-5.46567
57	"NGC 1677"	36.5	15.2	9.467	-0.195	0.046	"Scd"	"AB"	"SF "	1	"nonA"	S	72.71699	-4.89271
58	"NGC 2253"	50.2	14.0	10.518	0.567	-0.001	"Sbc"	"B "	"SF "	1	"nonA"	S	100.81119	65.67749
59	"NGC 2347"	61.9	12.0	10.681	0.653	-0.041	"Sbc"	"AB"	"SF "	1	"nonA"	S	109.01703	64.71154
60	"NGC 2410"	63.7	16.1	10.767	0.267	-0.494	"Sb "	"AB"	"SF "	1	"sAGN"	S	113.75941	32.82216
61	"NGC 2449"	66.3	11.9	10.854	-0.013	-0.84	"Sab"	"AB"	"MX "	1	"nonA"	S	116.83456	26.93016
62	"NGC 2476"	51.0	6.9	10.673	-0.771	-1.458	"E6 "	"A "	"fR "	1	"nonA"	S	119.18828	39.92788
63	"NGC 2481"	28.6	14.8	10.542	-1.515	-2.102	"S0 "	"A "	"MX "	1	"nonA"	S	119.30718	23.76769
64	"NGC 2486"	62.8	19.4				"Sab"	"B "	"MX "	1	"nonA"	S	119.48537	25.16088
65	"NGC 2553"	63.5	8.6	10.591	-1.038	-1.662	"Sb "	"AB"	"fR "	1	"nonA"	S	124.39598	20.90323
66	"NGC 2554"	56.0	15.3	11.032	-0.418	-1.382	"S0a"	"A "	"nR "	1	"wAGN"	S	124.47282	23.47211
67	"NGC 2592"	26.2	6.8	10.234	-2.309	-2.659	"E4 "	"A "	"fR "	1	"nonA"	S	126.78355	25.97031
68	"NGC 2604"	27.8	18.0	9.343	-0.226	0.111	"Sd "	"B "	"SF "	1	"nonA"	S	128.34607	29.53862
69	"NGC 2639"	46.1	10.9	10.853	-0.191	-1.018	"Sa "	"A "	"MX "	1	"sAGN"	S	130.90872	50.20554
70	"NGC 2730"	51.1	18.2	9.931	0.347	0.231	"Scd"	"B "	"SF "	1	"nonA"	S	135.566	16.8382
71	"NGC 2880"	22.4	10.0	10.324	-2.292	-2.71	"E7 "	"AB"	"fR "	1	"nonA"	S	142.39424	62.49062
72	"NGC 2906"	27.6	12.2	10.261	-0.098	-0.469	"Sbc"	"A "	"cQ "	2	"nonA"	S	143.02603	8.44191
73	"NGC 2916"	50.0	18.7	10.455	0.314	-0.206	"Sbc"	"A "	"cQ "	1	"nonA"	S	143.73997	21.70526
74	"NGC 2918"	93.1	7.3	10.986	-1.247	-2.176	"E6 "	"A "	"fR "	1	"nonA"	S	143.93347	31.70541
75	"NGC 3057"	22.9	18.5	8.775	-0.806	-0.033	"Sdm"	"B "	"SF "	1	"nonA"	S	151.41377	80.28567
76	"NGC 3106"	84.5	11.8	11.088	-0.144	-1.151	"Sab"	"A "	"MX "	2	"nonA"	S	151.02188	31.18546
77	"NGC 3160"	94.7	11.0	10.706	-0.508	-1.22	"Sab"	"AB"	"MX "	1	"sAGN"	S	153.47966	38.84294
78	"NGC 3300"	40.9	10.1	10.484	-1.56	-2.102	"S0a"	"B "	"fR "	1	"nonA"	S	159.16017	14.17111
