#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:11 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/385/816/galaxies&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33850816
#Name: J/A+A/385/816
#Title: LSB galaxies rotation curves (de Blok+ 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	creator=de Blok W.J.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...385..816D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/385/816	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33850816	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_385_816_galaxies:
#Name: J/A+A/385/816/galaxies
#Title: Galaxy positions (from NED/Simbad)
#Column	Name	(a11)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	Simbad	NED
 	"h:m:s"	"d:m:s"	 	
-----------	----------	---------	------	---
LSBCF563-1 	08 55 06.9	+19 44 58	Simbad	NED
UGC711     	01 08 37.3	+01 38 26	Simbad	NED
NGC100     	00 24 02.7	+16 29 10	Simbad	NED
NGC1560    	04 32 47.7	+71 52 46	Simbad	NED
UGC1230    	01 45 32.6	+25 31 15	Simbad	NED
UGC1281    	01 49 31.7	+32 35 16	Simbad	NED
UGC3137    	04 46 15.5	+76 25 06	Simbad	NED
UGC3371    	05 56 36.0	+75 19 02	Simbad	NED
UGC4173    	08 07 10.1	+80 07 37	Simbad	NED
UGC4325    	08 19 20.5	+50 00 34	Simbad	NED
UGC5005    	09 24 29.6	+22 16 29	Simbad	NED
UGC5750    	10 35 45.1	+20 59 25	Simbad	NED
UGC628     	01 00 52.0	+19 28 33	Simbad	NED
UGC731     	01 10 44.0	+49 36 08	Simbad	NED
DDO185     	13 54 45.8	+53 54 03	Simbad	NED
DDO189     	14 22 32.6	+45 22 58	Simbad	NED
DDO47      	07 41 55.2	+16 48 12	Simbad	NED
DDO52      	08 28 28.4	+41 51 24	Simbad	NED
DDO64      	09 50 22.4	+31 29 17	Simbad	NED
IC2233     	08 13 59.0	+45 44 38	Simbad	NED
NGC2366    	07 28 51.9	+69 12 31	Simbad	NED
NGC3274    	10 32 17.3	+27 40 08	Simbad	NED
NGC4395    	12 25 48.9	+33 32 48	Simbad	NED
NGC4455    	12 28 44.1	+22 49 17	Simbad	NED
NGC5023    	13 12 11.7	+44 02 13	Simbad	NED
UGC10310   	16 16 18.3	+47 02 45	Simbad	NED

