recno	Name	r	r(kpc)	Vgas	Vdisk	Vrot	e_Vrot
1	"LSBCF563-1"	2.5	0.55	1.02	8.33	15.52	22.84
2	"LSBCF563-1"	7.5	1.64	3.92	18.05	46.42	9.46
3	"LSBCF563-1"	12.5	2.73	7.62	20.44	76.8	11.11
4	"LSBCF563-1"	39.0	8.52	24.45	25.68	93.72	25.29
5	"LSBCF563-1"	42.5	9.28	26.79	25.48	97.4	11.03
6	"LSBCF563-1"	50.0	10.92	30.32	25.46	104.0	8.35
7	"LSBCF563-1"	65.0	14.2	29.44	23.56	110.9	5.11
8	"LSBCF563-1"	80.0	17.48	32.75	20.82	114.1	7.71
9	"DDO185"	3.0	0.07	0.35	0.81	1.56	4.06
10	"DDO185"	9.0	0.22	-2.2	2.23	4.86	4.06
11	"DDO185"	15.0	0.37	-4.81	3.49	8.11	4.06
12	"DDO185"	63.0	1.56	13.94	8.86	26.06	4.06
13	"DDO185"	69.0	1.71	15.46	9.21	31.79	4.06
14	"DDO185"	75.0	1.86	16.22	9.39	37.58	5.03
15	"DDO185"	81.0	2.0	15.33	9.59	42.49	4.83
16	"DDO185"	87.0	2.15	14.33	9.86	49.64	4.86
17	"DDO189"	7.5	0.46	-2.78	6.26	20.37	8.07
18	"DDO189"	12.9	0.79	-4.27	9.93	28.13	9.38
19	"DDO189"	22.5	1.38	-0.47	12.64	39.01	6.54
20	"DDO189"	31.5	1.93	-1.54	14.59	46.61	31.04
21	"DDO189"	49.5	3.03	15.27	15.37	57.88	10.73
22	"DDO189"	58.5	3.58	21.26	14.73	60.35	14.02
23	"DDO189"	74.6	4.57	25.15	13.09	62.75	5.76
24	"DDO189"	89.5	5.47	24.92	11.83	65.38	5.76
25	"DDO189"	104.7	6.4	27.87	10.83	65.67	5.76
26	"DDO189"	119.1	7.29	27.35	9.89	65.18	5.76
27	"DDO189"	134.9	8.25	27.18	9.17	64.36	5.76
28	"DDO47"	14.1	0.27	2.62	4.72	10.61	8.0
29	"DDO47"	48.0	0.93	4.67	8.69	29.44	8.49
30	"DDO47"	66.4	1.29	6.82	9.37	36.38	8.0
31	"DDO47"	105.0	2.04	10.35	10.12	44.14	8.0
32	"DDO47"	120.0	2.33	11.05	10.74	48.46	8.0
33	"DDO47"	135.0	2.62	13.03	10.77	54.92	8.0
34	"DDO47"	150.0	2.91	16.34	9.49	61.1	8.0
35	"DDO47"	165.0	3.2	18.67	8.73	66.96	8.0
36	"DDO52"	5.4	0.14			3.16	9.18
37	"DDO52"	9.0	0.23			4.95	4.62
38	"DDO52"	15.0	0.39			9.42	4.62
