#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/385/816/rawcurve&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33850816
#Name: J/A+A/385/816
#Title: LSB galaxies rotation curves (de Blok+ 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/385/816	    IVOID of underlying data collection
#INFO	creator=de Blok W.J.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...385..816D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/385/816	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33850816	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_385_816_rawcurve:
#Name: J/A+A/385/816/rawcurve
#Title: Raw rotation curves
#Column	Name	(a11)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	r	(F8.1)	Angular radius	[ucd=phys.angSize]
#Column	Vrot	(F9.2)	Rotation velocity (1)	[ucd=phys.veloc.rotat]
#Column	e_Vrot	(F6.2)	Error in rotation velocity (1)	[ucd=stat.error]
Name	r	Vrot	e_Vrot
 	arcsec	km/s	km/s
-----------	--------	---------	------
LSBCF563-1 	   -44.4	   -32.75	 15.61
LSBCF563-1 	   -42.6	   -45.84	  6.50
LSBCF563-1 	   -40.8	   -39.37	  6.92
LSBCF563-1 	   -39.0	   -38.84	 10.32
LSBCF563-1 	   -35.4	   -33.43	  8.80
LSBCF563-1 	   -31.8	   -32.18	  8.85
LSBCF563-1 	   -30.0	   -22.99	 13.18
LSBCF563-1 	    -8.4	   -21.97	  3.56
LSBCF563-1 	    -6.6	   -18.17	  4.84
LSBCF563-1 	    -4.8	   -18.01	  7.83
LSBCF563-1 	    -1.2	     1.66	 12.80
LSBCF563-1 	     0.6	    -6.04	 17.30
LSBCF563-1 	     2.4	    18.08	 10.77
LSBCF563-1 	     4.2	    17.22	  5.44
LSBCF563-1 	     6.0	    19.04	  2.81
LSBCF563-1 	     7.8	    20.54	  2.41
LSBCF563-1 	     9.6	    23.42	  3.97
LSBCF563-1 	    11.4	    33.96	  4.85
LSBCF563-1 	    13.2	    26.44	 16.68
UGC711     	  -120.0	  -110.01	 11.76
UGC711     	  -116.4	   -87.53	 21.66
UGC711     	  -114.6	   -94.95	 18.93
UGC711     	  -111.0	  -101.24	  4.34
UGC711     	  -109.2	   -94.54	  3.00
UGC711     	  -107.4	   -84.81	  4.83
UGC711     	  -105.6	   -81.14	  3.68
UGC711     	  -103.8	   -83.50	  2.22
UGC711     	  -102.0	   -86.07	  2.65
UGC711     	  -100.2	   -86.13	  2.32
UGC711     	   -98.4	   -90.56	  2.97
UGC711     	   -96.6	   -89.85	  2.23
UGC711     	   -94.8	   -86.87	  7.39
UGC711     	   -93.0	   -75.24	 11.28
UGC711     	   -91.2	   -92.23	  6.42
UGC711     	   -89.4	   -92.41	  9.97
UGC711     	   -87.6	   -85.89	  6.18
UGC711     	   -85.8	   -81.35	  9.16
UGC711     	   -82.2	   -92.29	  6.99
