recno	j	Vopt	Ropt	N	R	V(R)	e_V(R)
1	1	75	4.6	20	0.46	17.175	1.5
2	1	75	4.6	20	0.92	28.5	1.35
3	1	75	4.6	20	1.38	39.75	1.8
4	1	75	4.6	20	1.84	47.4	1.5
5	1	75	4.6	20	2.3	55.425	1.725
6	1	75	4.6	20	2.76	62.4	1.725
7	1	75	4.6	20	3.22	65.625	1.5
8	1	75	4.6	20	3.68	68.475	1.65
9	1	75	4.6	20	4.14	72.75	2.475
10	1	75	4.6	20	4.6	75.225	2.7
11	1	75	4.6	20	5.06	76.725	3.45
12	1	75	4.6	20	5.52	78.0	4.125
13	1	75	4.6	20	5.98	79.65	3.975
14	1	75	4.6	20	6.44	81.225	3.975
15	1	75	4.6	20	6.9	82.875	4.05
16	1	75	4.6	20	7.36	84.15	4.65
17	1	75	4.6	20	7.82	85.425	4.425
18	1	75	4.6	20	8.28	86.925	4.875
19	1	75	4.6	20	8.74	88.575	4.575
20	1	75	4.6	20	9.2	90.15	4.65
21	2	104	5.7	20	0.57	25.688	1.456
22	2	104	5.7	20	1.14	46.072	1.56
23	2	104	5.7	20	1.71	61.152	1.56
24	2	104	5.7	20	2.28	68.328	1.248
25	2	104	5.7	20	2.85	75.504	1.56
26	2	104	5.7	20	3.42	82.992	1.56
27	2	104	5.7	20	3.99	89.232	1.56
28	2	104	5.7	20	4.56	93.392	1.456
29	2	104	5.7	20	5.13	98.592	1.872
30	2	104	5.7	20	5.7	103.584	2.912
31	2	104	5.7	20	6.27	104.832	4.992
32	2	104	5.7	20	6.84	106.912	5.616
33	2	104	5.7	20	7.41	107.64	5.824
34	2	104	5.7	20	7.98	109.72	6.136
35	2	104	5.7	20	8.55	111.176	5.928
36	2	104	5.7	20	9.12	112.112	6.032
37	2	104	5.7	20	9.69	114.192	6.032
38	2	104	5.7	20	10.26	115.024	6.24
39	2	104	5.7	20	10.83	116.168	6.552
40	2	104	5.7	20	11.4	117.832	7.072
41	3	104	5.7	20	0.65	33.872	1.392
42	3	104	5.7	20	1.3	57.188	1.624
43	3	104	5.7	20	1.95	75.284	1.972
44	3	104	5.7	20	2.6	88.392	1.392
45	3	104	5.7	20	3.25	95.236	1.508
46	3	104	5.7	20	3.9	102.544	1.508
47	3	104	5.7	20	4.55	106.952	1.508
48	3	104	5.7	20	5.2	112.868	1.624
49	3	104	5.7	20	5.85	113.216	1.74
50	3	104	5.7	20	6.5	115.42	1.74
51	3	104	5.7	20	7.15	116.348	5.104
52	3	104	5.7	20	7.8	118.436	5.684
53	3	104	5.7	20	8.45	119.48	6.38
54	3	104	5.7	20	9.1	119.364	6.148
55	3	104	5.7	20	9.75	121.104	5.8
56	3	104	5.7	20	10.4	121.8	5.916
57	3	104	5.7	20	11.05	123.192	5.8
58	3	104	5.7	20	11.7	124.352	6.148
59	3	104	5.7	20	12.35	125.28	6.612
60	3	104	5.7	20	13.0	126.556	6.032
61	4	135	7.6	20	0.76	40.23	2.025
62	4	135	7.6	20	1.52	68.58	2.025
63	4	135	7.6	20	2.28	94.095	2.43
64	4	135	7.6	20	3.04	103.815	1.485
65	4	135	7.6	20	3.8	113.265	1.35
66	4	135	7.6	20	4.56	120.285	1.755
67	4	135	7.6	20	5.32	125.82	1.485
68	4	135	7.6	20	6.08	131.895	2.43
69	4	135	7.6	20	6.84	133.92	1.89
70	4	135	7.6	20	7.6	135.405	2.025
71	4	135	7.6	20	8.36	136.485	6.48
72	4	135	7.6	20	9.12	136.89	6.48
73	4	135	7.6	20	9.88	137.565	6.885
74	4	135	7.6	20	10.64	139.455	6.345
75	4	135	7.6	20	11.4	139.185	6.615
76	4	135	7.6	20	12.16	140.805	6.615
77	4	135	7.6	20	12.92	142.155	6.615
78	4	135	7.6	20	13.68	142.02	6.48
79	4	135	7.6	20	14.44	144.72	6.615
80	4	135	7.6	20	15.2	144.45	6.75
81	5	154	8.9	20	1.78	53.284	2.31
82	5	154	8.9	20	2.67	88.242	2.002
83	5	154	8.9	20	3.56	106.106	2.002
84	5	154	8.9	20	4.45	119.812	1.694
85	5	154	8.9	20	5.34	129.514	1.848
86	5	154	8.9	20	6.23	138.754	1.848
87	5	154	8.9	20	7.12	141.526	1.54
88	5	154	8.9	20	8.01	143.99	1.54
89	5	154	8.9	20	8.9	148.302	2.31
90	5	154	8.9	20	9.79	154.0	2.002
91	5	154	8.9	20	10.68	154.462	6.622
92	5	154	8.9	20	11.57	155.386	6.468
93	5	154	8.9	20	12.46	155.54	6.622
94	5	154	8.9	20	13.35	156.618	6.468
95	5	154	8.9	20	14.24	157.234	6.314
96	5	154	8.9	20	15.13	157.234	6.93
97	5	154	8.9	20	16.02	158.312	6.468
98	5	154	8.9	20	16.91	158.774	6.622
99	5	154	8.9	20	17.8	158.928	7.392
100	5	154	8.9	20	17.8	159.698	7.084
101	6	169	10.1	20	1.005	63.713	2.873
102	6	169	10.1	20	2.01	95.823	0.676
103	6	169	10.1	20	3.015	116.103	1.183
104	6	169	10.1	20	4.02	128.102	2.028
105	6	169	10.1	20	5.025	140.608	2.366
106	6	169	10.1	20	6.03	147.875	1.352
107	6	169	10.1	20	7.035	157.508	1.352
108	6	169	10.1	20	8.04	160.719	1.352
109	6	169	10.1	20	9.045	165.62	2.873
110	6	169	10.1	20	10.05	168.662	2.873
111	6	169	10.1	20	11.055	168.831	9.126
112	6	169	10.1	20	12.06	170.183	7.774
113	6	169	10.1	20	13.065	169.676	8.281
114	6	169	10.1	20	14.07	170.352	7.774
115	6	169	10.1	20	15.075	170.859	7.267
116	6	169	10.1	20	16.08	171.873	7.774
117	6	169	10.1	20	17.085	171.197	8.45
118	6	169	10.1	20	18.09	172.211	7.436
119	6	169	10.1	20	19.095	172.718	7.098
120	6	169	10.1	20	20.1	172.549	8.788
121	7	185	11.5	20	1.149	73.815	3.33
122	7	185	11.5	20	2.298	112.665	3.145
123	7	185	11.5	20	3.447	138.38	2.775
124	7	185	11.5	20	4.596	153.18	2.22
125	7	185	11.5	20	5.745	160.58	1.85
126	7	185	11.5	20	6.894	170.2	2.405
127	7	185	11.5	20	8.043	175.565	2.405
128	7	185	11.5	20	9.192	175.565	2.22
129	7	185	11.5	20	10.341	184.815	2.775
130	7	185	11.5	20	11.49	185.185	3.33
131	7	185	11.5	20	12.639	185.185	8.51
132	7	185	11.5	20	13.788	185.0	8.88
133	7	185	11.5	20	14.937	185.555	9.435
134	7	185	11.5	20	16.086	184.445	9.62
135	7	185	11.5	20	17.235	184.63	9.435
136	7	185	11.5	20	18.384	184.63	9.435
137	7	185	11.5	20	19.533	184.445	9.62
138	7	185	11.5	20	20.682	184.63	8.51
139	7	185	11.5	20	21.831	184.815	8.51
140	7	185	11.5	20	22.98	184.26	9.065
141	8	205	13.5	20	1.352	100.04	3.28
142	8	205	13.5	20	2.704	147.6	3.28
143	8	205	13.5	20	4.056	168.1	2.665
144	8	205	13.5	20	5.408	181.015	2.665
145	8	205	13.5	20	6.76	186.55	2.255
146	8	205	13.5	20	8.112	191.06	2.665
147	8	205	13.5	20	9.464	197.415	2.46
148	8	205	13.5	20	10.816	205.82	2.46
149	8	205	13.5	20	12.168	199.67	2.665
150	8	205	13.5	20	13.52	205.615	3.485
151	8	205	13.5	20	14.872	205.0	9.84
152	8	205	13.5	20	16.224	204.18	9.635
153	8	205	13.5	20	17.576	203.565	10.455
154	8	205	13.5	20	18.928	202.95	9.84
155	8	205	13.5	20	20.28	202.335	9.635
156	8	205	13.5	20	21.632	201.925	9.84
157	8	205	13.5	20	22.984	200.9	10.25
158	8	205	13.5	20	24.336	200.08	10.25
159	8	205	13.5	20	25.688	199.875	10.25
160	8	205	13.5	20	27.04	199.26	9.635
161	9	225	15.3	20	1.527	85.95	6.975
162	9	225	15.3	20	3.054	148.725	5.625
163	9	225	15.3	20	4.581	183.6	3.15
164	9	225	15.3	20	6.108	189.0	4.725
165	9	225	15.3	20	7.635	205.65	1.575
166	9	225	15.3	20	9.162	212.175	3.15
167	9	225	15.3	20	10.689	216.9	2.925
168	9	225	15.3	20	12.216	217.125	2.475
