#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:40:09 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:40:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablec1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_tablec1:
#Name: J/MNRAS/388/500/tablec1
#Title: Log of the observations
#Column	Name	(a9)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	NGC	(a5)	? Name in the NGC catalogue when available	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	H	(A1)	[H] H when position from HyperLeda	[ucd=meta.note]
#Column	lamc	(F6.1)	Central wavelength of the interference filter used	[ucd=em.wl.central]
#Column	FWHM	(F4.1)	FWHM of the interference filter	[ucd=phys.angSize]
#Column	Date	(A10)	Date of the observations	[ucd=time.epoch;obs]
#Column	ExpTime	(I5)	Total exposure time	[ucd=time.duration;obs.exposure]
#Column	Seeing	(F4.1)	Seeing	[ucd=instr.obsty.seeing]
Name	NGC	RAJ2000	DEJ2000	H	lamc	FWHM	Date	ExpTime	Seeing
 	 	"h:m:s"	"d:m:s"	 	0.1nm	0.1nm	"Y:M:D"	s	arcsec
---------	-----	----------	---------	-	------	----	----------	-----	----
UGC 12893	     	00 00 28.0	+17 13 09	 	6582.8	10.6	2003-10-25	 8640	 2.6
UGC 89   	  23 	00 09 53.4	+25 55 24	 	6660.3	20.0	2002-09-05	  720	 2.6
UGC 89   	  23 	00 09 53.4	+25 55 24	 	6660.3	20.0	2002-09-06	 1920	 4.3
UGC 89   	  23 	00 09 53.4	+25 55 24	 	6660.2	20.0	2002-09-07	 6000	 2.6
UGC 94   	  26 	00 10 25.9	+25 49 54	 	6660.3	20.0	2002-09-03	 6240	 2.9
UGC 1013 	 536 	01 26 21.8	+34 42 11	H	6675.0	20.0	2002-09-10	 1920	 4.8
UGC 1013 	 536 	01 26 21.8	+34 42 11	H	6675.2	20.0	2002-09-08	 1920	 2.4
NGC 542  	 542 	01 26 30.9	+34 40 32	H	6675.0	20.0	2002-09-10	 1920	 4.8
NGC 542  	 542 	01 26 30.9	+34 40 32	H	6675.2	20.0	2002-09-08	 1920	 2.4
UGC 1317 	 697 	01 51 17.6	+22 21 28	 	6628.4	20.0	2002-09-10	 4800	 3.4
UGC 1437 	 753 	01 57 42.2	+35 54 58	 	6660.2	20.0	2002-09-03	 6720	 3.8
UGC 1655 	 828 	02 10 09.7	+39 11 25	 	6693.1	22.6	2000-10-24	12720	 3.9
UGC 1810 	     	02 21 28.7	+39 22 32	H	6735.0	20.0	2002-09-07	 7200	 3.6
UGC 3056 	1569 	04 30 49.2	+64 50 53	H	6560.3	12.0	2001-11-21	 6000	 2.7
UGC 3334 	1961 	05 42 04.6	+69 22 43	 	6654.9	20.6	2001-11-20	 5040	 3.1
UGC 3382 	     	05 59 47.7	+62 09 28	 	6658.0	20.0	2003-10-25	 4080	 3.6
UGC 3382 	     	05 59 47.7	+62 09 28	 	6658.0	20.0	2003-10-30	 7920	 4.6
UGC 3463 	     	06 26 55.8	+59 04 47	 	6627.6	20.0	2003-03-06	 6960	 7.2
UGC 3521 	     	06 55 00.1	+84 02 30	 	6659.3	20.0	2003-03-08	 8400	 3.4
UGC 3528 	     	06 56 10.6	+84 04 44	 	6659.3	20.0	2003-03-08	 8400	 3.4
UGC 3618 	2308 	06 58 37.6	+45 12 38	H	6689.5	20.0	2003-03-04	 6000	 2.4
UGC 3685 	     	07 09 05.9	+61 35 44	 	6603.2	12.0	2002-03-17	 5520	 3.0
