#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:06 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_482_154_tablea2:
#Name: J/MNRAS/482/154/tablea2
#Title: Parameters of mass models using the BFM and fixed M/L techniques with the pseudo-isothermal (ISO) model
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	[*] Flag on ID * : galaxies for which the presence of dark matter is not necessary	[ucd=meta.code]
#Column	M/LdBFM	(F5.2)	M/L of the disc from the best-fitting model (BFM) for pseudo-isothermal (ISO) core model (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LdBFM	(F5.2)	Upper error on M/LDBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LdBFM	(F5.2)	Lower error on M/LDBFM (1)	[ucd=stat.error]
#Column	M/LbBFM	(F5.2)	? M/L of the bulge from the best-fitting model (BFM) for pseudo-isothermal (ISO) core model (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LbBFM	(F5.2)	? Upper error on M/LBBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LbBFM	(F5.2)	? Lower error on M/LBBFM (1)	[ucd=stat.error]
#Column	l_r0BFM	(A1)	? Lower limit flag on r0BFM (1)	[ucd=meta.code.error]
#Column	r0BFM	(F5.1)	Core radius of the dark matter halo from the best-fitting model (BFM) for pseudo-isothermal (ISO) core model (1)	[ucd=phys.size.radius]
#Column	E_r0BFM	(F5.1)	? Upper error on r0BFM (1)	[ucd=stat.error;stat.max]
#Column	e_r0BFM	(F4.1)	? Lower error on r0BFM (1)	[ucd=stat.error]
#Column	rho0BFM	(I3)	Central density of the dark matter halo from the best-fitting model (BFM) for pseudo-isothermal (ISO) core model (1)	[ucd=phys.density]
#Column	E_rho0BFM	(I3)	Upper error on rho0BFM (1)	[ucd=stat.error;stat.max]
#Column	e_rho0BFM	(I3)	Lower error on rho0BFM (1)	[ucd=stat.error]
#Column	Chi2BFM	(F4.1)	Reduced chi-squared from the best-fitting model (BFM) for pseudo-isothermal (ISO) core model (1)	[ucd=stat.fit.chi2]
#Column	M/LfML	(F5.2)	M/L derived using the B-V colour (2)	[ucd=phys.composition.massLightRatio]
#Column	r0fML	(F4.1)	Core radius of the dark matter halo from pseudo-isothermal (ISO) core model with fixed M/L (3)	[ucd=phys.size.radius]
#Column	E_r0fML	(F5.1)	Upper error on r0fML (3)	[ucd=stat.error;stat.max]
#Column	e_r0fML	(F4.1)	Lower error on r0fML (3)	[ucd=stat.error]
#Column	rho0fML	(I3)	Central density of the dark matter halo from pseudo-isothermal (ISO) core model with fixed M/L (3)	[ucd=phys.density]
#Column	E_rho0fML	(I3)	Upper error on rho0fML (3)	[ucd=stat.error;stat.max]
#Column	e_rho0fML	(I3)	Lower error on rho0fML (3)	[ucd=stat.error]
#Column	Chi2fML	(F6.1)	Reduced chi-squared from pseudo-isothermal (ISO) core model with fixed M/L (3)	[ucd=stat.fit.chi2]
ID	f_ID	M/LdBFM	E_M/LdBFM	e_M/LdBFM	M/LbBFM	E_M/LbBFM	e_M/LbBFM	l_r0BFM	r0BFM	E_r0BFM	e_r0BFM	rho0BFM	E_rho0BFM	e_rho0BFM	Chi2BFM	M/LfML	r0fML	E_r0fML	e_r0fML	rho0fML	E_rho0fML	e_rho0fML	Chi2fML
 	 	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	 	kpc	kpc	kpc	10-3Msun/pc3	10-3Msun/pc3	10-3Msun/pc3	 	Msun/Lsun	kpc	kpc	kpc	10-3Msun/pc3	10-3Msun/pc3	10-3Msun/pc3	
---------	-	-----	-----	-----	-----	-----	-----	-	-----	-----	----	---	---	---	----	-----	----	-----	----	---	---	---	------
UGC 00089	*	 1.84	 0.01	 1.74	 1.87	 0.97	 1.77	>	 39.2	     	    	 27	372	 17	 7.0	 1.52	 2.8	  2.3	 2.3	196	203	186	   9.3
UGC 00094	 	 0.81	 0.60	 0.71	 5.13	 2.87	 5.03	 	  1.0	  0.7	 0.5	702	 47	652	 3.7	 1.41	 1.0	  0.1	 0.5	686	 63	636	   7.5
UGC 00508	 	 2.81	 0.69	 2.71	 3.02	 0.98	 2.92	 	  7.3	  6.0	 6.8	102	397	102	 1.4	 2.20	 4.9	  0.4	 4.4	215	284	215	   1.5
UGC 00528	*	 0.10	 0.05	 0.01	 0.28	 0.18	 0.18	 	  0.5	  7.5	 0.1	203	 36	203	 2.5	 0.78	 0.5	  7.5	 0.1	  0	  1	  1	 177.7
UGC 00763	 	 0.32	 0.22	 0.22	 2.94	 1.06	 2.84	 	  2.0	  0.5	 1.5	 62	 43	 52	 2.2	 0.73	 2.7	  0.2	 2.2	 38	 67	 28	   2.4
UGC 01317	*	 0.43	 0.05	 0.33	     	     	     	 	  1.0	  0.2	 0.5	750	  1	730	 4.2	 1.15	 0.8	  0.1	 0.3	750	  1	730	   4.4
UGC 01437	 	 1.08	 0.27	 0.98	 2.14	 1.86	 2.04	 	  3.4	  3.1	 2.9	 26	723	 16	 2.4	 1.00	 0.7	  0.1	 0.2	750	  1	740	   6.2
UGC 01736	 	 0.10	 0.05	 0.01	 0.10	 3.90	 0.01	 	  2.5	  0.3	 2.0	155	145	145	 4.9	 0.84	 3.6	  0.5	 3.1	 82	217	 72	   6.4
UGC 01886	 	 0.95	 0.93	 0.85	 4.41	 3.59	 4.31	 	  1.7	  5.8	 1.2	329	 70	319	 4.4	 1.18	 1.5	  0.2	 1.0	391	  8	381	   3.6
UGC 01913	 	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 	  5.9	  0.1	 5.4	 24	 81	 24	12.6	 0.89	33.1	 86.9	32.6	  7	 98	  7	  28.5
UGC 02045	 	 0.37	 0.01	 0.27	 2.14	 1.86	 2.04	>	 20.4	     	    	 67	 38	 67	 3.3	 1.32	 0.5	 99.5	 0.1	  0	  1	  1	  63.0
UGC 02080	*	 1.03	 0.62	 0.93	 8.00	 0.01	 7.90	 	  1.0	  0.2	 0.5	188	561	 88	 2.2	 1.29	 0.7	  0.2	 0.2	336	221	236	   2.2
UGC 02183	 	 0.10	 0.38	 0.01	 1.25	 0.18	 1.15	 	  2.8	 97.2	 2.3	129	170	129	 6.3	 1.55	 0.5	 99.5	 0.1	  0	  6	  1	  18.1
UGC 02193	 	 0.10	 0.66	 0.01	 4.00	 0.01	 3.90	 	  1.2	  0.3	 0.7	617	132	517	 2.0	 1.03	 1.4	  0.3	 0.9	469	280	369	   2.1
UGC 02503	 	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 	  2.0	  0.2	 1.5	444	 55	434	14.2	 1.32	 2.7	  0.5	 2.2	 87	412	 77	  33.7
UGC 02800	 	 0.10	 0.01	 0.01	     	     	     	 	  2.5	  1.0	 2.0	 45	 60	 45	 5.3	 0.69	 0.5	  7.5	 0.1	  0	  1	  1	  82.7
UGC 02855	*	 0.10	 0.01	 0.01	 0.10	 0.01	 0.01	 	  3.1	  1.3	 2.6	  6	  1	  6	26.9	 1.08	 0.5	 57.5	 0.1	  0	  1	  1	6891.3
UGC 03013	*	 0.21	 0.49	 0.11	 1.16	 0.89	 1.06	 	  2.9	  5.1	 2.4	 72	327	 72	 7.7	 1.03	 0.7	  0.7	 0.2	345	 54	345	   7.9
UGC 03334	*	 1.18	 0.62	 1.08	 1.96	 2.04	 1.86	 	  1.9	  0.3	 1.4	534	215	 34	 9.6	 1.09	 1.7	  0.1	 1.2	721	 28	221	  10.2
UGC 03382	 	 0.30	 1.20	 0.20	 0.37	 3.63	 0.27	 	  2.5	 10.7	 2.0	422	 77	412	 1.7	 1.55	16.4	  1.6	15.9	 32	467	 22	   1.9
UGC 03463	 	 1.46	 0.38	 1.36	 1.52	 2.48	 1.42	 	  2.0	  0.7	 1.5	 67	 38	 67	 2.4	 1.18	 1.9	  0.2	 1.4	101	  4	101	   2.4
UGC 03521	 	 0.59	 1.91	 0.49	 0.63	 3.37	 0.53	 	  1.5	  1.7	 1.0	227	 72	217	 0.6	 1.10	 1.5	  0.3	 1.0	174	125	164	   0.5
UGC 03528	*	 1.80	 1.30	 1.70	 1.90	 6.11	 1.79	 	  1.3	  2.8	 0.8	699	 50	689	 9.1	 1.41	 1.3	  0.4	 0.8	750	  1	740	   6.8
UGC 03708	 	 0.70	 0.11	 0.60	     	     	     	 	 16.3	 83.7	15.8	 90	409	 90	 1.6	 1.13	 0.5	 99.5	 0.1	  0	 22	  1	   7.8
UGC 03809	 	 2.26	 0.15	 2.16	 8.00	 0.01	 7.90	 	  1.0	  0.3	 0.5	738	 11	488	 6.4	 0.87	 1.4	  0.1	 0.9	636	113	386	   7.7
UGC 03876	 	 0.90	 2.10	 0.80	 2.66	 2.34	 2.56	 	  1.5	  0.7	 1.0	143	 56	133	 1.5	 0.90	 1.4	  0.1	 0.9	174	 25	164	   1.5
UGC 03915	*	 0.10	 0.01	 0.01	 4.00	 0.01	 3.90	 	  1.2	  0.1	 0.7	712	 37	512	 3.8	 1.12	 1.0	  0.1	 0.5	675	 75	475	   9.5
UGC 04026	 	 4.59	 0.18	 4.49	 4.77	 3.23	 4.67	 	108.6	 11.4	10.9	 17	732	 17	 5.2	 1.41	 3.2	  0.1	 2.7	255	494	255	  40.4
UGC 04165	*	 0.15	 0.27	 0.05	 0.43	 4.57	 0.33	 	  0.5	  0.1	 0.1	436	 27	436	 2.5	 1.00	 0.5	  0.1	 0.1	109	  1	109	   2.7
UGC 04273	 	 0.70	 0.11	 0.60	 0.72	 3.28	 0.62	 	  3.6	  0.3	 3.1	 92	 13	 82	 4.5	 1.29	 4.6	  0.7	 4.1	 55	 50	 45	   6.1
UGC 04284	 	 2.01	 0.27	 1.91	 2.14	 1.86	 2.04	 	  7.3	  2.3	 6.8	 23	 82	 13	 4.3	 0.62	 2.8	  0.1	 2.3	 60	 45	 50	   6.0
UGC 04325	 	 0.10	 0.82	 0.01	     	     	     	 	  2.9	  2.0	 2.4	 49	 56	 39	 4.1	 0.66	 3.7	  1.5	 3.2	 36	 69	 26	   3.9
UGC 04456	*	 0.10	 2.32	 0.01	 0.10	 3.90	 0.01	 	  1.7	  1.7	 1.2	300	200	200	 1.9	 0.97	 1.9	  1.2	 1.4	200	300	100	   1.8
UGC 04499	 	 0.10	 0.01	 0.01	     	     	     	 	  5.0	  4.5	 4.5	 25	 80	 15	25.5	 0.82	 7.3	 92.7	 6.8	 18	 87	  8	  32.3
UGC 04555	 	 0.70	 1.00	 0.60	 0.99	 4.01	 0.89	 	  0.8	  2.0	 0.3	686	 63	636	 0.8	 1.18	 0.7	  0.2	 0.2	750	  1	700	   0.9
UGC 04820	 	 1.12	 1.45	 1.02	 4.95	 3.05	 4.85	 	  2.1	  0.8	 1.6	479	270	429	 2.0	 2.26	 1.7	  0.1	 1.2	734	 15	684	   6.1
UGC 04936	 	 1.60	 0.60	 1.50	 1.66	 3.34	 1.56	 	  4.6	  0.9	 4.1	 70	129	 20	 3.3	 0.75	 3.6	  0.3	 3.1	111	 88	 61	   3.3
UGC 05045	*	 4.98	 2.85	 4.88	13.12	 4.88	13.02	 	  1.7	  4.4	 1.2	632	117	622	 1.8	 1.08	 2.5	  0.1	 2.0	750	  1	740	   7.1
UGC 05228	 	 0.89	 0.13	 0.79	     	     	     	 	  1.0	  0.2	 0.5	245	504	235	 2.7	 1.08	 1.0	  0.1	 0.5	228	420	218	   2.9
UGC 05251	 	 0.15	 0.27	 0.05	 1.07	 2.92	 0.97	 	  2.9	  0.3	 2.4	 49	 56	 39	 4.8	 0.40	 2.2	  0.1	 1.7	 73	 32	 63	   5.1
UGC 05253	 	 0.76	 0.38	 0.66	 2.14	 1.24	 2.04	 	  1.7	  2.0	 1.2	240	509	190	 2.8	 1.48	 1.0	  0.1	 0.5	670	 79	620	   3.4
UGC 05414	*	 1.19	 0.60	 1.09	     	     	     	 	  3.2	  3.6	 2.7	 20	 85	 10	 6.0	 0.75	 2.5	  0.3	 2.0	 29	 76	 19	   5.8
UGC 05510	 	 0.41	 0.08	 0.31	 0.46	 3.54	 0.35	 	  0.8	  0.2	 0.3	750	  1	550	 6.4	 0.95	 1.0	  0.1	 0.5	462	287	262	   7.2
UGC 05840	*	 5.38	 0.12	 5.28	 5.49	 2.51	 5.39	 	  1.0	  0.5	 0.5	750	  1	650	16.9	 1.09	 1.7	  0.1	 1.2	750	  1	650	  31.4
UGC 05842	 	 0.21	 0.76	 0.11	 0.28	 3.72	 0.18	 	  1.5	  0.7	 1.0	134	372	124	 1.7	 0.99	 1.9	  0.3	 1.4	 66	372	 56	   1.8
UGC 05931	 	 0.48	 0.11	 0.38	 0.54	 3.46	 0.44	 	  3.1	  1.4	 2.6	 73	 32	 63	 4.0	 0.48	 3.1	  0.3	 2.6	 73	 32	 63	   3.7
UGC 05982	 	 0.10	 0.74	 0.01	 8.00	 0.01	 7.90	 	  1.5	  0.2	 1.0	357	392	357	 5.0	 1.09	 1.0	  0.1	 0.5	681	 68	681	  13.2
UGC 06118	 	 0.32	 0.05	 0.22	 0.72	 1.24	 0.62	 	  2.2	  0.7	 1.7	101	  4	101	 4.3	 1.32	 0.5	  7.5	 0.1	  0	  1	  1	 113.4
UGC 06277	 	 0.10	 1.90	 0.01	 3.69	 4.31	 3.59	 	 10.3	  2.9	 2.4	469	280	369	 1.7	 1.08	 2.9	  1.6	 2.4	395	354	295	   1.9
UGC 06521	*	 3.20	 0.70	 3.10	 5.31	 2.69	 5.21	 	  0.7	  0.7	 0.2	705	 44	605	 3.5	 0.89	 1.2	  0.1	 0.7	750	  1	650	   7.2
UGC 06537	 	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 	  2.5	  0.1	 2.0	156	149	136	18.0	 0.75	 2.9	  0.1	 2.4	104	201	 84	  19.4
UGC 06702	 	 0.10	 0.27	 0.01	 2.67	 0.62	 2.57	 	 20.1	 13.6	19.6	 11	494	 11	22.9	 1.18	 1.4	  0.1	 0.9	322	184	322	  37.1
UGC 06778	 	 2.06	 0.05	 1.96	 2.14	 1.86	 2.04	 	  0.6	  5.5	 5.0	 68	631	 63	 5.6	 1.08	 1.8	  0.1	 1.2	320	379	315	   9.8
UGC 07021	 	 0.49	 0.08	 0.39	 0.54	 3.46	 0.44	 	  1.4	  0.2	 0.9	750	  1	650	 7.3	 1.76	 1.7	  0.2	 1.2	365	384	265	  18.5
UGC 07045	 	 0.60	 0.50	 0.50	 5.13	 2.87	 5.03	 	  1.4	  0.3	 0.9	279	470	269	 2.8	 1.40	 0.7	  0.1	 0.2	750	  1	740	   3.5
UGC 07154	 	 1.03	 0.27	 0.93	 1.78	 2.22	 1.68	 	  5.1	  0.7	 4.6	 16	 89	 16	 5.4	 0.89	 3.4	  0.1	 2.9	 31	 74	 31	   6.5
UGC 07323	 	 1.57	 0.27	 1.47	     	     	     	>	 22.0	     	    	  7	 98	  7	 3.5	 1.00	 2.9	  0.1	 2.4	 21	 84	 21	   4.3
UGC 07766	*	 0.92	 0.11	 0.82	 3.11	 0.89	 3.01	 	  3.2	  0.2	 2.7	 17	732	 17	 4.7	 0.62	 0.5	  0.1	 0.1	528	  1	528	   5.5
UGC 07831	*	 0.10	 0.01	 0.01	     	     	     	 	  0.7	  0.1	 0.2	480	218	470	 4.0	 0.78	 0.5	  0.1	 0.1	380	 16	370	   4.3
UGC 07861	 	 0.32	 0.01	 0.22	 0.37	 0.35	 0.27	>	  8.4	     	    	 16	 89	 16	 2.0	 1.09	 0.5	119.5	 0.1	  0	  1	  1	  14.3
UGC 07876	 	 0.10	 0.62	 0.01	 0.28	 3.72	 0.18	 	  1.4	  0.2	 0.9	164	141	154	 1.7	 0.90	 1.5	  0.2	 1.0	117	188	107	   1.8
UGC 07901	 	 0.54	 0.16	 0.44	 2.94	 1.06	 2.84	 	  1.2	  0.3	 0.7	535	214	235	 3.3	 0.92	 1.0	  0.1	 0.5	750	  1	450	  10.6
UGC 07985	 	 0.10	 0.11	 0.01	 0.37	 3.63	 0.27	 	  0.7	  0.2	 0.2	548	201	538	 3.0	 0.82	 0.7	  0.1	 0.2	312	168	302	   3.8
UGC 08334	 	 0.48	 0.01	 0.38	 3.65	 0.35	 3.54	 	  1.0	  0.2	 0.5	733	 16	723	 4.9	 1.32	 0.8	  0.1	 0.3	615	134	605	  13.0
UGC 08403	 	 0.10	 0.01	 0.01	     	     	     	 	  5.5	  0.1	 5.0	 24	 81	 24	 3.9	 0.73	15.4	  0.1	14.9	  9	 96	  9	  10.6
UGC 08490	 	 1.96	 0.54	 1.85	 1.96	 2.04	 1.86	 	  1.0	  0.9	 0.5	195	555	185	 2.1	 0.69	 0.7	  0.1	 0.2	447	218	437	   2.2
UGC 08709	 	 3.11	 0.15	 3.01	 3.11	 0.89	 3.01	 	  3.7	  0.1	 3.2	 34	465	 34	11.1	 0.73	 1.7	  0.1	 1.2	272	227	272	  15.6
UGC 08852	 	 0.96	 0.17	 0.86	 1.21	 2.79	 1.11	 	  1.6	  0.5	 1.1	263	 42	253	 7.4	 1.29	 1.6	  0.1	 1.1	221	 84	211	   7.4
UGC 08900	 	 0.10	 0.66	 0.01	 1.34	 2.66	 1.24	 	  8.6	  3.1	 8.1	 77	 28	 67	 3.0	 1.22	 8.0	  0.6	 7.5	 71	 34	 61	   3.2
UGC 08937	 	 2.11	 0.08	 2.01	 5.31	 2.69	 5.21	 	  7.0	  0.5	 6.5	 43	706	 33	 6.1	 1.29	 1.4	  0.1	 0.9	750	  1	740	  20.1
UGC 09179	 	 0.10	 0.66	 0.01	 0.90	 3.10	 0.80	 	  1.5	  0.1	 1.0	178	127	168	 4.1	 0.80	 1.5	  0.2	 1.0	164	141	154	   4.1
UGC 09248	 	 0.10	 0.27	 0.01	 0.10	 3.90	 0.01	 	  1.0	  0.2	 0.5	598	151	588	 4.6	 1.29	 1.0	  0.2	 0.5	380	370	370	   5.6
UGC 09358	 	 1.41	 0.16	 1.31	 8.00	 0.01	 7.90	 	 10.7	  2.4	 9.7	 26	723	 16	 6.5	 1.29	 1.0	  0.1	 0.1	733	  1	723	  27.3
UGC 09363	 	 0.10	 0.44	 0.01	 0.99	 3.01	 0.89	 	  3.2	  0.1	 2.7	 58	 48	 48	 3.0	 1.36	 8.6	  0.1	 8.1	 14	 91	  4	   3.2
UGC 09366	 	 0.97	 0.16	 0.87	 2.32	 1.68	 2.22	 	  1.0	  1.2	 0.5	598	151	588	 4.4	 1.03	 1.0	  0.1	 0.5	750	  1	740	   7.5
UGC 09465	 	 0.15	 0.49	 0.05	     	     	     	 	  1.5	  0.2	 1.0	 97	  8	 87	 1.7	 0.82	 1.7	  0.1	 1.2	 73	 32	 63	   1.9
UGC 09576	 	 0.10	 0.60	 0.01	 0.81	 3.19	 0.71	 	  2.8	  1.1	 2.2	 33	 72	 33	 6.9	 1.06	 5.0	  0.1	 4.5	  9	 96	  9	   7.3
