#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:05 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_482_154_tablea1:
#Name: J/MNRAS/482/154/tablea1
#Title: Global properties
#Column	param	(A1)	indicates parameters of mass models in tables A2-A4	[ucd=meta.ref.url]
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	f_B-V	(A1)	[*] * for galaxies with no B-V colour available in the RC3 catalogue, the value has been computed (1)	[ucd=meta.code]
#Column	Type	(a12)	Morphological type taken from the RC3 catalogue (Third Reference Cat. of Bright Galaxies (RC3) de Vaucouleurs et al. 1991rc3..book.....D, Cat. VII/155) (2)	[ucd=src.morph.type]
#Column	BMAG	(F4.1)	Absolute B magnitude from Epinat et al. (2008MNRAS.388..500E, Cat. J/MNRAS/388/500)	[ucd=phys.magAbs]
#Column	B-V	(F5.2)	(B-V) colours corrected for galactic and internal extinction from RC3 catalogue when available	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	mu0obs	(F4.1)	Central surface brightness from the observed data	[ucd=phot.mag.sb]
#Column	R25/h	(F4.1)	Isophotal radius at the limiting surface brightness of 25mag/arcsec^2^ normalized by the disc scale length	[ucd=phys.angSize;src]
#Column	Rlast/h	(F4.1)	The last radius of the RC normalized by the disc scale length	[ucd=src.morph.scLength;arith.ratio]
#Column	mu0	(F4.1)	Central surface brightness of the disc	[ucd=phot.mag.sb]
#Column	h	(F4.1)	Disc scale length of the disc component	[ucd=src.morph.scLength;phys.size]
#Column	LD	(F6.1)	Luminosity of the disc calculated at the isophotal radius	[ucd=phys.luminosity]
#Column	mue	(F5.2)	? Surface brightness of the bulge at the effective radius	[ucd=phot.mag.sb]
#Column	re	(F5.2)	? Effective radius of the bulge	[ucd=phys.size.radius]
#Column	n	(F5.2)	? Sersic index of the bulge	[ucd=stat.fit.param]
#Column	LB	(F6.2)	? Luminosity of the bulge derived at the isophotal radius	[ucd=phys.luminosity;em.opt.B]
#Column	f_ID	(I1)	[1/3] Classification flag of the inner galaxy rotation curves (RCs) (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
param	ID	f_B-V	Type	BMAG	B-V	mu0obs	R25/h	Rlast/h	mu0	h	LD	mue	re	n	LB	f_ID	Simbad	_RA	_DE
 	 	 	 	mag	mag	mag/arcsec2	 	 	mag/arcsec2	kpc	10+8Lsun	mag/arcsec2	kpc	 	10+8Lsun	 	 	deg	deg
-	---------	-	------------	----	-----	----	----	----	----	----	------	-----	-----	-----	------	-	------	---------	---------
*	UGC 00089	 	SBa         	21.5	 0.69	16.4	 2.4	 1.6	19.6	 6.0	 547.3	16.73	 0.71	 1.00	331.80	1	Simbad	002.47255	+25.92374
*	UGC 00094	*	SAab        	20.4	 0.64	18.7	 2.6	 2.8	19.7	 4.0	 232.7	18.69	 0.26	 1.57	 10.20	1	Simbad	002.60783	+25.83192
*	UGC 00508	 	SB(r)ab     	21.8	 0.82	16.6	 3.5	 3.0	19.4	 7.5	1378.5	17.75	 0.60	 2.16	235.13	1	Simbad	012.44923	+32.27772
*	UGC 00528	 	SABb        	19.6	 0.45	16.2	 4.2	 2.0	18.0	 1.0	  90.3	20.13	 0.71	 3.22	 12.88	1	Simbad	013.01810	+47.55047
*	UGC 00763	 	SABm        	18.9	 0.43	19.6	 3.4	 6.0	19.9	 1.5	  33.4	24.62	 0.77	 3.79	  3.55	1	Simbad	018.23212	+00.98158
 	UGC 01256	 	SBcd        	18.9	 0.45	19.4	 5.3	 6.1	19.4	 1.4	   4.9	     	     	     	      	3	Simbad	026.97699	+27.43278
*	UGC 01317	 	SAB(r)c     	21.5	 0.59	18.1	 4.3	 4.5	18.1	 5.4	1023.7	     	     	     	      	1	Simbad	027.82320	+22.35797
*	UGC 01437	 	SABbc       	21.8	 0.54	17.6	 2.7	 5.0	19.3	 5.2	 578.7	20.59	 1.79	 3.24	100.34	1	Simbad	029.42585	+35.91604
 	UGC 01655	 	Sa pec      	21.6	 0.79	16.2	 5.1	 1.2	17.4	 6.0	6181.2	18.44	 3.05	 1.53	221.40	3	Simbad	032.53978	+39.19034
*	UGC 01736	 	SABc        	20.1	 0.48	17.9	 3.9	 3.5	19.5	 2.5	 131.2	25.38	 0.69	 5.82	  2.42	2	Simbad	033.86517	+06.00262
*	UGC 01886	*	SABbc       	20.8	 0.58	17.4	 0.7	 4.1	19.9	 7.9	 136.0	19.73	 1.38	 0.20	 81.22	2	Simbad	036.50205	+39.47094
*	UGC 01913	 	SABd        	20.1	 0.50	19.1	 4.9	 3.0	19.9	 3.0	 142.9	21.23	 0.42	 0.86	  1.98	2	Simbad	036.82047	+33.57888
*	UGC 02045	 	Sab         	20.5	 0.64	17.3	 5.4	 2.2	18.1	 2.3	 450.4	16.81	 0.14	 0.06	  7.39	1	Simbad	038.55566	+29.31128
*	UGC 02080	 	SABcd       	19.2	 0.63	19.5	 2.8	 3.0	20.2	 3.0	  92.9	22.94	 0.42	 2.33	  0.51	1	Simbad	039.11594	+38.96919
 	UGC 02141	*	S0 a        	18.1	 0.70	18.7	 3.1	 4.2	19.3	 1.2	  34.4	20.32	 0.58	 0.61	  6.21	3	Simbad	039.81235	+30.15167
*	UGC 02183	*	Sa          	19.0	 0.67	17.1	 2.2	 1.1	20.7	 2.3	  26.7	19.05	 0.64	 2.35	 44.83	2	Simbad	040.70121	+28.57407
*	UGC 02193	 	SAc         	18.7	 0.55	17.7	 2.8	 3.5	19.8	 1.3	  23.9	20.99	 0.24	 0.05	  0.90	2	Simbad	040.87511	+37.34133
*	UGC 02503	 	SAB(r)b     	21.6	 0.64	17.0	 3.8	 3.5	19.1	 4.3	 568.0	18.14	 1.39	 0.68	 90.86	2	Simbad	045.89467	+46.38634
*	UGC 02800	*	Im          	18.6	 0.39	19.8	 2.7	 2.2	20.1	 2.6	   7.1	     	     	     	      	1	Simbad	055.01023	+71.40591
*	UGC 02855	*	SABc        	21.4	 0.54	17.2	 3.6	 5.1	17.9	 2.5	 572.6	18.44	 0.25	 1.07	  9.35	1	Simbad	057.08638	+70.13288
*	UGC 03013	 	SBb         	21.3	 0.55	17.6	 1.2	 3.1	20.1	 7.7	 298.4	21.50	 4.78	 3.11	216.89	1	Simbad	065.86292	+75.29557
