#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/153/240&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530240
#Name: J/AJ/153/240
#Title: ALMA survey of protoplanetary disks in sigma Ori (Ansdell+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/240	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/240	    IVOID of underlying data collection
#INFO	creator=Ansdell M.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..240A	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/240	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530240	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_240_sources:
#Name: J/AJ/153/240/sources
#Title: Continuum (table1) and gas (table2) properties
#Column	[HHM2007]	(I4)	[73/1369] Source identification number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	SpT	(A4)	Spectral type (2)	[ucd=src.spType]
#Column	r_SpT	(A3)	Reference for SpT (H14, R12, or VJ) (3)	[ucd=meta.ref;pos.frame]
#Column	R12	(A3)	Display the data from Rigliaco et al. 2012 (Cat. J/A+A/548/A56) within 1.5''	[ucd=meta.ref.url]
#Column	H14	(A3)	Display the data from Hernandez et al. 2014 (Cat. J/ApJ/794/36) within 1.5''	[ucd=meta.ref.url]
#Column	Mass	(F5.2)	[0.04/1.71] Stellar mass (M_*_) (4)	[ucd=phys.mass]
#Column	F1.33	(F5.2)	[-0.27/15.38] Atacama Large Millimeter/sub- millimeter Array (ALMA) 1.33mm (225.676GHz) continuum emission flux density (F_1.33mm_)	[ucd=phot.flux.density;em.mm.200-400GHz]
#Column	rms	(F5.2)	[0.13/0.18] Root-mean-square	[ucd=stat.error]
#Column	Mdust	(F5.2)	[-1.2/68.48] Dust mass (M_dust_) (6)	[ucd=phys.mass]
#Column	l_F12CO	(A1)	[<] Upper limit flag on FC12O	[ucd=meta.code.error]
#Column	F12CO	(I4)	[63/1204] The ^12^CO (230.538GHz) line intensity (F_12CO_) (7)	[ucd=phot.flux.density;em.line.CO]
#Column	l_F13CO	(A1)	[<] Upper limit flag on F13CO	[ucd=meta.code.error]
#Column	F13CO	(I3)	[72/326] The ^13^CO (220.399 GHz) line intensity (F_13CO_) (7)	[ucd=phot.flux.density;em.line.CO]
#Column	l_FC18O	(A1)	[<] Upper limit flag on FC18O	[ucd=meta.code.error]
#Column	FC18O	(I2)	[48/81] The C^18^O (219.560GHz) line intensity (F_C18O_) (7)	[ucd=phot.flux.density]
#Column	Mgas	(F4.1)	[2.4/7.1]? Gas mass (M_gas_)	[ucd=phys.mass]
#Column	b_Mgas	(F4.1)	[1/1]? Lower boundary (minimum mass) of Mgas (M_gas,min_)	[ucd=phys.mass;stat.min]
#Column	B_Mgas	(F4.1)	[1/31.4] Upper boundary (maximum mass) of Mgas (M_gas,max_)	[ucd=phys.mass;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
[HHM2007]	RAJ2000	DEJ2000	SpT	r_SpT	R12	H14	Mass	F1.33	rms	Mdust	l_F12CO	F12CO	l_F13CO	F13CO	l_FC18O	FC18O	Mgas	b_Mgas	B_Mgas	Simbad
 	"h:m:s"	"d:m:s"	 	 	 	 	Msun	mJy	mJy/beam	Mgeo	 	mJy.km/s	 	mJy.km/s	 	mJy.km/s	MJup	MJup	MJup	
----	------------	------------	----	---	---	---	-----	-----	-----	-----	-	----	-	---	-	--	----	----	----	------
1036	05 39 25.206	-02 38 22.09	K7.5	H14	R12	H14	 0.67	 5.94	 0.16	26.45	<	  72	<	 81	<	57	    	    	 3.1	Simbad
1050	05 39 26.330	-02 28 37.70	M3.6	VJ 	R12	H14	 0.22	-0.15	 0.15	-0.67	<	  72	<	 81	<	60	    	    	 3.1	Simbad
1075	05 39 29.350	-02 27 21.02	M0.0	H14	R12	H14	 0.62	 1.48	 0.16	 6.57	 	 165	<	 93	<	66	    	    	10.5	Simbad
1152	05 39 39.377	-02 17 04.50	M0.0	H14	R12	H14	 0.62	 8.57	 0.18	38.16	 	 633	 	314	<	60	 7.1	 1.0	31.4	Simbad
1153	05 39 39.828	-02 31 21.89	K5.5	H14	R12	H14	 0.91	13.62	 0.18	60.66	 	 557	<	 99	<	72	    	    	 1.0	Simbad
1154	05 39 39.833	-02 33 16.08	M3.5	VJ 	R12	H14	 0.27	 1.44	 0.16	 6.43	<	  69	<	 75	<	57	    	    	 3.1	Simbad
1155	05 39 39.900	-02 43 09.00	K1.0	H14	R12	H14	 1.71	-0.12	 0.15	-0.54	<	  69	<	 78	<	57	    	    	 3.1	Simbad
1156	05 39 40.171	-02 20 48.04	K5.0	H14	R12	H14	 0.96	 5.66	 0.18	25.21	<	  72	<	 84	<	60	    	    	 3.1	Simbad
1182	05 39 43.190	-02 32 43.30	M3.9	VJ 	R12	H14	 0.22	 0.18	 0.15	 0.82	<	  69	<	 78	<	60	    	    	 3.1	Simbad
1193	05 39 44.510	-02 24 43.20	M5.3	VJ 	R12	H14	 0.10	-0.02	 0.15	-0.09	<	  72	<	 81	<	60	    	    	 3.1	Simbad
1230	05 39 49.450	-02 23 45.90	M4.0	VJ 	R12	H14	 0.19	-0.02	 0.15	-0.10	<	  72	<	 81	<	57	    	    	 3.1	Simbad
1248	05 39 51.728	-02 22 47.21	M4.9	VJ 	R12	H14	 0.16	 0.79	 0.16	 3.52	<	  72	<	 81	<	60	    	    	 3.1	Simbad
1260	05 39 53.630	-02 33 42.70	M4.0	R12	R12	H14	 0.21	-0.12	 0.15	-0.52	<	  69	<	 78	<	60	    	    	 3.1	Simbad
1266	05 39 54.210	-02 27 32.60	M4.5	R12	R12	H14	 0.15	 0.11	 0.16	 0.47	<	  72	<	 84	<	60	    	    	 3.1	Simbad
1267	05 39 54.275	-02 24 40.16	M1.0	H14	R12	H14	 0.47	 2.27	 0.17	10.13	<	  69	<	 84	<	63	    	    	 3.1	Simbad
1268	05 39 54.330	-02 37 18.90	M4.5	H14	R12	H14	 0.12	 0.09	 0.15	 0.42	<	  72	<	 84	<	60	    	    	 3.1	Simbad
1274	05 39 54.659	-02 46 34.16	K6.0	H14	R12	H14	 0.81	15.38	 0.16	68.48	 	 861	 	326	<	48	 5.5	 1.0	31.4	Simbad
1285	05 39 56.460	-02 38 03.50	M5.0	H14	R12	H14	 0.12	-0.01	 0.16	-0.03	<	  75	<	 81	<	63	    	    	 3.1	Simbad
1327	05 40 01.958	-02 21 32.61	M4.5	H14	R12	H14	 0.19	 1.63	 0.16	 7.25	<	  75	<	 87	<	66	    	    	10.5	Simbad
1338	05 40 04.540	-02 36 42.10	M6.4	VJ 	R12	H14	 0.05	 0.03	 0.15	 0.14	<	  72	<	 81	<	60	    	    	 3.1	Simbad
1344	05 40 05.260	-02 30 52.30	M4.6	VJ 	R12	H14	 0.12	 0.22	 0.16	 0.99	<	  69	<	 78	<	60	    	    	 3.1	Simbad
1361	05 40 08.888	-02 33 33.78	K7.5	H14	R12	H14	 0.68	 5.34	 0.16	23.79	<	  72	<	 81	<	60	    	    	 3.1	Simbad
1362	05 40 09.336	-02 25 06.83	M4.9	VJ 	R12	H14	 0.14	 1.02	 0.17	 4.55	<	  72	<	 78	<	60	    	    	 3.1	Simbad
1369	05 40 12.863	-02 22 02.20	K5.5	H14	R12	H14	 0.85	 1.40	 0.17	 6.22	<	  72	<	 78	<	63	    	    	 3.1	Simbad
 247	05 37 54.860	-02 41 09.20	M5.0	H14	R12	H14	 0.12	-0.04	 0.14	-0.19	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 254	05 37 55.600	-02 33 05.30	M4.5	H14	R12	H14	 0.11	 0.04	 0.13	 0.18	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 271	05 37 57.460	-02 38 44.40	M5.0	H14	R12	H14	 0.10	 0.03	 0.13	 0.11	<	  66	<	 75	<	51	    	    	 3.1	Simbad
 299	05 38 00.975	-02 26 07.92	M2.5	H14	R12	H14	 0.34	 1.01	 0.15	 4.52	<	  66	<	 78	<	54	    	    	 3.1	Simbad
 300	05 38 01.070	-02 45 38.00	M4.5	H14	R12	H14	 0.19	-0.25	 0.13	-1.13	<	  66	<	 75	<	57	    	    	 3.1	Simbad
 327	05 38 05.520	-02 35 57.10	M4.5	H14	R12	H14	 0.12	 0.10	 0.13	 0.46	<	  66	<	 78	<	57	    	    	 3.1	Simbad
 341	05 38 06.746	-02 30 22.74	M0.0	H14	R12	H14	 0.62	 1.19	 0.15	 5.29	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 362	05 38 08.263	-02 35 56.27	M2.5	H14	R12	H14	 0.35	 0.56	 0.15	 2.51	<	  69	<	 75	<	54	    	    	 3.1	Simbad
 374	05 38 09.940	-02 51 37.70	M3.0	H14	R12	H14	 0.31	 0.12	 0.13	 0.52	<	  66	<	 78	<	54	    	    	 3.1	Simbad
 396	05 38 13.160	-02 45 51.00	M1.5	H14	R12	H14	 0.43	 0.10	 0.13	 0.45	<	  63	<	 78	<	54	    	    	 3.1	Simbad
 397	05 38 13.200	-02 26 08.80	M4.5	R12	R12	H14	 0.18	-0.07	 0.14	-0.31	<	  69	<	 81	<	60	    	    	 3.1	Simbad
 411	05 38 14.123	-02 15 59.79	F7.5	H14	R12	H14	 1.69	 5.16	 0.15	22.96	<	  69	<	 75	<	54	    	    	 3.1	Simbad
 435	05 38 17.780	-02 40 50.10	M5.0	H14	R12	H14	 0.12	 0.17	 0.13	 0.73	<	  66	<	 75	<	57	    	    	 3.1	Simbad
 451	05 38 18.860	-02 51 38.80	M2.5	H14	R12	H14	 0.34	 0.03	 0.13	 0.15	<	  63	<	 75	<	54	    	    	 3.1	Simbad
 462	05 38 20.500	-02 34 09.00	M4.0	H14	R12	H14	 0.24	 0.18	 0.13	 0.78	<	  69	<	 75	<	51	    	    	 3.1	Simbad
 467	05 38 21.201	-02 54 11.15	M5.5	H14	R12	H14	 0.12	 0.61	 0.14	 2.70	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 482	05 38 23.080	-02 36 49.40	M3.8	VJ 	R12	H14	 0.19	 0.29	 0.14	 1.27	<	  69	<	 78	<	57	    	    	 3.1	Simbad
 485	05 38 23.330	-02 25 34.60	M2.0	H14	R12	H14	 0.36	 0.10	 0.13	 0.43	<	  63	<	 75	<	54	    	    	 3.1	Simbad
 490	05 38 23.580	-02 20 47.60	M5.5	R12	R12	H14	 0.10	 0.05	 0.14	 0.21	<	  72	<	 78	<	54	    	    	 3.1	Simbad
 500	05 38 25.440	-02 42 41.30	M6.0	R12	R12	H14	 0.06	 0.14	 0.14	 0.61	<	  63	<	 72	<	51	    	    	 3.1	Simbad
 514	05 38 26.840	-02 38 46.10	M3.5	H14	R12	H14	 0.23	 0.17	 0.13	 0.76	<	  66	<	 78	<	54	    	    	 3.1	Simbad
 518	05 38 27.256	-02 45 09.71	K6.0	H14	R12	H14	 0.85	 0.52	 0.15	 2.30	<	  69	<	 75	<	60	    	    	 3.1	Simbad
 520	05 38 27.512	-02 35 04.28	M3.5	H14	R12	H14	 0.26	 0.52	 0.15	 2.33	<	  69	<	 75	<	57	    	    	 3.1	Simbad
 537	05 38 28.970	-02 48 47.30	M5.8	VJ 	R12	H14	 0.06	 0.06	 0.14	 0.26	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 540	05 38 29.161	-02 16 15.76	K6.5	H14	R12	H14	 0.79	10.69	 0.15	47.59	 	1204	 	276	<	78	 2.4	 1.0	10.5	Simbad
 562	05 38 31.420	-02 36 33.89	M3.5	H14	R12	H14	 0.27	 0.71	 0.15	 3.17	<	  63	<	 75	<	54	    	    	 3.1	Simbad
 563	05 38 31.580	-02 35 14.90	K7.5	H14	R12	H14	 0.66	 0.06	 0.14	 0.26	<	  69	<	 75	<	54	    	    	 3.1	Simbad
 583	05 38 33.691	-02 44 14.18	K4.5	H14	R12	H14	 1.03	 1.90	 0.14	 8.47	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 587	05 38 34.060	-02 36 37.50	M4.5	R12	R12	H14	 0.20	 0.19	 0.14	 0.83	<	  66	<	 75	<	54	    	    	 3.1	Simbad
 598	05 38 34.600	-02 41 08.80	M2.0	H14	R12	H14	 0.38	-0.19	 0.13	-0.84	<	  66	<	 75	<	57	    	    	 3.1	Simbad
 646	05 38 39.030	-02 45 32.20	M3.5	R12	R12	H14	 0.25	 0.08	 0.14	 0.37	<	  69	<	 78	<	57	    	    	 3.1	Simbad
 657	05 38 39.760	-02 32 20.30	M6.9	VJ 	R12	H14	 0.04	 0.09	 0.14	 0.41	<	  69	<	 78	<	57	    	    	 3.1	Simbad
 662	05 38 40.275	-02 30 18.61	K7.0	H14	R12	H14	 0.72	 1.54	 0.16	 6.85	<	  69	<	 75	<	54	    	    	 3.1	Simbad
 663	05 38 40.540	-02 33 27.60	M4.2	VJ 	R12	H14	 0.19	 0.02	 0.15	 0.09	<	  69	<	 75	<	54	    	    	 3.1	Simbad
 674	05 38 41.600	-02 30 28.90	M3.1	VJ 	R12	H14	 0.30	 0.01	 0.15	 0.07	<	  69	<	 78	<	57	    	    	 3.1	Simbad
 682	05 38 42.277	-02 37 14.81	M0.5	H14	R12	H14	 0.54	 0.41	 0.15	 1.84	<	  69	<	 75	<	57	    	    	 3.1	Simbad
