#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T16:02:09 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T16:02:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/144/134/galaxies&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51440134
#Name: J/AJ/144/134
#Title: LITTLE THINGS survey of nearby dwarf galaxies (Hunter+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/aj/144/134	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/144/134	    IVOID of underlying data collection
#INFO	creator=Hunter D.A.	    First author or institution
#INFO	cites=bibcode:2012AJ....144..134H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/144/134	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51440134	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-03-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_144_134_galaxies:
#Name: J/AJ/144/134/galaxies
#Title: HI data of the galaxies (tables 1, 4, and 6 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cl	(A3)	Galaxy class: Im=dwarf irregular, BCD=Blue Compact Dwarf	[ucd=meta.code;src.morph]
#Column	Name	(a9)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[a] The data for the galaxy NGC 6822 require special treatment (see section 2.1). So NGC 6822 is not included in tables 4 and 6.	[ucd=meta.code]
#Column	PGC	(I5)	? Galaxy PGC identifier (from NED)	[ucd=meta.id]
#Column	UGC	(I5)	? Galaxy UGC identifier (from NED)	[ucd=meta.id]
#Column	OName1	(a14)	Other name (from NED) (1)	[ucd=meta.id]
#Column	OName2	(a13)	Other name (from NED)	[ucd=meta.id]
#Column	OName3	(a20)	Other name (from NED)	[ucd=meta.id]
#Column	Dist	(F4.1)	Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_Dist	(a5)	Reference for the distance to the galaxy (2)	[ucd=meta.ref;pos.frame]
#Column	VMag	(F5.1)	Galaxy absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	Rad	(F5.2)	? Holmberg radius R_H_ (3)	[ucd=phys.angSize]
#Column	Rd	(F5.2)	The disk scale length (4)	[ucd=src.morph.scLength]
#Column	e_Rd	(F5.2)	Uncertainty in Rd	[ucd=stat.error]
#Column	E(B-V)	(F5.2)	Foreground reddening from Burstein & Heiles (1984ApJS...54...33B)	[ucd=phot.color.excess]
#Column	logSFR1	(F5.2)	? Star formation rate from H{alpha} (log SFR^H{alpha}^_D_) (5)	[ucd=phys.SFR]
#Column	e_logSFR1	(F5.2)	? Uncertainty in logSFR1	[ucd=stat.error]
#Column	logSFR2	(F5.2)	? Star formation rate from UV (log SFR^FUV^_D_) (6)	[ucd=phys.SFR]
#Column	e_logSFR2	(F5.2)	? Uncertainty in logSFR2	[ucd=stat.error]
#Column	f_[O/H]	(A1)	[*] Empirical estimation of [O/H] (7)	[ucd=meta.code]
#Column	[O/H]	(F4.1)	Oxygen abundance 12+log(O/H) (measure of the metallicity of the galaxy) (8)	[ucd=phys.abund]
#Column	e_[O/H]	(F5.2)	? Uncertainty in [O/H]	[ucd=stat.error;phys.abund]
#Column	r_[O/H]	(I2)	Reference for [O/H]	[ucd=meta.ref;pos.frame]
#Column	Factor	(F7.2)	? Conversion factor for mass estimation (in units of M{sun}/(Jy.m.s^-1^/beam)) (9)	[ucd=arith.factor;arith.ratio]
#Column	Flux	(F5.2)	? Integrated flux logS_{nu}_ (in units of (Jy/beam).m/s) (10)	[ucd=phot.flux]
#Column	MHI	(F5.2)	? Log of the HI mass (logM_HI_)	[ucd=phys.mass]
#Column	RAJ2000	(A10)	? Hour of right ascension (J2000)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A9)	? Degree of declination (J2000)	[ucd=pos.eq.dec]
#Column	PA	(F5.1)	[-90/90]? Position angle	[ucd=pos.posAng]
#Column	b/a	(F5.2)	? Minor-to-major axis ratio as measured in an outer V-band surface brightness isophote	[ucd=phys.angSize;arith.ratio]
#Column	i	(F4.1)	? Inclination (11)	[ucd=src.orbital.inclination]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from table 6 of this paper or from SIMBAD for NGC 6822 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from table 6 of this paper or from SIMBAD for NGC 6822 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Cl	Name	f_Name	PGC	UGC	OName1	OName2	OName3	Dist	r_Dist	VMag	Rad	Rd	e_Rd	E(B-V)	logSFR1	e_logSFR1	logSFR2	e_logSFR2	f_[O/H]	[O/H]	e_[O/H]	r_[O/H]	Factor	Flux	MHI	RAJ2000	DEJ2000	PA	b/a	i	SimbadName	NED	LEDA	_RA	_DE
 	 	 	 	 	 	 	 	 	Mpc	 	mag	arcmin	kpc	kpc	mag	[Msun/yr/kpc2]	[Msun/yr/kpc2]	[Msun/yr/kpc2]	[Msun/yr/kpc2]	 	[-]	[-]	 	 	[Jy.m/s]	[Msun]	"h:m:s"	"d:m:s"	deg	 	deg	 	 	 	deg	deg
--------	---	---------	-	-----	-----	--------------	-------------	--------------------	----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-	----	-----	--	-------	-----	-----	----------	---------	-----	-----	----	----------	---	----	---------	---------
       1	Im 	CVn I dwA	 	     	     	UGCA 292      	             	                    	 3.6	1    	-12.4	 0.87	 0.57	 0.12	 0.01	-2.58	 0.01	-2.48	 0.01	 	 7.3	 0.06	24	  52.98	 5.95	 7.67	12 38 40.2	+32 45 40	 80.0	 0.78	41.0	UGCA 292  	NED	LEDA	189.66750	+32.76111
       2	Im 	DDO 43   	 	21073	 3860	              	             	                    	 7.8	2    	-15.1	 0.89	 0.41	 0.03	 0.05	-1.78	 0.01	-1.55	 0.01	 	 8.3	 0.09	25	 595.15	 5.45	 8.23	07 28 17.8	+40 46 13	  6.5	 0.70	48.5	DDO 43    	NED	LEDA	112.07417	+40.77028
       3	Im 	DDO 46   	 	21585	 3966	              	             	                    	 6.1	     	-14.7	     	 1.14	 0.06	 0.05	-2.89	 0.01	-2.46	 0.01	 	 8.1	 0.10	25	 530.30	 5.55	 8.27	07 41 26.6	+40 06 39	 84.0	 0.89	28.6	DDO 46    	NED	LEDA	115.36083	+40.11083
       4	Im 	DDO 47   	 	21600	 3974	              	             	                    	 5.2	3    	-15.5	 2.24	 1.37	 0.06	 0.02	-2.70	 0.01	-2.40	 0.01	 	 7.8	 0.20	26	 134.65	 6.46	 8.59	07 41 55.3	+16 48 08	-70.0	 0.51	64.4	DDO 47    	NED	LEDA	115.48042	+16.80222
       5	Im 	DDO 50   	 	23324	 4305	Holmberg II   	VIIZw 223    	                    	 3.4	1    	-16.6	 3.97	 1.10	 0.05	 0.02	-1.67	 0.01	-1.55	 0.01	 	 7.7	 0.14	27	 125.49	 6.75	 8.85	08 19 08.7	+70 43 25	 18.0	 0.72	46.7	DDO 50    	NED	LEDA	124.78625	+70.72361
       6	Im 	DDO 52   	 	23769	 4426	              	             	                    	10.3	4    	-15.4	 1.08	 1.30	 0.13	 0.03	-3.20	 0.01	-2.43	 0.01	*	 7.7	     	28	1404.03	 5.28	 8.43	08 28 28.5	+41 51 21	  5.0	 0.67	51.1	DDO 52    	NED	LEDA	127.11875	+41.85583
       7	Im 	DDO 53   	 	24050	 4459	VIIZw 238     	             	                    	 3.6	1    	-13.8	 1.37	 0.72	 0.06	 0.03	-2.42	 0.01	-2.41	 0.01	 	 7.6	 0.11	27	 169.40	 5.49	 7.72	08 34 08.0	+66 10 37	 81.0	 0.51	64.4	DDO 53    	NED	LEDA	128.53333	+66.17694
       8	Im 	DDO 63   	 	27605	 5139	Holmberg I    	Mailyan 044  	                    	 3.9	1    	-14.8	 2.17	 0.68	 0.01	 0.01	-2.32	 0.01	-1.95	 0.00	 	 7.6	 0.11	27	 152.10	 6.01	 8.19	09 40 30.4	+71 11 02	  0.0	 1.00	 0.0	DDO 63    	NED	LEDA	145.12667	+71.18389
       9	Im 	DDO 69   	 	28868	 5364	Leo A         	             	                    	 0.8	5    	-11.7	 2.40	 0.19	 0.01	 0.00	-2.83	 0.01	-2.22	 0.01	 	 7.4	 0.10	29	   9.66	 5.86	 6.84	09 59 25.0	+30 44 42	-64.0	 0.56	60.3	DDO 69    	NED	LEDA	149.85417	+30.74500
      10	Im 	DDO 70   	 	28913	 5373	Sextans B     	             	                    	 1.3	6    	-14.1	 3.71	 0.48	 0.01	 0.01	-2.85	 0.01	-2.16	 0.00	 	 7.5	 0.06	30	   4.35	 6.97	 7.61	10 00 00.9	+05 19 50	 88.0	 0.59	57.8	DDO 70    	NED	LEDA	150.00375	+05.33056
      11	Im 	DDO 75   	 	29653	     	UGCA  205     	Sextans A    	                    	 1.3	7    	-13.9	 3.09	 0.22	 0.01	 0.02	-1.28	 0.01	-1.07	 0.01	 	 7.5	 0.06	30	  16.28	 6.65	 7.86	10 10 59.2	-04 41 56	 41.0	 0.85	33.5	DDO 75    	NED	LEDA	152.74667	-04.69889
      12	Im 	DDO 87   	 	32405	 5918	VIIZw 347     	             	                    	 7.7	     	-15.0	 1.15	 1.31	 0.12	 0.00	-1.36	 0.01	-1.00	 0.01	 	 7.8	 0.04	31	 592.62	 5.62	 8.39	10 49 34.7	+65 31 46	 76.5	 0.58	58.6	DDO 87    	NED	LEDA	162.39458	+65.52944
      13	Im 	DDO 101  	 	37449	 6900	              	             	                    	 6.4	     	-15.0	 1.05	 0.94	 0.03	 0.01	-2.85	 0.01	-2.81	 0.01	 	 8.7	 0.03	25	 331.75	 4.84	 7.36	11 55 39.4	+31 31 08	-69.0	 0.69	49.4	DDO 101   	NED	LEDA	178.91417	+31.51889
      14	Im 	DDO 126  	 	40791	 7559	              	             	                    	 4.9	8    	-14.9	 1.76	 0.87	 0.03	 0.00	-2.37	 0.01	-2.10	 0.01	*	 7.8	     	28	 293.50	 5.69	 8.16	12 27 06.5	+37 08 23	-41.0	 0.47	67.7	DDO 126   	NED	LEDA	186.77708	+37.13972
      15	Im 	DDO 133  	 	41636	 7698	              	             	                    	 3.5	     	-14.8	 2.33	 1.24	 0.09	 0.00	-2.88	 0.01	-2.62	 0.01	 	 8.2	 0.09	25	  43.13	 6.39	 8.02	12 32 55.4	+31 32 14	 -6.0	 0.69	49.4	DDO 133   	NED	LEDA	188.23083	+31.53722
      16	Im 	DDO 154  	 	43869	 8024	NGC 4789A     	             	                    	 3.7	     	-14.2	 1.55	 0.59	 0.03	 0.01	-2.50	 0.01	-1.93	 0.01	 	 7.5	 0.09	27	 129.01	 6.35	 8.46	12 54 06.2	+27 09 02	 46.0	 0.50	65.2	DDO 154   	NED	LEDA	193.52583	+27.15056
      17	Im 	DDO 155  	 	44491	 8091	GR 8          	LSBC D646-07 	                    	 2.2	9    	-12.5	 0.95	 0.15	 0.01	 0.01	-1.44	 0.01	     	     	 	 7.7	 0.06	29	  19.85	 5.70	 7.00	12 58 39.8	+14 13 10	 51.0	 0.71	47.6	DDO 155   	NED	LEDA	194.66583	+14.21944
      18	Im 	DDO 165  	 	45372	 8201	VII Zw 499    	Mailyan 82   	                    	 4.6	10   	-15.6	 2.14	 2.26	 0.08	 0.01	-3.67	 0.01	     	     	 	 7.6	 0.08	27	 131.87	 6.01	 8.13	13 06 25.3	+67 42 25	 89.0	 0.54	61.9	DDO 165   	NED	LEDA	196.60542	+67.70694
      19	Im 	DDO 167  	 	45939	 8308	              	             	                    	 4.2	8    	-13.0	 0.75	 0.33	 0.05	 0.00	-2.36	 0.01	-1.83	 0.01	 	 7.7	 0.20	26	 215.81	 4.84	 7.17	13 13 22.9	+46 19 11	-23.0	 0.65	52.8	DDO 167   	NED	LEDA	198.34542	+46.31972
      20	Im 	DDO 168  	 	46039	 8320	              	             	                    	 4.3	8    	-15.7	 2.32	 0.82	 0.01	 0.00	-2.27	 0.01	-2.04	 0.01	 	 8.3	 0.07	25	 191.09	 6.17	 8.47	13 14 27.2	+45 55 46	-24.5	 0.63	54.5	DDO 168   	NED	LEDA	198.61333	+45.92944
      21	Im 	DDO 187  	 	50961	 9128	              	             	                    	 2.2	1    	-12.7	 1.06	 0.18	 0.01	 0.00	-2.52	 0.01	-1.98	 0.01	 	 7.7	 0.09	32	  66.04	 5.30	 7.12	14 15 56.7	+23 03 19	 37.0	 0.80	39.0	DDO 187   	NED	LEDA	213.98625	+23.05528
      22	Im 	DDO 210  	 	65367	     	Aquarius Dwarf	             	                    	 0.9	10   	-10.9	 1.31	 0.17	 0.01	 0.03	     	     	-2.71	 0.06	*	 7.2	     	28	   3.79	 5.72	 6.30	20 46 52.0	-12 50 51	-85.0	 0.48	66.9	DDO 210   	NED	LEDA	311.71667	-12.84750
      23	Im 	DDO 216  	 	71538	12613	Peg DIG       	Pegasus Dwarf	                    	 1.1	11   	-13.7	 4.00	 0.54	 0.01	 0.02	-4.10	 0.07	-3.21	 0.01	 	 7.9	 0.15	33	  12.41	 5.65	 6.75	23 28 35.0	+14 44 30	-58.0	 0.45	69.4	DDO 216   	NED	LEDA	352.14583	+14.74167
      24	Im 	F564-V3  	 	     	     	LSBC D564-08  	             	                    	 8.7	4    	-14.0	     	 0.53	 0.03	 0.02	     	     	-2.79	 0.02	*	 7.6	     	28	 351.11	 5.07	 7.61	09 02 53.9	+20 04 29	  8.5	 0.83	35.8	LEDA 86668	NED	LEDA	135.72458	+20.07472
      25	Im 	IC 10    	 	 1305	  192	              	             	                    	 0.7	12   	-16.3	     	 0.40	 0.01	 0.75	-1.11	 0.01	     	     	 	 8.2	 0.12	34	   7.08	 6.93	 7.78	00 20 21.9	+59 17 39	-38.0	 0.78	41.0	IC 10     	NED	LEDA	005.09125	+59.29417
      26	Im 	IC 1613  	 	 3844	  668	DDO 8         	             	                    	 0.7	13   	-14.6	 9.10	 0.58	 0.02	 0.00	-2.56	 0.01	-1.99	 0.01	 	 7.6	 0.05	35	   4.61	 6.86	 7.53	01 04 49.2	+02 07 48	 71.0	 0.81	37.9	IC 1613   	NED	LEDA	016.20500	+02.13000
