# Oh+2015 (AJ, 149, 180) - Table 2: Mass modelling results of LITTLE THINGS galaxies
# Extracted from arXiv:1502.01281 LaTeX source
#
# Name  Rmax(kpc)  R0.3(kpc)  Vmax(km/s)  V_ISO(km/s)  Rmax/HIbeam  z0(kpc)  c  V200(km/s)  Rc(kpc)  rho0(1e-3 Msun/pc3)  alpha_min  alpha_ML  Mgas(1e7Msun)  Mstar_KIN(1e7Msun)  Mstar_SED(1e7Msun)  log(Mdyn)  log(M200)
CVnIdwA				  2.59		  2.27 	 23.5 	 23.7		 13.5 	 0.24 	 -0.4 (11.0) 	 478.5 (16.1 +- 1.6) 	 2.01 +- 0.52 	 8.19 +- 1.62								-1.25 +- 0.21			+0.03 +- 0.27		 2.91 	 0.41 	 0.49 	 8.529 	 9.138 
DDO 43				  4.19		  4.19 	 33.2 	 38.5		 13.7 	 ... 	 5.6 +- 2.6 (10.2) 	 39.8 +- 14.9 (31.4 +- 1.8) 	 0.94 +- 0.18 	 33.22 +- 8.78				-0.15 +- 0.13			-0.25^{*} +- 0.16		 23.26 	 ... 	 ... 	 9.159 	 10.317 
DDO 46				  2.92		  2.04 	 66.1 	 77.4		 15.7 	 ... 	 18.7 +- 3.5 (9.0) 	 61.2 +- 9.7 (136.7 +- 6.1) 	 0.51 +- 0.04 	 517.82 +- 65.46			-0.41 +- 0.01			-0.42^{*} +- 0.02		 22.08 	 ... 	 ... 	 9.609 	 11.925 
DDO 47				  7.71		  1.55 	 64.7 	 68.9		 29.3 	 ... 	 -0.4 (9.2) 	 1359.0 (51.3 +- 2.5) 	 3.72 +- 0.48 	 12.15 +- 1.49								-1.24 +- 0.20			-1.25^{*} +- 0.22		 46.80 	 ... 	 ... 	 9.930 	 10.648 
DDO 50				  9.81		  1.67 	 35.7 	 35.7		 84.4 	 0.28 	 22.2 (10.3) 	 15.4 (28.8 +- 0.2) 	 0.15 +- 0.08 	 379.64 +- 381.14								-0.41 +- 0.41			+0.10 +- 0.41		 132.52 	 9.79 	 10.60 	 9.463 	 9.895 
DDO 52				  5.43		  5.43 	 60.2 	 60.5		 15.9 	 0.26 	 6.1 +- 1.1 (9.4) 	 71.9 +- 11.8 (57.8 +- 1.3) 	 1.33 +- 0.07 	 48.81 +- 3.63				-0.55 +- 0.04			-0.49 +- 0.02		 33.43 	 7.20 	 5.31 	 9.664 	 10.803 
DDO 53				  1.45		  0.62 	 28.6 	 33.1		 13.1 	 0.14 	 0.0 +- 4.4 (10.4) 	 425.8 +- 2531.9 (27.8 +- 3.2) 	 2.22 +- 1.95 	 25.10 +- 5.63			-0.27 +- 0.48			+0.14 +- 0.80		 7.00 	 0.96 	 0.97 	 8.567 	 9.849 
DDO 70					2.00			0.55 	 43.9 	 35.5		 22.9 	 0.11 	 0.0 +- 10.2 (10.3) 	 866.1 +- 11717.4 (38.6 +- 1.8) 	 0.51 +- 0.11 	 119.95 +- 34.69								-0.43 +- 0.02			-0.48 +- 0.03		 3.80 	 1.24 	 1.96 	 8.768 	 10.277 
DDO 87				  7.39		  4.13 	 56.6 	 56.2		 26.1 	 0.48 	 0.0 +- 0.2 (9.5) 	 511.4 +- 143.8 (40.7 +- 1.6) 	 2.46 +- 0.11 	 13.91 +- 0.77				-0.01 +- 0.44			-0.01 +- 0.47		 29.12 	 6.18 	 3.27 	 9.734 	 10.346 
DDO 101				  1.95		  1.05 	 64.5 	 63.6		 7.5 	 0.13 	 25.0 +- 1.3 (9.4) 	 43.9 +- 1 (115.7 +- 6.4) 	 0.32 +- 0.01 	 849.14 +- 77.23 	-1.00 +- 0.15			-1.02 +- 0.12		 3.48 	 5.79 	 6.54 	 9.279 	 510.18 
DDO 126				  3.99		  2.88 	 37.2 	 40.5		 24.3 	 0.23 	 -0.2 +- 44.4 (10.1) 	 626.6 +- 48442.1 (31.4 +- 1.2) 	 1.33 +- 0.10 	 21.59 +- 2.00		-0.41 +- 0.15			-0.39 +- 0.15		 16.36 	 2.27 	 1.62 	 9.182 	 10.008 
DDO 133				  3.48		  3.48 	 46.1 	 47.5		 16.5 	 0.22 	 4.9 +- 2.3 (9.8) 	 74.5 +- 36.7 (46.6 +- 1.6) 	 0.83 +- 0.06 	 73.69 +- 7.61				-0.11 +- 0.14			-0.11 +- 0.15		 12.85 	 2.62 	 3.04 	 9.261 	 10.522 
DDO 154				  7.32		  2.59 	 47.8 	 49.2		 51.3 	 0.14 	 6.4 +- 0.5 (9.8) 	 48.7 +- 2.9 (41.1 +- 0.6) 	 0.95 +- 0.03 	 53.21 +- 3.19				-0.39 +- 0.11			-0.41 +- 0.13		 35.27 	 1.31 	 0.83 	 9.614 	 10.359 
DDO 168				  3.14		  3.14 	 60.3 	 67.4		 19.2 	 0.22 	 -0.3 +- 1171.6 (9.2) 	 2290.8 +- ... (63.9 +- 4.0) 	 2.81 +- 0.83 	 39.81 +- 6.37			-0.28 +- 0.28			+0.97 +- 0.18		 25.94 	 5.13 	 5.85 	 9.520 	 10.934 
DDO 210				  0.31		  0.31 	 12.0 	 11.3		 6.0 	 0.10 	 0.0 +- 202.3 (12.2) 	 339.4 +- ... (12.4 +- 1.0) 	 0.20 +- 0.05 	 116.43 +- 23.05			-0.30 +- 0.07			-0.70 +- 0.02		 0.14 	 0.04 	 0.06 	 6.964 	 8.797 
DDO 216				  1.12		  0.48 	 18.9 	 15.7		 13.0 	 0.27 	 13.2 +- 2.7 (11.7) 	 8.8 +- 1.0 (14.7 +- 0.4) 	 0.15 +- 0.03 	 127.02 +- 43.35				-0.17 +- 0.47			-0.30 +- 0.62		 0.49 	 1.60 	 1.51 	 7.807 	 9.019 
F564-V3				  3.71		  1.83 	 28.8 	 34.2		 7.0 	 ... 	 10.8 +- 4.5 (10.4) 	 26.2 +- 7.1 (29.6 +- 2.1) 	 0.55 +- 0.20 	 74.24 +- 40.17				-0.66^{*} +- 0.14		-0.68^{*} +- 0.18		 4.37 	 ... 	 ... 	 9.003 	 9.931 
IC 10				  0.54		  0.20 	 36.5 	 36.1		 27.0 	 0.07 	 0.2 +- 951.3 (18.6) 	 2077.1 +- ... (36.8 +- 2.2) 	 0.27 +- 0.12 	 190.4 +- 76.4			-1.19 +- 0.01			-0.25 +- 0.32 			 1.65 	 11.81 	 ... 	 8.213 	 10.215 
IC 1613				  2.71		  0.36 	 16.9 	 21.1		 103.8	 0.15 	 5.0 +- ... (11.2) 	 5.4 +- ... (12.5 +- 0.4) 	 0.20 +- 0.04 	 19.25 +- 3.45				+1.16 +- 1.22			-0.10 +- 0.92			 5.93 	 1.94 	 2.88 	 8.448 	 8.808 
