#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:52:26 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:52:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/478/1611/table2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781611
#Name: J/MNRAS/478/1611
#Title: Local Volume H I Survey (LVHIS) (Koribalski+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	creator=Koribalski B.S.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1611K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1611	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781611	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1611_table2:
#Name: J/MNRAS/478/1611/table2
#Title: Optical properties of LVHIS galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	HIPASS	(A15)	HIPASS name (HIPASS JHHMM+DD)	[ucd=meta.id;meta.main]
#Column	m_HIPASS	(A1)	[A] Multiliity index on HIPASS	[ucd=meta.code.multip]
#Column	OName	(a12)	Optical galaxy name	[ucd=meta.id]
#Column	n_OName	(A1)	[1] Note on OName (1)	[ucd=meta.note]
#Column	D	(F5.2)	Best available galaxy distance (2)	[ucd=pos.distance;src.class.starGalaxy;meta.modelled]
#Column	MType	(a9)	Morphological type	[ucd=src.morph.type]
#Column	AB	(F6.3)	B-band extinction, fron Schlafly & Finkbeiner (2011ApJ...737..103S)	[ucd=phys.absorption]
#Column	BTmag	(F5.2)	? BT magnitude from Lauberts & Valentijn (Cat. VII/115)	[ucd=phot.mag;em.opt.B]
#Column	n_BTmag	(A1)	[)] Uncertainty flag on BTmag	[ucd=meta.note]
#Column	logLB	(F5.2)	? Luminosity in B Band	[ucd=phys.luminosity;em.opt.B]
#Column	u_logLB	(A1)	[)] Uncertainty flag on logLB	[ucd=meta.code.error]
#Column	RTmag	(F5.2)	? RT magnitude from Lauberts & Valentijn (Cat. VII/115)	[ucd=phot.mag;em.opt.R]
#Column	u_RTmag	(A1)	[)] Uncertainty flag on RTmag	[ucd=meta.code.error]
#Column	B-R	(F5.2)	? B-R colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	u_B-R	(A1)	[)] Uncertainty flag on B-R	[ucd=meta.code.error;phot.color;em.opt.B]
#Column	Dopt	(I4)	? B-band diameter at 25.5mag/arcsec^2^	[ucd=phys.size.diameter]
#Column	u_Dopt	(A1)	[)] Uncertainty flag on Dopt	[ucd=meta.code.error]
#Column	i	(I2)	? Inclination angle, from Lauberts, 1982, Cat. VII/34	[ucd=src.orbital.inclination;pos.posAng]
#Column	u_i	(A1)	[)] Uncertainty flag on i	[ucd=meta.code.error]
#Column	PA	(I3)	? Position angle, from Lauberts, 1982, Cat. VII/34	[ucd=pos.posAng]
#Column	u_PA	(A1)	[)] Uncertainty flag on PA	[ucd=meta.code.error]
#Column	Group	(a10)	Galaxy subgroup	[ucd=meta.id]
#Column	Ncln	(I2)	Number of close neighbours (within 300arcmin and vsys<800km/s)	[ucd=meta.number]
#Column	SimbadName	(A16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	HIPASS	m_HIPASS	OName	n_OName	D	MType	AB	BTmag	n_BTmag	logLB	u_logLB	RTmag	u_RTmag	B-R	u_B-R	Dopt	u_Dopt	i	u_i	PA	u_PA	Group	Ncln	SimbadName	_RA	_DE
 	 	 	 	 	Mpc	 	mag	mag	 	[Lsun]	 	mag	 	mag	 	Mpc	 	deg	 	deg	 	 	 	 	deg	deg
--------	---------------	-	------------	-	-----	---------	------	-----	-	-----	-	-----	-	-----	-	----	-	--	-	---	-	----------	--	----------------	---------	---------
       1	HIPASS J0008-34	 	ESO349-G031 	 	 3.21	IBm      	 0.043	15.54	 	 6.99	 	14.99	 	 0.55	 	 150	 	  	 	   	 	Sculptor  	 3	HIPASS J0008-34 	002.05583	-34.57806
       2	               	 	ESO294-G010 	 	 1.92	dS0/Im   	 0.021	15.66	 	 6.49	 	14.44	 	 1.22	 	  78	 	40	 	  6	 	Sculptor  	 1	ESO294-G010     	006.63917	-41.85611
       3	HIPASS J0015-32	 	ESO410-G005 	 	 1.92	dS0-a    	 0.049	14.90	 	 6.81	 	14.01	 	 0.89	 	 102	 	35	 	 54	 	Sculptor  	 2	HIPASS J0015-32 	003.88104	-32.17981
       4	HIPASS J0015-39	 	NGC 55      	 	 2.13	SBm      	 0.048	 8.58	 	 9.42	 	 7.84	 	 0.74	 	2220	 	74	 	108	 	Sculptor  	 2	HIPASS J0015-39 	003.72334	-39.19663
       5	HIPASS J0047-20	 	NGC 247     	 	 3.65	SABd     	 0.065	 9.60	 	 9.49	 	 8.80	 	 0.80	 	1800	 	73	 	174	 	Sculptor  	 4	HIPASS J0047-20 	011.91833	-20.47778
       6	HIPASS J0047-25	 	NGC 253     	 	 3.94	SABc     	 0.068	 8.18	 	10.13	 	 6.66	 	 1.52	 	1920	 	76	 	 52	 	Sculptor  	 5	HIPASS J0047-25 	011.88806	-25.28880
       7	HIPASS J0054-37	 	NGC 300     	 	 2.15	Sd       	 0.046	 8.69	 	 9.39	 	 7.46	 	 1.23	 	1800	 	48	 	111	 	Sculptor  	 2	HIPASS J0054-37 	013.72269	-37.68422
       8	HIPASS J0135-41	 	NGC 625     	 	 3.89	SBm      	 0.059	11.50	 	 8.78	 	10.61	 	 0.89	 	 390	 	72	 	 92	 	Sculptor  	 2	HIPASS J0135-41 	023.76930	-41.43620
       9	HIPASS J0145-43	 	ESO245-G005 	 	 4.43	IBm      	 0.059	12.74	 	 8.40	 	11.74	 	 1.00	 	 312	 	16	 	122	 	Sculptor  	 2	HIPASS J0145-43 	026.26542	-43.59778
      10	HIPASS J0150-44	 	ESO245-G007 	 	 0.42	Im       	 0.058	13.08	 	 6.26	 	12.01	 	 1.07	 	 300	 	26	 	 90	 	LG        	 2	HIPASS J0150-44 	027.77625	-44.44472
      11	HIPASS J0237-61	 	ESO115-G021 	 	 4.99	SBdm     	 0.094	13.26	 	 8.31	 	12.06	 	 1.20	 	 510	 	81	 	 44	 	          	 0	HIPASS J0237-61 	039.45651	-61.33160
      12	HIPASS J0256-54	 	ESO154-G023 	 	 5.76	SBm      	 0.060	12.71	 	 8.61	 	12.01	 	 0.70	 	 540	 	80	 	 39	 	          	 1	HIPASS J0256-54 	044.21000	-54.57139
      13	HIPASS J0258-49	 	ESO199-G007 	 	 6.60	Sd       	 0.078	16.44	 	 7.27	 	16.00	 	 0.44	 	  60	 	66	 	  4	 	          	 1	HIPASS J0258-49 	044.51708	-49.38222
      14	HIPASS J0317-66	 	NGC 1313    	 	 4.07	SBd      	 0.395	 9.38	 	 9.81	 	 8.82	 	 0.56	 	 720	 	34	 	 39	 	dw-sp pair	 1	HIPASS J0317-66 	049.56686	-66.49826
      15	HIPASS J0320-52	 	NGC 1311    	 	 5.22	SBm      	 0.078	13.23	 	 8.35	 	12.43	)	 0.85	)	 210	 	73	 	 40	 	          	 3	HIPASS J0320-52 	050.02894	-52.18549
      16	HIPASS J0321-66	 	AM0319-662  	 	 3.98	dIrr     	 0.303	17.60	)	 6.46	)	16.70	)	 0.90	 	  72	)	  	 	   	 	dw-sp pair	 1	HIPASS J0321-66 	050.15208	-66.31111
      17	HIPASS J0333-50	 	IC 1959     	 	 6.05	SBm      	 0.040	13.22	 	 8.47	 	12.41	)	 0.81	 	 228	 	78	 	147	 	          	 1	HIPASS J0333-50 	053.30240	-50.41420
      18	HIPASS J0454-53	 	NGC 1705    	 	 5.11	S0       	 0.029	12.82	 	 8.48	 	12.08	 	 0.74	 	 102	 	45	 	 50	 	          	 0	HIPASS J0454-53 	073.55625	-53.36106
      19	HIPASS J0457-42	 	ESO252-IG001	1	 7.20	dIrr     	 0.046	15.28	 	 7.80	 	15.04	 	 0.24	 	  90	 	75	 	 56	 	          	 1	HIPASS J0457-42 	074.24292	-42.80083
