#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:21 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/478/1611/table6&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781611
#Name: J/MNRAS/478/1611
#Title: Local Volume H I Survey (LVHIS) (Koribalski+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	creator=Koribalski B.S.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1611K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1611	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781611	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1611_table6:
#Name: J/MNRAS/478/1611/table6
#Title: ATCA HI properties of LVHIS galaxies
#Column	HIPASS	(A15)	HIPASS name (HIPASS JHHMM+DDA)	[ucd=meta.id;meta.main]
#Column	m_HIPASS	(A1)	[A] Multiliity index on HIPASS	[ucd=meta.code.multip]
#Column	OName	(a12)	Optical galaxy name	[ucd=meta.id]
#Column	FHI	(F6.1)	HI flux density	[ucd=phot.flux.density;spect.line]
#Column	u_FHI	(A1)	[)] Uncertainty flag on FHI	[ucd=meta.code.error]
#Column	logMHI	(F5.2)	HI mass	[ucd=phys.mass]
#Column	u_logMHI	(A1)	[)] Uncertainty flag on logMHI	[ucd=meta.code.error]
#Column	RHI	(I4)	? HI radius	[ucd=phys.angSize;src]
#Column	u_RHI	(A1)	[)] Uncertainty flag on RHI	[ucd=meta.code.error]
#Column	i	(I2)	? Inclination angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	PA	(I3)	? Position angle	[ucd=pos.posAng]
#Column	FHI*	(F6.1)	? HI flux density enclosed within RHI	[ucd=phot.flux]
#Column	MHI/LB	(F5.2)	? HI mass to B luminosity ratio	[ucd=phys.composition.massLightRatio]
#Column	u_MHI/LB	(A1)	[)] Uncertainty flag on MHI/LB	[ucd=meta.code.error]
#Column	DHI/Dopt	(F5.2)	? HI to optical diameter ratio	[ucd=phys.size.diameter;arith.ratio]
#Column	Fig	(a7)	Figure number in the paper	[ucd=meta.id]
#Column	Notes	(a14)	Notes (1)	[ucd=meta.note]
HIPASS	m_HIPASS	OName	FHI	u_FHI	logMHI	u_logMHI	RHI	u_RHI	i	PA	FHI*	MHI/LB	u_MHI/LB	DHI/Dopt	Fig	Notes
 	 	 	Jy.km/s	 	[Msun]	 	arcsec	 	deg	deg	Jy.km/s	Msun/Lsun	 	 	 	
---------------	-	------------	------	-	-----	-	----	-	--	---	------	-----	-	-----	-------	--------------
HIPASS J0008-34	 	ESO349-G031 	   4.8	 	 7.07	 	  70	 	38	 32	   3.5	 1.20	 	 0.94	A1     	dSph/dIrr, (2)
               	 	ESO294-G010 	   0.1	 	 4.94	 	    	 	  	   	      	     	 	     	-      	dSph/dIrr, (1)
HIPASS J0015-32	 	ESO410-G005 	   0.9	 	 5.89	 	  18	 	35	 54	   0.1	 0.10	 	 0.36	A2     	dSph/dIrr, (2)
HIPASS J0015-39	 	NGC 55      	2025.4	 	 9.34	 	1106	 	69	103	1796.0	 0.80	 	 1.00	A3     	W2013
HIPASS J0047-20	 	NGC 247     	 662.5	 	 9.32	 	1544	 	73	173	 661.2	 0.90	 	 1.72	A4     	
HIPASS J0047-25	 	NGC 253     	 746.8	 	 9.44	 	 739	 	73	 45	 713.6	 0.20	 	 0.77	A5     	HI absorption
HIPASS J0054-37	 	NGC 300     	1758.3	 	 9.28	 	1335	 	46	147	1486.1	 0.80	 	 1.48	A6     	W2011
HIPASS J0135-41	 	NGC 625     	  24.6	 	 7.94	 	 150	 	64	106	  17.5	 0.10	 	 0.77	A7     	
HIPASS J0145-43	 	ESO245-G005 	  83.1	 	 8.58	 	 253	 	42	106	  77.8	 1.50	 	 1.63	A8     	
HIPASS J0150-44	 	ESO245-G007 	   2.3	 	 4.98	 	    	 	  	   	      	 0.10	 	     	Fig. 6 	dSph/dIrr
HIPASS J0237-61	 	ESO115-G021 	 110.7	 	 8.81	 	 331	 	76	 43	  93.6	 3.20	 	 1.30	A9     	
HIPASS J0256-54	 	ESO154-G023 	 130.3	 	 9.01	 	 339	 	73	 29	 110.5	 2.30	 	 1.26	A10    	
HIPASS J0258-49	 	ESO199-G007 	   1.6	 	 7.22	 	  39	 	66	  4	   0.6	 0.90	 	 1.31	A11    	(2)
HIPASS J0317-66	 	NGC 1313    	 491.3	 	 9.28	 	 540	 	51	 14	 479.4	 0.30	 	 1.50	A12    	
HIPASS J0320-52	 	NGC 1311    	  13.6	 	 7.94	 	 112	 	73	 40	   9.7	 0.40	 	 1.07	A14    	
HIPASS J0321-66	 	AM0319-662  	   0.3	 	 6.05	 	    	 	  	   	      	 0.30	 	     	A13    	dSph/dIrr, (1)
HIPASS J0333-50	 	IC 1959     	  26.0	 	 8.35	 	 152	 	69	150	  22.3	 0.80	 	 1.34	A15    	
HIPASS J0454-53	 	NGC 1705    	  12.2	 	 7.88	 	  96	 	45	 50	   8.7	 0.20	 	 1.90	A16    	
HIPASS J0457-42	 	ESO252-IG001	   9.9	 	 8.08	 	  86	 	46	 68	   8.7	 1.90	 	 1.93	A17    	
HIPASS J0605-33	 	ESO364-G?029	  22.3	 	 8.48	 	 142	 	44	 52	  19.6	 0.80	 	 1.36	A18    	
HIPASS J0607-34	 	AM0605-341  	   9.3	 	 8.08	 	  89	 	47	 84	   7.7	 0.70	 	 3.71	A19    	
HIPASS J0610-34	 	NGC 2188    	  34.3	 	 8.65	 	 149	 	54	  2	  30.9	 0.30	 	 0.83	A20    	
