recno	Plateifu	MaNGA	RAJ2000	DEJ2000	logMstar	logSFR	VelST1Re	e_VelST1Re	VelST1_3Re	e_VelST1_3Re	VelST2Re	e_VelST2Re	VsigST1Re	VsigST1_3Re	VsigST2Re	VelG1Re	e_VelG1Re	VelG1_3Re	e_VelG1_3Re	VelG2Re	e_VelG2Re	VsigG1Re	VsigG1_3Re	VsigG2Re	Sample	RmaxST	RmaxG
3934	" 8154-12705"	"  1-37547"	45.598159228	0.97929394383	10.41	0.511	68.2846809018818	22.0960039536879					0.414329221810884			121.066484050405	18.293307858795	83.5246882526162	22.2752855969791			0.5540917748810578	0.661327190685431		3	1.0	1.3
2741	" 8154-12703"	"  1-37546"	45.6984025268	0.96483565749	9.522	-0.302										80.1691861077281	9.1728018887166	92.4989450384259	9.1728018887166	119.691437938411	9.1728018887166	1.5318130740007485	1.77500761881264	2.15214470768617	2		2.0
2347	" 7993-12705"	"  1-42053"	32.747140698	12.3623604454	10.459	-0.061										138.009377560072	10.583104833916	147.661496503848	10.583104833916	157.000111857478	10.583104833916	2.076058476090046	2.29438333327388	2.74213130743294	2		2.0
3751	" 8157-12705"	"  1-42131"	31.6466327252	12.5203065089	11.327	0.028										257.868412258105	8.91966197638595	263.874819262775	9.35152863181401			2.7580323550650037	3.24449941408343		2		1.3
849	"  8157-3704"	"  1-42106"	32.3464524305	12.841627271	10.987	0.447	194.163756012252	20.7093518544951	192.952272874832	24.903316606684			0.563942207701529	0.626307632301763		208.846478107949	7.44214887227583	219.702511143246	7.44214887227583			1.751504275682653	2.2032893206671		4	1.3	1.3
149	"  9514-3701"	"  1-42082"	32.8252498454	12.9220672536	10.899	-0.382	53.6631762690294	32.8026317654219	28.801967687631	38.9790062272888	59.525286395874	52.4189894469694	0.0917610588814822	0.110366082402989	0.115355905425996	162.097948791648	70.6516810000451	180.251489259599	71.1219303680484			0.3374162494335007	0.452299953779287		3	2.0	1.3
1899	"  8157-6104"	"  1-42065"	32.9507013149	13.1553573704	11.446	0.335	238.535553474075	21.3303275976363	265.065089122676	26.6543128740313			0.648049917046265	0.740990885320419		312.598952106531	11.7584677039294	316.837315088361	11.7584677039294	307.448319496357	11.7584677039294	2.760114710941051	3.06056211524991	3.44267072347552	4	1.3	2.0
2142	" 9514-12705"	"  1-42030"	33.3970270848	13.3704825796	10.454	-0.186	137.219629046603	14.0548739009768	152.078332890478	14.638210785991			0.940852063986077	1.05595153428009		140.220592071116	8.59909646254715	159.0059637939	8.59909646254715	176.777425289169	8.59909646254715	1.5426504989229126	2.08150441019796	2.64043030228393	3	1.3	2.0
1724	"  7993-3704"	"  1-42248"	33.8745752504	13.8592192326	10.264	-0.135	111.080757039441	10.0118676372899	124.264483981995	13.6927941192961			0.680026512279091	0.749537231783063		145.763092270603	7.0	154.917231742395	7.0			2.324880239024422	2.60400687917139		4	1.3	1.3
2785	"  9514-9102"	"  1-42227"	33.2955172934	14.0179652289	10.879	-0.648	45.8562522584968	10.1625861102196	42.4952610047519	12.8219423605518			0.147405299882635	0.158123714316324											1	1.3	
4027	" 8157-12702"	"  1-41758"	31.5248304024	13.2852247986	10.504	0.394										150.380267295217	7.36886460548133	154.941052529832	7.36886460548133			2.884874385843532	3.15646765852972		2		1.3
338	"  8157-1901"	"  1-41760"	31.3328326881	13.2585064539	10.573	-1.664	158.830024352874	14.1104120170329	178.454775748928	15.6788633459111			0.357119966401264	0.437662132965941											1	1.3	
1243	"  9514-9101"	"  1-41746"	31.6827355216	13.3716289407	10.862	0.222	104.642825402818	24.7067271869187	118.417028369748	30.1257813141151			0.414280256631276	0.479877875470261		133.371396029665	8.50195427234596	132.837693989425	8.50195427234596	154.105243988396	12.581505492837	2.573201196664214	2.95350989355866	3.0694915457821	3	1.3	2.0
1246	"  8157-9101"	"  1-41828"	30.1863873608	13.0399761195	10.309	0.003	128.116624504589	9.97261519254246	139.906476886629	12.3455428892065			0.825392428374239	0.94875519545419		140.462211896585	8.3401222654101	152.84750078245	8.3401222654101	146.98256432699	8.3401222654101	2.2548341701651666	2.61517762541582	3.03337418225564	3	1.3	2.0
2506	" 9513-12704"	"  1-41833"	29.7560394203	13.22457624	9.998	-0.023										116.534379115496	8.84924360151808	117.013631417456	8.84924360151808	136.957334144512	14.7295595270004	2.5027365215710566	2.63293076323593	2.92865144911185	2		2.0
1108	"  7993-9101"	"  1-41752"	31.9530631664	13.6095950748	10.951	0.869	80.2291968671369	38.2398474760604	116.349239867535	43.30282643308	194.851922602835	42.4970268145705	0.156772514125377	0.19671835933071	0.253629560165293	227.36747140381	9.97061976566761	159.386283238599	15.5974402783857			1.2833822094538074	1.34554415227044		3	2.0	1.3
2590	" 9514-12701"	"  1-42176"	32.4271106524	14.3254913546	10.485	-0.134										166.970002441124	7.81809880485923	176.575399826747	7.81809880485923	197.181014422164	7.94425844982411	2.648589956694216	3.09737733561068	3.28276918123778	2		2.0
129	"  7993-1901"	"  1-42198"	32.9127996774	14.1417772947	10.339	-1.66	117.145027961757	7.14973523572278	136.097182788365	8.11978040803035	123.481702373296	11.0658504866617	0.282478897626043	0.382155737645472	0.554457571878783										1	2.0	
