recno	ID	RAJ2000	DEJ2000	Dist	Vsys	PA	i	fCO	Rbar/Rco	Rco/R25	Nobs
1	"IC1954  "	52.87971	-51.90486	15.2	1062.9	61.0	57.7	0.46	0.09	0.84	35
2	"IC5273  "	344.86118	-37.70284	14.7	1293.9	229.0	44.3	0.27	0.22	0.97	33
3	"NGC0628 "	24.17385	15.78364	9.8	658.5	0.1	28.9	0.29	0.0	0.55	43
4	"NGC0685 "	26.92845	-52.76198	16.0	1359.7	99.2	38.6	0.21	0.25	0.87	30
5	"NGC1087 "	41.60492	-0.49872	14.4	1522.7	1.4	51.4	0.36	0.2	0.94	33
6	"NGC1097 "	41.57896	-30.27467	14.2	1269.4	126.5	48.6	0.25	0.52	0.57	68
7	"NGC1300 "	49.92081	-19.41111	26.1	1578.2	286.1	31.8	0.1	0.68	0.67	42
8	"NGC1317 "	50.68454	-37.10379	19.0	1948.5	200.3	35.0	0.48	0.19	0.35	17
9	"NGC1365 "	53.40152	-36.1404	18.1	1638.3	210.7	55.4	0.14	0.52	0.49	24
10	"NGC1385 "	54.36901	-24.50116	22.7	1497.3	172.3	49.7	0.34	0.0	0.72	49
11	"NGC1433 "	55.50619	-47.22194	16.8	1075.3	204.3	28.6	0.09	0.05	0.75	24
12	"NGC1511 "	59.90246	-67.63392	15.6	1334.9	304.0	71.1	0.31	0.2	0.95	28
13	"NGC1512 "	60.97557	-43.34872	16.8	897.7	254.5	42.5	0.12	0.62	0.45	26
14	"NGC1546 "	63.65122	-56.0609	18.0	1252.9	147.4	67.4	0.46	0.0	0.72	26
15	"NGC1559 "	64.40238	-62.78341	19.8	1295.3	245.1	54.0	0.31	0.09	1.0	43
16	"NGC1566 "	65.00159	-54.93801	18.0	1501.8	200.9	30.4	0.26	0.27	0.61	64
17	"NGC1672 "	71.42704	-59.24726	11.9	1338.8	148.5	23.7	0.19	0.48	0.83	31
18	"NGC1792 "	76.30969	-37.98056	12.8	1210.6	316.1	60.7	0.34	0.0	0.81	48
19	"NGC1809 "	75.52066	-69.56794	15.0	1300.6	144.8	80.5	0.1	0.0	0.57	11
20	"NGC2090 "	86.75787	-34.2506	11.8	922.1	196.5	71.7	0.44	0.0	0.53	25
21	"NGC2283 "	101.46997	-18.2108	10.4	840.8	0.1	44.2	0.18	0.14	1.05	22
22	"NGC2566 "	124.69003	-25.49952	23.7	1637.9	235.6	48.5	0.15	0.46	1.02	24
23	"NGC2775 "	137.58396	7.03807	17.0	1354.1	163.5	34.2	0.3	0.0	0.58	18
24	"NGC2835 "	139.47044	-22.35468	10.1	886.5	0.3	56.4	0.07	0.23	0.48	18
25	"NGC2903 "	143.04212	21.50084	8.5	555.3	199.6	63.5	0.28	0.25	0.75	38
26	"NGC2997 "	146.41164	-31.19109	11.3	1086.9	96.6	54.3	0.42	0.06	0.62	59
27	"NGC3059 "	147.534	-73.92219	19.8	1258.0	-5.0	21.2	0.3	0.22	0.77	45
28	"NGC3137 "	152.28116	-29.0643	14.9	1106.3	3.9	47.2	0.3	0.0	0.53	33
29	"NGC3351 "	160.99064	11.70367	10.0	778.0	188.4	45.1	0.25	0.41	0.58	19
30	"NGC3507 "	165.85573	18.13552	20.9	975.6	80.1	27.5	0.27	0.34	0.85	41
31	"NGC3511 "	165.84921	-23.08671	9.9	1105.4	258.4	72.1	0.3	0.11	0.94	37
32	"NGC3521 "	166.4524	-0.03595	11.2	800.9	342.3	66.2	0.44	0.0	0.89	60
33	"NGC3596 "	168.77581	14.78707	10.1	1192.4	108.2	16.9	0.27	0.0	0.66	18
34	"NGC3621 "	169.56792	-32.8126	6.6	730.1	341.2	67.5	0.34	0.0	0.83	32
35	"NGC3626 "	170.01588	18.35684	20.0	1479.5	163.2	46.6	0.4	0.88	0.26	12
36	"NGC3627 "	170.06252	12.9915	10.6	720.9	166.2	55.7	0.4	0.37	0.58	53
37	"NGC4207 "	183.87681	9.58493	16.8	608.6	121.3	70.5	0.27	0.0	0.89	16
38	"NGC4254 "	184.7068	14.41641	16.8	2407.9	76.6	36.2	0.33	0.0	1.13	78
39	"NGC4293 "	185.30346	18.38257	16.0	901.6	64.0	65.0	0.16	1.32	0.32	18
40	"NGC4298 "	185.38651	14.60611	16.8	1128.4	311.1	56.4	0.55	0.0	1.21	46
41	"NGC4303 "	185.47888	4.47374	17.6	1566.9	323.6	24.2	0.56	0.36	0.49	43
42	"NGC4321 "	185.72886	15.8223	15.2	1573.9	158.2	33.2	0.3	0.04	1.03	57
