recno	ID	Rad	VRot	E_VRot	e_VRot
1	"IC1954  "	0.125	7.424	4.9608	8.9393
2	"IC1954  "	0.275	41.3497	2.8063	7.5237
3	"IC1954  "	0.425	62.9111	3.0384	3.253
4	"IC1954  "	0.575	74.9463	3.2241	5.0359
5	"IC1954  "	0.725	79.9845	2.4903	3.7464
6	"IC1954  "	0.875	79.6802	2.2632	1.58
7	"IC1954  "	1.025	80.3314	2.2699	3.1084
8	"IC1954  "	1.175	80.4898	3.3932	2.3243
9	"IC1954  "	1.325	80.7291	2.1158	0.9244
10	"IC1954  "	1.475	86.6917	1.8269	1.4083
11	"IC1954  "	1.625	94.8541	1.4266	1.0067
12	"IC1954  "	1.775	102.816	1.1389	1.6916
13	"IC1954  "	1.925	108.521	2.0098	1.537
14	"IC1954  "	2.075	109.703	0.7132	0.4706
15	"IC1954  "	2.225	111.637	1.0392	1.9488
16	"IC1954  "	2.375	112.343	1.5754	1.7062
17	"IC1954  "	2.525	111.36	0.8383	1.7382
18	"IC1954  "	2.675	111.219	0.4293	0.9202
19	"IC1954  "	2.825	112.575	1.1998	0.7997
20	"IC1954  "	2.975	113.31	2.5166	1.2101
21	"IC1954  "	3.125	113.592	1.5509	1.1772
22	"IC1954  "	3.275	114.689	0.7713	0.6573
23	"IC1954  "	3.425	115.007	0.8517	0.879
24	"IC1954  "	3.575	118.595	1.2132	1.1953
25	"IC1954  "	3.725	121.21	0.9873	1.3232
26	"IC1954  "	3.875	123.037	1.0128	0.9849
27	"IC1954  "	4.025	125.108	0.8608	0.8766
28	"IC1954  "	4.175	125.948	0.851	1.2545
29	"IC1954  "	4.325	126.206	0.8852	0.8816
30	"IC1954  "	4.475	127.472	0.837	0.6033
31	"IC1954  "	4.625	128.888	1.0706	0.8083
32	"IC1954  "	4.775	130.643	0.9491	0.9942
33	"IC1954  "	4.925	132.058	1.7579	1.8526
34	"IC1954  "	5.075	131.954	4.709	2.6802
