#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:13 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/495/58/tablea1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74950058
#Name: J/MNRAS/495/58
#Title: Dwarf galaxy rotational velocities (Santos-Santos+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/mnras/495/58	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/495/58	    IVOID of underlying data collection
#INFO	creator=Santos-Santos I.M.E.	    First author or institution
#INFO	cites=bibcode:2020MNRAS.495...58S	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/495/58	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74950058	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_495_58_tablea1:
#Name: J/MNRAS/495/58/tablea1
#Title: Observational data used in this work
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Sample	(A2)	Sample the galaxy belongs to (1)	[ucd=meta.bib]
#Column	Vmax	(F6.2)	Maximum circular velocity	[ucd=phys.veloc]
#Column	Vbmax	(F6.2)	Baryonic contribution to Vmax	[ucd=phys.veloc]
#Column	Vfid	(F6.2)	Rotation velocity at the fiducial inner radius (r_fid_) (2)	[ucd=phys.veloc.rotat]
#Column	Vbfid	(F6.2)	Baryonic contribution to Vfid	[ucd=phys.veloc.rotat]
#Column	Mbar	(E9.2)	Total baryonic mass	[ucd=phys.mass]
#Column	rbhalf	(F5.2)	Half mass radius of the galaxy	[ucd=phys.size.radius]
#Column	M200	(E9.2)	Virial mass	[ucd=phys.mass]
#Column	SimbadName	(a15)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Sample	Vmax	Vbmax	Vfid	Vbfid	Mbar	rbhalf	M200	SimbadName	_RA	_DE
 	 	km/s	km/s	km/s	km/s	Msun	kpc	Msun	 	deg	deg
-----------	--	------	------	------	------	---------	-----	---------	---------------	---------	---------
CamB       	S 	 20.10	 13.85	  6.85	 10.08	 5.35e+07	 0.86	 1.23e+09	NAME Cam B     	073.27958	+67.09917
D512-2     	S 	 37.20	 16.34	 24.04	 11.80	 2.70e+08	 1.94	 8.50e+09	ESDO 512-02    	218.33465	+26.99804
D564-8     	S 	 25.00	  9.24	 11.17	  6.66	 5.51e+07	 1.50	 2.43e+09	ESDO 564-08    	135.72232	+20.07561
D631-7     	S 	 58.50	 24.51	 29.50	 23.54	 4.84e+08	 2.03	 3.55e+10	ESDO 631-07    	119.25428	+14.39657
DDO064     	S 	 46.90	 25.29	 36.67	 16.28	 3.59e+08	 1.86	 1.76e+10	DDO064         	147.59487	+31.48828
DDO154     	S 	 48.20	 18.73	 27.37	 13.90	 3.92e+08	 2.71	 1.92e+10	DDO154         	193.52187	+27.14963
DDO161     	S 	 67.50	 35.35	 32.14	 25.01	 2.11e+09	 5.59	 5.58e+10	DDO161         	195.81973	-17.42303
DDO168     	S 	 55.00	 25.90	 35.00	 23.08	 6.45e+08	 2.12	 2.92e+10	DDO168         	198.61666	+45.91976
ESO079-G014	S 	178.00	100.77	109.73	 64.21	 3.00e+10	 9.46	 1.21e+12	ESO079-G014    	015.71445	-65.60990
ESO116-G012	S 	112.00	 52.33	 83.47	 47.73	 3.59e+09	 4.07	 2.78e+11	ESO116-G012    	048.26977	-57.35725
ESO444-G084	S 	 63.10	 21.89	 52.73	 21.31	 2.15e+08	 1.38	 4.51e+10	ESO444-G084    	204.33500	-28.04417
ESO563-G021	S 	321.00	200.92	286.19	176.36	 1.88e+11	12.00	 7.95e+12	ESO563-G021    	131.82075	-20.03566
F565-V2    	S 	 83.10	 30.16	 38.28	 15.53	 1.21e+09	 6.13	 1.08e+11	VLSB F565-V02  	144.40250	+21.77083
F568-3     	S 	120.00	 52.15	 66.15	 29.09	 8.42e+09	10.60	 3.46e+11	LSB F568-3     	156.74583	+22.22667
F568-V1    	S 	118.00	 44.75	 91.59	 28.75	 5.23e+09	 9.82	 3.28e+11	VLSB F568-V01  	161.25860	+22.05432
F571-8     	S 	144.00	 81.10	 93.14	 70.96	 7.45e+09	 2.04	 6.18e+11	LSB F571-8     	173.47625	+19.35500
F574-1     	S 	 99.70	 46.48	 68.23	 29.70	 7.96e+09	 8.73	 1.92e+11	LSB F574-1     	189.55542	+22.29972
F583-1     	S 	 86.90	 41.35	 44.55	 13.55	 3.32e+09	10.70	 1.24e+11	LSB F583-1     	239.36451	+20.66642
F583-4     	S 	 69.90	 31.15	 43.05	 23.48	 1.71e+09	 4.12	 6.23e+10	LSB F583-4     	238.05000	+18.78500
