#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:24 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/816/L14/figure2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18169014
#Name: J/ApJ/816/L14
#Title: Tully-Fisher relation in disk galaxies from SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/816/l14	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/816/l14	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016ApJ...816L..14L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/816/L14	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18169014	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_816_L14_figure2:
#Name: J/ApJ/816/L14/figure2
#Title: *Data behind Figure 2
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Method flag on Dist (1)	[ucd=meta.code]
#Column	logMb	(F5.2)	[7.98/11.43] Log of the baryonic mass (M_b_) (2)	[ucd=phys.mass]
#Column	e_logMb	(F5.2)	[0.06/0.28] Mean error on logMb	[ucd=stat.error]
#Column	logVf	(F5.2)	[1.53/2.52] Log of rotation velocity (V_f_) (3)	[ucd=phys.veloc.rotat]
#Column	e_logVf	(F5.2)	[0.01/0.11] Mean error on logVf	[ucd=stat.error]
#Column	Fg	(F5.2)	[0.02/0.95] Gas fraction (f_g_=M_g_/M_b_) (4)	[ucd=phys.mass;arith.ratio]
#Column	SBeff	(F7.2)	[3.8/1659] Effective stellar surface brightness (4)	[ucd=phot.flux.sb]
#Column	Reff	(F5.2)	[0.32/13.61] Effective stellar radius	[ucd=phys.size.radius]
#Column	SPARC	(I3)	Number of data from SPARC (Spitzer Photometry and Accurate Rotation Curves) main paper (Lelli et al. 2016, Cat. J/AJ/152/157)	[ucd=meta.number]
#Column	L16	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD astronomical database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD astronomical database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Dist	e_Dist	f_Dist	logMb	e_logMb	logVf	e_logVf	Fg	SBeff	Reff	SPARC	L16	SimbadName	NEDname	_RA	_DE
 	 	Mpc	Mpc	 	[Msun]	[Msun]	[km/s]	[km/s]	 	Msun/pc2	kpc	 	 	 	 	deg	deg
--------	-----------	------	-----	-	-----	-----	-----	-----	-----	-------	-----	---	---	-------------	-------------	---------	---------
       1	D631-7     	  7.72	 0.39	2	 8.68	 0.06	 1.76	 0.02	 0.80	  10.46	 1.22	 17	  1	ESDO 631-7   	ESDO 631-7   	119.25428	+14.39657
       2	DDO154     	  4.04	 0.20	2	 8.59	 0.06	 1.67	 0.01	 0.93	   9.99	 0.65	 13	  1	DDO154       	DDO154       	193.52187	+27.14963
       3	DDO161     	  7.50	 2.25	1	 9.32	 0.26	 1.82	 0.03	 0.87	  10.37	 2.04	 32	  1	DDO161       	DDO161       	195.81973	-17.42303
       4	DDO168     	  4.25	 0.21	2	 8.81	 0.06	 1.73	 0.03	 0.85	   9.12	 1.29	 11	  1	DDO168       	DDO168       	198.61666	+45.91976
       5	DDO170     	 15.40	 4.62	1	 9.10	 0.26	 1.78	 0.03	 0.78	   4.70	 3.03	  9	  1	DDO170       	DDO170       	198.97408	+25.43615
       6	ESO079-G014	 28.70	 7.17	1	10.47	 0.24	 2.24	 0.01	 0.14	  80.87	 7.08	 16	  1	ESO079-G014  	ESO079-G014  	015.71436	-65.60999
       7	ESO116-G012	 13.00	 3.90	1	 9.55	 0.27	 2.04	 0.01	 0.41	  51.02	 2.55	 16	  1	ESO116-G012  	ESO116-G012  	048.26977	-57.35725
       8	ESO563-G021	 60.80	 9.10	1	11.27	 0.16	 2.50	 0.02	 0.17	 214.69	10.59	 31	  1	ESO563-G021  	ESO563-G021  	131.82075	-20.03566
       9	F568-V1    	 80.60	 8.06	1	 9.72	 0.10	 2.05	 0.11	 0.63	  15.70	 4.40	 16	  1	VLSB F568-V01	VLSB F568-V01	161.25860	+22.05432
      10	F571-8     	 53.30	10.70	1	 9.87	 0.19	 2.15	 0.01	 0.32	 412.86	 1.40	 14	  1	LSB F571-8   	LSB F571-8   	173.47625	+19.35500
      11	F574-1     	 96.80	 9.68	1	 9.90	 0.10	 1.99	 0.04	 0.59	  14.99	 5.87	 15	  1	LSB F574-1   	LSB F574-1   	189.55542	+22.29972
      12	F583-1     	 35.40	 8.85	1	 9.52	 0.22	 1.93	 0.03	 0.85	   5.59	 3.74	 26	  1	LSB F583-1   	LSB F583-1   	239.36451	+20.66642
      13	IC2574     	  3.91	 0.20	2	 9.28	 0.06	 1.82	 0.02	 0.73	   7.94	 3.18	 35	  1	IC2574       	IC2574       	157.09784	+68.41214
      14	IC4202     	100.40	10.00	1	11.03	 0.13	 2.38	 0.02	 0.15	 195.79	 8.55	 33	  0	IC4202       	IC4202       	197.13159	+24.70083
      15	KK98-251   	  6.80	 2.04	1	 8.29	 0.26	 1.53	 0.03	 0.78	   3.94	 1.28	 16	  1	[KK98a] 251  	[KK98a] 251  	307.63708	+60.35472
      16	NGC0024    	  7.30	 0.36	2	 9.45	 0.09	 2.03	 0.02	 0.32	  75.83	 2.01	 30	  1	NGC0024      	NGC0024      	002.48559	-24.96313
      17	NGC0055    	  2.11	 0.11	2	 9.64	 0.08	 1.93	 0.03	 0.47	  27.27	 3.67	 22	  1	NGC0055      	NGC0055      	003.72334	-39.19663
      18	NGC0247    	  3.70	 0.19	2	 9.78	 0.08	 2.02	 0.03	 0.39	  16.89	 5.87	 27	  1	NGC0247      	NGC0247      	011.78564	-20.76040
      19	NGC0289    	 20.80	 5.20	1	10.86	 0.22	 2.21	 0.04	 0.50	 793.97	 2.69	 29	  1	NGC0289      	NGC0289      	013.17652	-31.20583
