#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:55:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:55:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Nvel	(I3)	Number of velocities (table2)	[ucd=meta.number]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	e_i	(F4.1)	[1/10] Mean error on i	[ucd=stat.error]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	e_L3.6	(F7.3)	[0/6.2] Mean error on L3.6	[ucd=stat.error]
#Column	Reff	(F5.2)	[0/12.4] Effective radius (R_eff_) encompassing half of the total 3.6{mu}m luminosity	[ucd=phys.size.radius]
#Column	SBeff	(F8.2)	[5.3/3317.7] Effective 3.6{mu}m surface brightness ({Sigma}_eff_), i.e., the average surface brightness within R_eff_	[ucd=phot.mag.sb]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	RHI	(F5.2)	[0/74.3] HI radius (R_HI_) (4)	[ucd=phys.size.radius]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	e_Vflat	(F5.1)	[0/20.7] Mean error on Vflat	[ucd=stat.error]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Ref	(a14)	References for HI and H{alpha} data; in refs.dat file	[ucd=pos.frame]
#Column	L16a	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/816/L14)	[ucd=meta.number]
#Column	L16b	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (Cat. J/ApJ/827/L19)	[ucd=meta.number]
#Column	S4G	(I3)	Indicates an object from the Spitzer Survey for Stellar Structure in Galaxies (S4G; Sheth et al. 2010, Cat. J/PASP/122/1397)	[ucd=meta.number]
#Column	EDD	(I3)	Indicates an object from the Extragalactic Distance Database (EDD; Jacobs et al. 2009, Cat. J/PASP/138/332)	[ucd=meta.number]
#Column	RC	(A2)	Rotation Curve	[ucd=meta.ref.url]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Nvel	Type	Dist	e_Dist	f_Dist	i	e_i	L3.6	e_L3.6	Reff	SBeff	Rdisk	SBdisk	MHI	RHI	Vflat	e_Vflat	Qual	Ref	L16a	L16b	S4G	EDD	RC	SimbadName	NEDname	_RA	_DE
 	 	 	 	Mpc	Mpc	 	deg	deg	GLsun	GLsun	kpc	Lsun/pc2	kpc	Lsun/pc2	GMsun	kpc	km/s	km/s	 	 	 	 	 	 	 	 	 	deg	deg
--------	-----------	---	--	------	-----	-	----	----	-------	-------	-----	--------	-----	--------	-------	-----	-----	-----	---	--------------	---	---	---	---	--	-------------	-------------	---------	---------
       1	CamB       	  9	10	  3.36	 0.26	2	65.0	 5.0	  0.075	  0.003	 1.21	    7.89	 0.47	   66.20	  0.012	 1.21	  0.0	  0.0	  2	Bm03          	  0	  1	  0	  1	RC	NAME Cam B   	NAME Cam B   	073.27958	+67.09917
       2	D512-2     	  4	10	 15.20	 4.56	1	56.0	10.0	  0.325	  0.022	 2.37	    9.22	 1.24	   93.94	  0.081	 0.00	  0.0	  0.0	  2	Tr09          	  0	  1	  0	  0	RC	ESDO 512-02  	ESDO 512-02  	218.33465	+26.99804
       3	D564-8     	  6	10	  8.79	 0.28	2	63.0	 7.0	  0.033	  0.004	 0.72	   10.11	 0.61	   21.13	  0.029	 0.00	  0.0	  0.0	  2	Tr09          	  0	  1	  0	  0	RC	ESDO 564-8   	ESDO 564-8   	135.72232	+20.07561
       4	D631-7     	 16	10	  7.72	 0.18	2	59.0	 3.0	  0.196	  0.009	 1.22	   20.93	 0.70	  115.04	  0.290	 0.00	 57.7	  2.7	  1	Tr09,dB01     	  1	  1	  0	  0	RC	ESDO 631-7   	ESDO 631-7   	119.25428	+14.39657
       5	DDO064     	 14	10	  6.80	 2.04	1	60.0	 5.0	  0.157	  0.007	 1.20	   17.41	 0.69	  151.65	  0.211	 3.49	 46.1	  3.9	  1	dB02,Sw02     	  0	  1	  0	  0	RC	DDO064       	DDO064       	147.59487	+31.48828
       6	DDO154     	 12	10	  4.04	 0.20	2	64.0	 3.0	  0.053	  0.002	 0.65	   19.99	 0.37	   71.26	  0.275	 4.96	 47.0	  1.0	  2	Be91,CB89     	  1	  1	  0	  0	RC	DDO154       	DDO154       	193.52187	+27.14963
       7	DDO161     	 31	10	  7.50	 2.25	1	70.0	10.0	  0.548	  0.015	 2.04	   20.74	 1.22	  169.37	  1.378	10.69	 66.3	  1.9	  1	Co00          	  1	  1	  0	  0	RC	DDO161       	DDO161       	195.81973	-17.42303
       8	DDO168     	 10	10	  4.25	 0.21	2	63.0	 6.0	  0.191	  0.005	 1.29	   18.23	 1.02	   92.22	  0.413	 4.30	 53.4	  1.9	  2	Sa96,Br92     	  1	  1	  0	  1	RC	DDO168       	DDO168       	198.61666	+45.91976
       9	DDO170     	  8	10	 15.40	 4.62	1	66.0	 7.0	  0.543	  0.030	 3.03	    9.39	 1.95	   73.93	  0.735	 9.14	 60.0	  1.6	  2	Be91,La90     	  1	  1	  0	  0	RC	DDO170       	DDO170       	198.97408	+25.43615
      10	ESO079-G014	 15	 4	 28.70	 7.17	1	79.0	 5.0	 51.733	  0.524	 7.23	  157.34	 5.08	 2295.25	  3.140	17.67	175.0	  3.5	  1	Ge04          	  1	  1	  0	  0	RC	ESO079-G014  	ESO079-G014  	015.71436	-65.60999
      11	ESO116-G012	 15	 7	 13.00	 3.90	1	74.0	 3.0	  4.292	  0.071	 2.75	   90.54	 1.51	 1320.78	  1.083	 9.58	109.1	  3.1	  1	Ge04          	  1	  1	  0	  0	RC	ESO116-G012  	ESO116-G012  	048.26977	-57.35725
      12	ESO444-G084	  7	10	  4.83	 0.48	2	32.0	 6.0	  0.071	  0.003	 0.75	   19.81	 0.46	   66.81	  0.135	 2.95	  0.0	  0.0	  2	Co00          	  0	  1	  0	  0	RC	ESO444-G084  	ESO444-G084  	204.33500	-28.04417
      13	ESO563-G021	 30	 4	 60.80	 9.10	1	83.0	 3.0	311.177	  2.579	10.59	  429.37	 5.45	 6558.89	 24.298	55.71	314.6	 11.7	  1	SG06          	  1	  1	  0	  0	RC	ESO563-G021  	ESO563-G021  	131.82075	-20.03566
      14	F561-1     	  6	 9	 66.40	10.00	1	24.0	10.0	  4.077	  0.327	 5.39	   22.12	 2.79	   93.07	  1.622	10.69	 50.0	  2.9	  3	dB97,dB96     	  0	  0	  0	  0	RC	LSB F561-1   	LSB F561-1   	122.38583	+22.55944
      15	F563-1     	 17	 9	 48.90	 9.80	1	25.0	 5.0	  1.903	  0.170	 4.61	   14.22	 3.52	   41.77	  3.200	23.47	109.9	 12.5	  1	KN08,dB96     	  0	  0	  0	  0	RC	LSB F563-1   	LSB F563-1   	133.75583	+19.75167
      16	F563-V1    	  6	10	 54.00	10.80	1	60.0	10.0	  1.540	  0.165	 5.01	    9.75	 3.79	   40.63	  0.610	 6.83	  0.0	  0.0	  3	dB97,dB96     	  0	  0	  0	  0	RC	VLSB F563-V01	VLSB F563-V01	131.65750	+18.89028
      17	F563-V2    	 10	10	 59.70	11.90	1	29.0	10.0	  2.986	  0.267	 4.49	   23.60	 2.43	  146.16	  2.169	11.37	116.6	  9.4	  1	dB01,dB96     	  0	  0	  0	  0	RC	VLSB F563-V02	VLSB F563-V02	133.25833	+18.43833
