#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:51:30 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:51:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/136/2563/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51362563
#Name: J/AJ/136/2563
#Title: HI Nearby Galaxy Survey, THINGS (Walter+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	creator=Walter F.	    First author or institution
#INFO	cites=bibcode:2008AJ....136.2563W	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/136/2563	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51362563	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_136_2563_table1:
#Name: J/AJ/136/2563/table1
#Title: Properties of THINGS sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sp	(A2)	Plot of HI profile	[ucd=meta.ref.url]
#Column	Name	(A8)	Galaxy name	[ucd=meta.id;meta.main]
#Column	AName	(a15)	Alternative names	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	s	(A3)	Source for position, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Dist	(F4.1)	Distance	[ucd=pos.distance;pos.galactocentric]
#Column	r_Dist	(A5)	Reference for Dist, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logD25	(F5.2)	Optical size (1)	[ucd=phys.angSize;em.opt]
#Column	n_logD25	(A1)	[*] Holmberg diameter for M81 dwA	[ucd=meta.note]
#Column	Bmag	(F5.2)	Apparent blue magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	BMAG	(F6.2)	Absolute B magnitude derived from Bmag and Dist	[ucd=phys.magAbs;em.opt.B]
#Column	i	(I2)	Inclination	[ucd=src.orbital.inclination]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	r_PA	(A4)	Reference for PA and Incl, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Metal	(F5.2)	? Metallicity, 12+log(O/H)	[ucd=phys.abund.Z]
#Column	r_Metal	(A3)	Reference for metallicity, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	SFR	(F6.3)	? Star formation rate (4)	[ucd=phys.SFR]
#Column	r_SFR	(A3)	Reference for SFR, in refs.dat file	[ucd=meta.ref;phys.SFR]
#Column	TT	(I2)	Morphological type from LEDA	[ucd=src.morph.type]
#Column	Note	(A1)	[WB] WHISP or Braun target (5)	[ucd=meta.note]
#Column	SimbadName	(a12)	Simbad column added by the CDS	[ucd=meta.id]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Sp	Name	AName	RAJ2000	DEJ2000	s	Dist	r_Dist	logD25	n_logD25	Bmag	BMAG	i	PA	r_PA	Metal	r_Metal	SFR	r_SFR	TT	Note	SimbadName	LEDA
 	 	 	 	"h:m:s"	"d:m:s"	 	Mpc	 	[0.1arcmin]	 	mag	mag	deg	deg	 	[-]	 	Msun/yr	 	 	 	 	
--------	--	--------	---------------	----------	---------	---	----	-----	-----	-	-----	------	--	---	----	-----	---	------	---	--	-	------------	----
       1	Sp	NGC 628 	M 74, UGC 1149 	01 36 41.8	+15 47 00	NED	 7.3	K04  	 1.99	 	 9.35	-19.97	 7	 20	T08 	 8.33	M06	 1.210	L06	 5	 	NGC 628     	LEDA
       2	Sp	NGC 925 	UGC 1913       	02 27 16.5	+33 34 44	T08	 9.2	F01  	 2.03	 	 9.77	-20.04	66	287	dB08	 8.24	M06	 1.090	L06	 7	 	NGC 925     	LEDA
       3	Sp	NGC 1569	UGC 3056       	04 30 49.0	+64 50 53	NED	 2.0	K04  	 1.60	 	 8.33	-18.12	63	112	M05 	 8.16	S89	 0.060	K98	10	 	NGC 1569    	LEDA
       4	Sp	NGC 2366	UGC 2366       	07 28 53.4	+69 12 51	O08	 3.4	H01  	 1.64	 	10.51	-17.17	64	 40	O08 	 7.96	S89	      	   	10	B	NGC 2366    	LEDA
       5	Sp	NGC 2403	UGC 3918       	07 36 51.1	+65 36 03	T08	 3.2	F01  	 2.20	 	 8.11	-19.43	63	124	dB08	 8.31	M06	 0.850	L06	 6	B	NGC 2403    	LEDA
       6	Sp	Ho II   	UGC 4305       	08 19 05.0	+70 43 12	NED	 3.4	K04  	 1.82	 	10.78	-16.87	41	177	P92 	 7.68	M06	 0.070	L06	10	W	Holmberg II 	LEDA
       7	Sp	M81 DwA 	               	08 23 56.0	+71 01 45	NED	 3.6	K04  	 1.10	*	16.26	-11.49	23	 49	B06 	     	   	      	   	10	 	Name M81 dwA	LEDA
       8	Sp	DDO  53 	UGC 4459       	08 34 07.2	+66 10 54	NED	 3.6	K04  	 0.89	 	14.31	-13.45	31	132	B06 	 7.77	M06	 0.008	L06	10	 	DDO  53     	LEDA
       9	Sp	NGC 2841	UGC 4966       	09 22 02.6	+50 58 35	T08	14.1	M01  	 1.84	 	 9.54	-21.21	74	153	dB08	 8.52	M06	 0.200	K03	 3	 	NGC 2841    	LEDA
      10	Sp	NGC 2903	UGC 5079       	09 32 10.1	+21 30 04	T08	 8.9	D00  	 2.07	 	 8.82	-20.93	65	204	dB08	 9.12	Z94	      	   	 4	W	NGC 2903    	LEDA
      11	Sp	Ho I    	UGC 5139       	09 40 32.3	+71 10 56	NED	 3.8	K04  	 1.52	 	13.12	-14.80	12	 50	O01 	 7.54	M06	 0.006	L06	10	 	Holmberg I  	LEDA
      12	Sp	NGC 2976	UGC 5221       	09 47 15.3	+67 55 00	T08	 3.6	K02  	 1.86	 	 9.98	-17.78	65	335	dB08	 8.30	M06	 0.100	L06	 5	 	NGC 2976    	LEDA
      13	Sp	NGC 3031	M 81, UGC 5318 	09 55 33.1	+69 03 55	T08	 3.6	F01  	 2.33	 	 7.07	-20.73	59	330	dB08	 8.41	M06	 1.060	L06	 2	B	NGC 3031    	LEDA
      14	Sp	NGC 3077	UGC 5398       	10 03 19.1	+68 44 02	NED	 3.8	K04  	 1.73	 	10.16	-17.75	46	 45	LEDA	 8.64	S94	 0.090	K98	10	 	NGC 3077    	LEDA
      15	Sp	M81 DwB 	UGC 5423       	10 05 30.6	+70 21 52	NED	 5.3	K04  	 1.05	 	14.39	-14.23	44	321	LEDA	 7.85	M06	 0.005	L06	10	 	Name M81 dwB	LEDA
      16	Sp	NGC 3184	UGC 5557       	10 18 17.0	+41 25 28	NED	11.1	L02  	 1.87	 	10.31	-19.92	16	179	T08 	 8.48	M06	 1.430	L06	 6	W	NGC 3184    	LEDA
