#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:41 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/136/2563/table4&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51362563
#Name: J/AJ/136/2563
#Title: HI Nearby Galaxy Survey, THINGS (Walter+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/136/2563	    IVOID of underlying data collection
#INFO	creator=Walter F.	    First author or institution
#INFO	cites=bibcode:2008AJ....136.2563W	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/136/2563	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51362563	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_136_2563_table4:
#Name: J/AJ/136/2563/table4
#Title: HI spectra based on the blanked natural weighted cubes
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A8)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Vel	(F9.3)	Velocity	[ucd=spect.dopplerVeloc]
#Column	SHI	(E11.4)	? HI flux density	[ucd=phot.flux.density;em.radio.750-1500MHz]
recno	Name	Vel	SHI
 	 	km/s	Jy
--------	--------	---------	-----------
       1	DDO 154 	  447.300	
       2	DDO 154 	  444.800	
       3	DDO 154 	  442.200	
       4	DDO 154 	  439.600	 5.6403e-03
       5	DDO 154 	  437.000	 1.9650e-02
       6	DDO 154 	  434.400	 4.3424e-02
       7	DDO 154 	  431.800	 7.9204e-02
       8	DDO 154 	  429.300	 1.4399e-01
       9	DDO 154 	  426.700	 2.0844e-01
      10	DDO 154 	  424.100	 3.1795e-01
      11	DDO 154 	  421.500	 4.2436e-01
      12	DDO 154 	  418.900	 5.4030e-01
      13	DDO 154 	  416.300	 6.5007e-01
      14	DDO 154 	  413.800	 7.6784e-01
      15	DDO 154 	  411.200	 8.4623e-01
      16	DDO 154 	  408.600	 8.8979e-01
      17	DDO 154 	  406.000	 8.8509e-01
      18	DDO 154 	  403.400	 8.8679e-01
      19	DDO 154 	  400.800	 8.5185e-01
      20	DDO 154 	  398.200	 8.6206e-01
      21	DDO 154 	  395.700	 8.4211e-01
      22	DDO 154 	  393.100	 7.8890e-01
      23	DDO 154 	  390.500	 7.8674e-01
      24	DDO 154 	  387.900	 7.9949e-01
      25	DDO 154 	  385.300	 7.9989e-01
      26	DDO 154 	  382.700	 7.9829e-01
      27	DDO 154 	  380.200	 8.1060e-01
      28	DDO 154 	  377.600	 8.0207e-01
      29	DDO 154 	  375.000	 8.0643e-01
      30	DDO 154 	  372.400	 7.9841e-01
      31	DDO 154 	  369.800	 8.2647e-01
      32	DDO 154 	  367.300	 8.6300e-01
      33	DDO 154 	  364.700	 8.6542e-01
      34	DDO 154 	  362.100	 8.9821e-01
      35	DDO 154 	  359.500	 9.0919e-01
      36	DDO 154 	  356.900	 9.2215e-01
      37	DDO 154 	  354.300	 9.4019e-01
      38	DDO 154 	  351.800	 9.6187e-01
      39	DDO 154 	  349.200	 9.9088e-01
      40	DDO 154 	  346.600	 9.9758e-01
      41	DDO 154 	  344.000	 9.7635e-01
