recno	Rd	Name	f_Name	RAJ2000	DEJ2000	Vel	Inc	PA	n_Name	S/N	Diamb	rms	Vlsr	Delv	l_Sco	Sco	e_Sco	l_logLCO	logLCO	e_logLCO	l_TCO	TCO	e_TCO	l_logMmol	logMmol	e_logMmol
1	*	"IC3392 "	"a  "	187.18	14.9993	1678	67.5	219.0	 	28.3	8.4	134	1690	206	 	259.0	9	 	7.63	0.02	 	1.87	0.07	 	8.37	0.02
2	 	"IC3418 "	"a  "	187.431	11.4022	38	61.6	232.6	a		8.1	101			<	30.29		<	6.7		<	11.44		<	7.44	
3	*	"NGC4064"	"   "	181.047	18.4442	1000	69.6	150.1	 	23.3	9.0	32	954	225	 	285.0	12	 	7.67	0.02	 	2.48	0.11	 	8.41	0.02
4	*	"NGC4189"	"a  "	183.448	13.4263	1995	42.5	69.5	 	38.9	7.5	202	2133	289	 	545.0	14	 	7.95	0.01	 	1.59	0.04	 	8.69	0.01
5	*	"NGC4192"	"a  "	183.452	14.8992	-118	82.6	333.4	 	74.4	9.2	358	-143	518	 	1997.0	27	 	8.52	0.01	 	2.78	0.04	 	9.26	0.01
6	*	"NGC4216"	"a  "	183.976	13.1486	30	90.0	20.4	 	40.9	7.2	304	160	621	 	1009.0	25	 	8.22	0.01	 	1.37	0.03	 	8.96	0.01
7	*	"NGC4222"	"   "	184.094	13.307	225	90.0	237.5	 	12.5	8.4	26	230	255	 	128.0	10	 	7.33	0.03	 	0.58	0.05	 	8.06	0.03
8	*	"NGC4254"	"a,b"	184.707	14.4182	2453	38.8	242.9	 	185.0	8.6	331	2447	320	 	8369.0	45	 	9.14	0.0	 	4.64	0.03	 	9.88	0.0
9	*	"NGC4293"	"a,b"	185.306	18.3842	717	67.4	239.3	 	48.8	7.6	328	936	297	 	810.0	17	 	8.13	0.01	 	3.8	0.08	 	8.86	0.01
10	*	"NGC4294"	"   "	185.324	11.5109	421	73.8	150.5	 	6.4	8.2	29	376	173	 	62.0	10	 	7.01	0.07	 	0.37	0.06	 	7.75	0.07
11	*	"NGC4298"	"a,b"	185.388	14.6055	1122	52.3	132.3	 	82.7	7.5	191	1140	278	 	1336.0	16	 	8.35	0.01	 	2.5	0.03	 	9.08	0.01
12	*	"NGC4299"	"a  "	185.42	11.5017	209	13.6	128.1	 	5.2	8.3	117	239	112	 	42.0	8	 	6.84	0.08	 	0.19	0.04	 	7.58	0.08
13	*	"NGC4302"	"a  "	185.426	14.5992	1111	90.0	356.0	 	67.2	7.7	313	1158	410	 	1375.0	20	 	8.36	0.01	 	3.39	0.05	 	9.09	0.01
14	*	"NGC4321"	"a,b"	185.728	15.8259	1579	32.2	280.0	 	187.9	10.2	433	1590	279	 	7635.0	41	 	9.1	0.0	 	3.45	0.02	 	9.84	0.0
15	*	"NGC4330"	"   "	185.821	11.3678	1567	90.0	238.1	 	16.4	7.7	32	1566	298	 	241.0	15	 	7.6	0.03	 	1.19	0.07	 	8.34	0.03
16	*	"NGC4351"	"a  "	186.005	12.2042	2388	47.7	250.9	 	11.8	8.5	149	2324	124	 	79.0	7	 	7.11	0.04	 	0.37	0.03	 	7.85	0.04
17	*	"NGC4380"	"   "	186.342	10.0167	935	60.6	157.9	 	35.3	7.5	249	990	307	 	432.0	12	 	7.86	0.01	 	0.9	0.03	 	8.59	0.01
18	*	"NGC4383"	"   "	186.356	16.4699	1663	55.8	17.5	 	22.9	8.1	184	1715	206	 	263.0	11	 	7.64	0.02	 	1.26	0.05	 	8.37	0.02
19	*	"NGC4388"	"   "	186.444	12.6629	2538	82.7	270.7	 	49.3	8.1	25	2501	486	 	859.0	17	 	8.15	0.01	 	2.86	0.06	 	8.89	0.01
20	*	"NGC4394"	"   "	186.482	18.2145	772	31.9	311.8	 	12.0	8.7	24	929	215	 	105.0	9	 	7.24	0.04	 	0.44	0.04	 	7.98	0.04
21	*	"NGC4396"	"a  "	186.499	15.6695	-115	82.8	304.2	 	10.0	7.8	217	-119	193	 	124.0	12	 	7.32	0.04	 	0.61	0.06	 	8.05	0.04
22	*	"NGC4402"	"b  "	186.531	13.1125	190	80.2	269.8	 	83.1	7.6	30	248	357	 	1402.0	17	 	8.37	0.01	 	5.0	0.06	 	9.1	0.01
23	*	"NGC4405"	"   "	186.53	16.181	1751	46.1	18.1	 	18.3	7.7	33	1752	175	 	206.0	11	 	7.53	0.02	 	1.99	0.11	 	8.27	0.02
