recno	Galaxy	RAJ2000	DEJ2000	i	PA	logSFR	logM*	defHIM*	E_defHIM*	e_defHIM*
1	"IC3392 "	187.17916666666665	14.999166666666664	68	219	1.3	9.51	1.5	0.02	0.02
2	"NGC4064"	181.04583333333332	18.444166666666664	70	150	1.07	9.47	1.5	0.01	0.02
3	"NGC4189"	183.4458333333333	13.426388888888887	42	70	0.33	9.75	0.63	0.07	0.03
4	"NGC4254"	184.70833333333331	14.418333333333331	39	243	0.7	10.52	-0.03	0.02	0.06
5	"NGC4293"	185.30416666666665	18.384166666666665	67	239	0.27	10.5	2.16	0.02	0.09
6	"NGC4294"	185.32499999999996	11.510833333333332	74	151	0.39	9.38	0.18	0.02	0.12
7	"NGC4298"	185.38749999999996	14.605555555555554	52	132	0.26	10.11	0.68	0.06	0.16
8	"NGC4299"	185.42083333333332	11.501666666666665	14	128	0.34	9.06	-0.72	0.53	0.3
9	"NGC4321"	185.72916666666663	15.825833333333332	32	280	0.54	10.71	0.36	0.03	0.01
10	"NGC4351"	186.00416666666663	12.204166666666666	48	251	0.91	9.37	0.55	0.02	0.13
11	"NGC4380"	186.34166666666664	10.016666666666666	61	158	0.77	10.11	1.27	0.06	0.16
12	"NGC4383"	186.35416666666663	16.47	56	17	0.01	9.44	-0.39	0.01	0.05
13	"NGC4394"	186.48333333333332	18.214444444444442	32	312	0.79	10.34	0.9	0.06	0.0
14	"NGC4405"	186.52916666666664	16.181111111111107	46	18	0.88	9.75	1.73	0.07	0.03
15	"NGC4419"	186.73333333333332	15.047499999999998	74	131	0.12	10.06	1.65	0.11	0.13
16	"NGC4424"	186.79999999999998	9.420555555555554	61	274	0.52	9.89	1.14	0.07	0.07
17	"NGC4450"	187.1208333333333	17.08472222222222	51	170	0.55	10.7	1.35	0.03	0.0
18	"NGC4457"	187.2458333333333	3.570555555555555	37	256	0.49	10.42	1.29	0.06	0.04
19	"NGC4501"	187.9958333333333	14.41972222222222	65	320	0.43	11.0	0.8	0.03	0.02
20	"NGC4532"	188.57916666666665	6.468333333333333	64	159	0.16	9.25	-0.25	0.12	0.05
21	"NGC4535"	188.58333333333331	8.198333333333332	48	12	0.31	10.49	0.07	0.02	0.1
22	"NGC4536"	188.61249999999998	2.1877777777777774	74	118	0.47	10.19	-0.26	0.02	0.08
23	"NGC4548"	188.86249999999998	14.495555555555553	37	318	0.28	10.65	0.96	0.02	0.02
24	"NGC4561"	189.0333333333333	19.322777777777777	28	60	0.64	9.09	-0.64	0.41	0.46
25	"NGC4567"	189.13749999999996	11.258055555555554	49	251	0.03	10.25	-0.27	0.0	0.04
26	"NGC4568"	189.14166666666665	11.239444444444443	70	211	0.29	10.47	0.4	0.01	0.09
27	"NGC4569"	189.20833333333331	13.165277777777776	69	203	0.16	10.86	1.12	0.03	0.04
28	"NGC4579"	189.42916666666665	11.818333333333332	40	273	0.08	10.92	1.2	0.02	0.04
29	"NGC4580"	189.44999999999996	5.368333333333332	46	337	0.9	9.94	1.99	0.11	0.07
30	"NGC4606"	190.24166666666665	11.912222222222221	69	38	1.33	9.61	1.86	0.01	0.02
31	"NGC4651"	190.92916666666665	16.39388888888889	53	75	0.1	10.31	0.09	0.03	0.0
32	"NGC4654"	190.98749999999998	13.12583333333333	61	300	0.31	10.26	-0.01	0.0	0.03
33	"NGC4694"	192.06249999999997	10.98361111111111	62	323	0.85	9.94	1.03	0.11	0.07
34	"NGC4698"	192.0958333333333	8.487499999999999	66	347	0.83	10.49	0.37	0.02	0.1
35	"NGC4713"	192.49166666666665	5.31111111111111	45	89	0.2	9.31	-0.42	0.1	0.0
36	"NGC4772"	193.3708333333333	2.168333333333333	60	325	1.08	10.18	0.48	0.02	0.09
37	"NGC4808"	193.95416666666665	4.304166666666666	72	127	0.19	9.63	-0.27	0.01	0.03
