id	catalogue_id	name	ra	dec	freq	team_release	team_release_kin	vsys_model	e_vsys_model	x_model	e_x_model	y_model	e_y_model	ra_model	e_ra_model	dec_model	e_dec_model	inc_model	e_inc_model	pa_model	e_pa_model	pa_model_g	e_pa_model_g	qflag_model	rad	vrot_model	e_vrot_model	e_vrot_model_inc	rad_sd	sd_model	e_sd_model	sd_fo_model	e_sd_fo_model_inc
1	5844	WALLABY J122708+055255	186.786881240741	5.8820870825730704	1.41515072668657E9	NGC4636 TR1	NGC4636 Kin TR1	1114.5	2.5	21.292	0.3205	27.222	0.0299	186.786343	5.38E-4	5.882283	4.8E-5	78.1	11.5	194.6	5.8	194.4	5.8	1	7.5,22.55,37.59,52.64,67.68,82.73,97.78	21.5,46.5,63.6,75.7,81.0,79.6,46.4	4.9,2.4,1.3,3.3,5.6,7.8,35.2	0.9,2.0,2.8,3.3,3.6,3.5,2.0	7.5,22.55,37.59,52.64,67.68,82.73,97.78	24.7,23.86,21.95,18.31,14.18,9.85,6.28	0.73,1.78,3.08,4.26,3.9,4.33,3.98	5.093,4.919,4.527,3.776,2.923,2.032,1.294	4.832,4.667,4.295,3.582,2.773,1.928,1.228
2	5844	WALLABY J122710+071549	186.795255064477	7.26386914596215	1.41601748310127E9	NGC4636 TR1	NGC4636 Kin TR1	925.2	1.3	38.123	0.1991	37.349	0.4202	186.795438	3.38E-4	7.262864	6.99E-4	37.8	9.8	143.2	0.3	142.9	0.3	0	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87	83.6,114.1,97.6,95.6,101.1,106.0,109.9,113.0,115.9	26.6,31.7,4.9,1.2,0.7,0.0,0.1,2.1,6.6	19.9,27.2,23.2,22.8,24.1,25.2,26.2,26.9,27.6	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87,142.92,157.96,173.01	6.47,5.64,5.36,6.18,6.54,5.95,4.94,3.6,1.99,1.19,0.71,0.18	0.59,0.7,0.61,0.74,0.7,0.53,0.47,0.42,0.32,0.25,0.19,0.09	5.107,4.452,4.232,4.878,5.163,4.7,3.898,2.845,1.573,0.938,0.561,0.142	0.676,0.59,0.56,0.646,0.684,0.622,0.516,0.377,0.208,0.124,0.074,0.019
3	5844	WALLABY J122726+061551	186.85974596815	6.26417982396419	1.41357913803846E9	NGC4636 TR1	NGC4636 Kin TR1	1447.2	1.4	24.57	0.2005	21.516	0.4501	186.859777	3.4E-4	6.263072	7.49E-4	41.2	3.3	80.5	1.9	80.3	1.9	0	22.5,37.55,52.59,67.64,82.68	80.1,90.7,97.2,96.0,78.8	2.5,1.7,2.3,0.8,16.4	5.4,6.1,6.5,6.4,5.3	22.5,37.55,52.59,67.64,82.68	4.32,5.26,4.46,2.7,1.09	1.05,0.99,0.67,0.52,0.42	3.251,3.957,3.361,2.034,0.823	0.165,0.201,0.171,0.103,0.042
4	5844	WALLABY J122733+061359	186.888002798772	6.23326818577916	1.39069851703096E9	NGC4636 TR1	NGC4636 Kin TR1	6402.0	1.1	24.833	0.0635	25.366	0.5258	186.887977	1.1E-4	6.234586	8.76E-4	31.0	4.8	30.0	3.3	29.7	3.3	0	7.5,22.55,37.59,52.64,67.68	99.3,123.2,139.6,144.5,139.3	6.1,4.4,5.3,4.4,0.8	14.1,17.5,19.9,20.6,19.8	7.5,22.55,37.59,52.64,67.68,82.73,97.78	5.64,4.31,3.29,2.15,0.84,0.3,0.04	0.59,0.78,0.73,0.52,0.43,0.22,0.05	4.831,3.697,2.817,1.842,0.717,0.253,0.031	0.242,0.186,0.141,0.092,0.036,0.013,0.002
5	5844	WALLABY J122852+041739	187.218610111251	4.29419801746214	1.40057896520651E9	NGC4636 TR1	NGC4636 Kin TR1	4232.4	1.3	26.849	0.4946	28.498	0.3251	187.219163	8.28E-4	4.294116	5.39E-4	82.8	4.1	54.4	0.3	54.2	0.3	1	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87	109.1,145.6,138.3,135.4,141.7,144.0,144.1,142.5,138.2	59.9,69.5,3.3,2.5,2.6,0.6,2.4,1.7,3.8	1.0,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.3	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87	18.83,18.9,16.62,14.85,12.78,10.09,7.32,5.54,4.21	1.25,3.02,3.16,3.56,4.2,4.54,3.58,3.54,3.43	2.375,2.383,2.096,1.873,1.611,1.273,0.923,0.698,0.53	1.337,1.341,1.18,1.054,0.907,0.716,0.519,0.393,0.298
6	5844	WALLABY J122932+005020	187.38498504791	0.839137790751842	1.409896951722E9	NGC4636 TR1	NGC4636 Kin TR1	2236.3	0.5	18.083	0.0752	14.788	0.2045	187.385819	1.26E-4	0.839689	3.41E-4	81.6	8.3	72.5	0.6	72.5	0.6	1	7.5,22.56,37.63,52.69,67.75	27.9,46.4,57.7,62.3,62.5	4.3,3.6,1.3,0.6,3.7	0.6,1.0,1.2,1.3,1.3	7.5,22.56,37.63,52.69,67.75	8.44,8.02,6.7,4.82,2.6	0.12,0.49,1.49,2.1,2.36	1.228,1.167,0.974,0.7,0.378	1.2,1.14,0.952,0.684,0.369
7	5844	WALLABY J123026+041450	187.611364645235	4.24723619354071	1.4089506594493E9	NGC4636 TR1	NGC4636 Kin TR1	2430.2	1.0	19.595	0.3502	26.965	0.1058	187.610935	5.86E-4	4.247607	1.75E-4	62.2	0.2	173.3	1.0	173.2	1.0	0	7.5,22.55,37.59,52.64,67.68,82.73,97.78	118.5,160.3,164.0,163.5,164.3,165.2,155.3	50.7,8.1,0.4,0.2,0.4,1.3,8.3	0.2,0.3,0.3,0.3,0.3,0.3,0.3	7.5,22.55,37.59,52.64,67.68,82.73,97.78	10.96,10.51,10.52,9.62,6.58,3.53,1.53	1.19,1.82,0.96,0.89,1.13,1.08,0.67	5.12,4.908,4.912,4.495,3.072,1.648,0.716	0.036,0.035,0.035,0.032,0.022,0.012,0.005
8	5844	WALLABY J123138+035620	187.91205304566	3.93893855262718	1.41225564813944E9	NGC4636 TR1	NGC4636 Kin TR1	1723.2	0.6	46.875	0.3132	45.394	0.1443	187.913481	5.24E-4	3.940552	2.4E-4	43.3	4.4	52.3	0.1	52.3	0.1	0	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87,142.92,157.96,173.01,188.05,203.1,218.15	23.8,55.2,75.5,88.1,96.0,100.2,101.6,101.5,101.2,101.6,103.5,106.9,111.8,115.4,115.0	2.8,2.4,1.0,1.0,2.8,3.4,2.1,0.3,0.8,2.2,4.8,8.5,13.3,16.5,15.4	1.9,4.5,6.2,7.2,7.9,8.2,8.3,8.3,8.3,8.3,8.5,8.7,9.1,9.4,9.4	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87,142.92,157.96,173.01,188.05,203.1,218.15	4.46,5.05,6.52,8.04,8.19,7.79,6.63,5.49,4.71,4.19,3.72,3.12,2.29,1.59,0.95	0.38,1.0,1.03,0.94,0.59,0.62,0.78,0.64,0.53,0.51,0.5,0.46,0.45,0.5,0.56	3.243,3.671,4.739,5.846,5.96,5.667,4.825,3.991,3.425,3.05,2.705,2.271,1.668,1.156,0.688	0.233,0.264,0.341,0.421,0.429,0.408,0.347,0.287,0.247,0.22,0.195,0.164,0.12,0.083,0.05
9	5844	WALLABY J123228+002315	188.117089008668	0.387690503460546	1.41321038342351E9	NGC4636 TR1	NGC4636 Kin TR1	1519.4	0.5	37.325	0.2052	52.212	0.0373	188.117436	3.42E-4	0.388701	6.2E-5	58.3	2.3	205.6	0.5	205.6	0.5	0	7.5,22.56,37.63,52.69,67.75,82.82,97.88,112.94,128.01,143.07,158.13,173.2,188.26,203.32,218.39	25.3,43.2,56.5,66.6,74.5,80.3,83.8,85.8,86.6,86.4,85.7,85.5,86.7,89.0,92.4	8.2,2.8,0.3,0.6,0.9,0.7,0.2,1.1,1.6,2.0,2.5,2.0,0.3,4.7,11.3	0.6,1.1,1.4,1.7,1.9,2.0,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.2,2.3	7.5,22.56,37.63,52.69,67.75,82.82,97.88,112.94,128.01,143.07,158.13,173.2,188.26,203.32,218.39,233.45,248.51,263.58	6.45,6.86,7.55,8.44,9.16,8.96,8.56,8.1,7.29,6.01,4.57,3.36,2.31,1.36,0.82,0.55,0.33,0.1	0.74,1.37,1.26,1.29,1.07,0.78,0.64,0.62,0.69,0.66,0.54,0.34,0.27,0.27,0.25,0.21,0.14,0.05	3.386,3.602,3.967,4.435,4.812,4.708,4.495,4.255,3.83,3.157,2.4,1.764,1.216,0.712,0.43,0.291,0.175,0.051	0.22,0.234,0.258,0.289,0.313,0.306,0.292,0.277,0.249,0.205,0.156,0.115,0.079,0.046,0.028,0.019,0.011,0.003
10	5844	WALLABY J123236+023943	188.153041402843	2.6622051217164	1.41225179558787E9	NGC4636 TR1	NGC4636 Kin TR1	1726.7	1.3	24.594	0.2418	29.464	0.1185	188.152385	4.04E-4	2.661852	1.97E-4	81.0	5.1	215.5	0.4	215.5	0.4	1	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87	20.2,38.2,48.9,58.1,65.0,68.9,70.3,69.7,67.0	2.3,4.7,2.7,2.4,2.8,3.2,3.2,2.1,0.0	0.3,0.5,0.7,0.8,0.9,1.0,1.0,1.0,1.0	7.5,22.55,37.59,52.64,67.68,82.73,97.78,112.82,127.87,142.92	14.86,15.84,16.47,15.04,12.8,10.51,8.31,6.04,4.43,3.12	0.28,1.35,1.55,1.55,1.65,1.94,1.72,1.68,1.75,1.78	2.324,2.477,2.575,2.352,2.002,1.643,1.299,0.944,0.693,0.488	1.306,1.392,1.447,1.322,1.125,0.924,0.73,0.53,0.39,0.274
