#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:57:34 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:57:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/442/137/table2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34420137
#Name: J/A+A/442/137
#Title: HI observations of WHISP disk galaxies (Noordermeer+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2005A&A...442..137N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/442/137	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34420137	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_442_137_table2:
#Name: J/A+A/442/137/table2
#Title: Observational parameters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC (<VII/26>) number	[ucd=meta.id;meta.main]
#Column	ObsDate	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	n_ObsDate	(A1)	[+] +: Observed before the upgrade of the WSRT	[ucd=meta.note]
#Column	rRA	(F4.1)	Spatial resolution of the unsmoothed data	[ucd=pos.angResolution]
#Column	rDE	(F4.1)	Spatial resolution of the unsmoothed data	[ucd=pos.angResolution]
#Column	rVel	(F5.2)	Velocity resolution before Hanning smoothing	[ucd=phys.veloc]
#Column	rmsch	(F5.2)	rms noise level in the unsmoothed channel maps, in mJy/beam	[ucd=instr.det.noise]
#Column	rmsmap	(F5.2)	1 sigma column density in the maps shown in the atlas, in 10^19^atoms/cm^2^	[ucd=stat.stdev;phys.columnDensity]
#Column	Prev	(a13)	Previous 21 cm synthesis observations, in previous.dat file	[ucd=meta.bib]
#Column	Rem	(a23)	Remarks	[ucd=meta.note]
#Column	Fig	(a10)	Figure name	[ucd=meta.bib.fig]
recno	UGC	ObsDate	n_ObsDate	rRA	rDE	rVel	rmsch	rmsmap	Prev	Rem	Fig
 	 	"Y:M:D"	 	arcsec	arcsec	km/s	mJy	10-19cm-2	 	 	
--------	-----	----------	-	----	----	-----	-----	-----	-------------	-----------------------	----------
       1	   89	2000-09-01	 	16.1	37.9	10.03	 0.64	 3.25	O93          	1 pointing with No 94  	img106.gif
       2	   94	2000-09-01	 	16.1	37.9	10.03	 0.64	 2.86	O93          	1 pointing with No 89  	img106.gif
       3	  232	2000-07-01	 	15.7	29.9	10.04	 0.78	 4.97	             	                       	img107.gif
       4	  499	2000-08-01	 	11.1	19.4	10.04	 0.69	 2.56	H82, S87     	1 pointing with No 508 	img108.gif
       5	  508	2000-08-01	 	11.1	19.4	10.04	 0.69	 2.82	             	1 pointing with No 499 	img109.gif
       6	  624	2000-07-01	 	10.7	24.2	10.04	 0.61	11.30	             	                       	img110.gif
       7	  798	2000-08-01	 	12.6	23.2	10.04	 0.73	 3.13	             	                       	img111.gif
       8	 1310	2000-06-01	 	12.0	31.8	 9.98	 0.90	 3.66	VM88         	                       	img112.gif
       9	 1541	2000-08-01	 	16.1	27.0	10.07	 0.79	 7.06	             	                       	img113.gif
      10	 2045	2000-08-01	 	15.9	34.0	 9.94	 0.67	 2.75	H03          	                       	img114.gif
      11	 2141	1994-01-01	+	 8.3	19.4	 4.98	 3.51	71.80	             	                       	img115.gif
      12	 2154	1997-07-01	+	10.1	18.0	19.80	 1.20	 2.88	A79, S84     	                       	img116.gif
      13	 2183	2000-04-01	 	10.6	26.0	 9.94	 0.79	 6.52	             	                       	img117.gif
      14	 2487	2000-12-01	 	11.8	22.2	10.06	 0.87	 1.29	             	                       	img118.gif
      15	 2916	2000-04-01	 	10.8	13.2	10.03	 0.59	16.80	             	                       	img119.gif
      16	 2941	2000-07-01	 	10.7	32.3	 5.06	 1.31	 6.47	             	                       	img120.gif
      17	 2953	2001-09-01	 	10.7	14.4	 9.91	 0.60	 1.39	             	                       	img121.gif
      18	 3205	2000-12-01	 	10.6	24.5	10.01	 0.61	15.50	             	                       	img122.gif
      19	 3354	2000-11-01	 	16.9	21.1	 9.98	 0.57	 5.93	             	                       	img123.gif
      20	 3382	2000-12-01	 	12.2	14.1	 5.04	 0.75	 1.20	             	                       	img124.gif
      21	 3407	2000-12-01	 	12.7	17.8	10.01	 0.71	 2.38	             	                       	img125.gif
      22	 3426	2002-01-01	 	12.3	13.0	 5.03	 0.54	 1.20	             	                       	img126.gif
      23	 3546	2000-12-01	 	12.2	14.9	 9.95	 0.63	 1.13	VW83, VD91   	                       	img127.gif
      24	 3580	1994-01-01	+	 9.1	10.2	 4.98	 2.50	 5.45	B94          	                       	img128.gif
      25	 3642	2000-05-01	 	12.6	13.4	10.03	 0.75	 3.69	             	                       	img129.gif
