#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:59:18 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:59:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/442/137/previous&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34420137
#Name: J/A+A/442/137
#Title: HI observations of WHISP disk galaxies (Noordermeer+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2005A&A...442..137N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/442/137	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34420137	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_442_137_previous:
#Name: J/A+A/442/137/previous
#Title: References for previous 21 cm synthesis observations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(a5)	Reference code	[ucd=meta.note]
#Column	BibCode	(a19)	BibCode	[ucd=meta.bib.bibcode]
#Column	Aut	(a24)	Author's name	[ucd=meta.bib.author]
#Column	Com	(a47)	Comments	[ucd=meta.note]
recno	Ref	BibCode	Aut	Com
 	 	 	 	
--------	-----	-------------------	------------------------	-----------------------------------------------
       1	A79  	1979MNRAS.187..537A	Allsopp                 	
       2	B77  	1977A&A....57...97B	Bosma et al.            	
       3	B92  	...................	Broeils                 	1992, Ph.D. Thesis, Rijksuniversiteit Groningen
       4	B94  	1994A&AS..107..129B	Broeils & van Woerdel   	
       5	C89  	1989Natur.338..134C	Carilli et al.          	
       6	C92  	1992ApJ...399..373C	Carilli & van Gorkom    	
       7	GR02 	2002A&A...394..769G	Garcia-Ruiz et al.      	
       8	H00  	2000AJ....120..703H	Haynes et al.           	
       9	H03  	2003AJ....125.3005H	Hameed & Young          	
      10	H82  	1982MNRAS.199..425H	Heckman et al.          	
      11	K84  	1984A&A...133..127K	Knapp et al.            	
      12	M99  	1999MNRAS.304..481M	Mundell et al.          	
      13	O93  	1993A&AS...99..379O	Oosterloo & Shostak     	
      14	P92  	1992MNRAS.259..369P	Pedlar et al.           	
      15	S80  	1980A&A....82..314S	Shane                   	
      16	S84  	1984MNRAS.210..497S	Sancisi et al.          	
      17	S87  	1987Sci...235.1367S	Simkin et al.           	
      18	S94  	1994AJ....107.1695S	Smith                   	
      19	VD88 	1988A&A...191..201V	Van Driel et al.        	
      20	VD89 	1989A&A...218...49V	Van Driel et al.        	
      21	VD91 	1991A&A...243...71V	Van Driel & van Woerden 	
      22	VD91b	1991A&A...245....7V	Van Driel & Buta        	
      23	VD94 	1994A&A...286..395V	Van Driel & van Woerden 	
      24	VM83a	1983A&AS...53..271V	Van Moorsel             	
      25	VM83b	1983A&AS...54....1V	Van Moorsel             	
      26	VM88 	1988A&A...202...59V	Van Moorsel             	
      27	VM95 	1995A&A...300...65V	Verdes-Montenegro et al.	
      28	VW83 	1983IAUS..100...99V	Van Woerden et al.      	
      29	W84  	1984A&A...140..125W	Wevers et al.           	
      30	W88  	1988A&AS...72..427W	Warmels                 	
      31	W91  	1991AJ....101.1957W	Williams et al.         	

