#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:42:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:42:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/898/102&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18980102
#Name: J/ApJ/898/102
#Title: Rotation velocity & dynamical mass of gal. from HI sp. (Yu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/898/102	    IVOID of underlying data collection
#INFO	creator=Yu N.	    First author or institution
#INFO	cites=bibcode:2020ApJ...898..102Y	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/898/102	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18980102	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_898_102_galaxies:
#Name: J/ApJ/898/102/galaxies
#Title: properties (Table 1) and physical parameters derived from the HI spectra (Table 4) with parameters updated from erratum published in 2020, ApJ, 902, 88
#Column	Name	(a16)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F9.6)	[-0.0008/0.03] Optical redshift from NED	[ucd=src.redshift]
#Column	q	(F5.2)	[0.12/1.0] Optical axis ratio	[ucd=phys.size.axisRatio]
#Column	e_q	(F5.2)	[0.01/0.14] Uncertainty in q	[ucd=stat.error]
#Column	l_logM	(A1)	Limit flag on logM	[ucd=meta.code.error]
#Column	logM	(F4.1)	[5.5/11.3] log of stellar mass derived in this work	[ucd=phys.mass]
#Column	inc	(I2)	[0/90] Inclination angle derived in this work	[ucd=src.orbital.inclination]
#Column	e_inc	(I2)	[5/30] Uncertainty in inc	[ucd=stat.error]
#Column	Vc	(I4)	[-199/8949] Flux intensity-weighted central velocity	[ucd=phys.veloc]
#Column	FHI	(F6.2)	[0.69/291] Total integrated flux of H I line	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	V95c	(I3)	[6/485]? Corrected line width measured at 95% flux	[ucd=spect.line.width]
#Column	V85c	(I3)	[5/357]? Corrected line width measured at 85% flux	[ucd=spect.line.width]
#Column	V75c	(I3)	[6/314]? Corrected line width measured at 75% flux	[ucd=spect.line.width]
#Column	V65c	(I3)	[7/282]? Corrected line width measured at 65% flux	[ucd=spect.line.width]
#Column	A-F	(F5.2)	[1/1.7] Corrected flux asymmetry	[ucd=src.morph.param]
#Column	A-C	(F5.2)	[1/3.15] Corrected concentration asymmetry	[ucd=src.morph.param]
#Column	C-V	(F5.2)	[2/6] Corrected concentration of HI profile	[ucd=phys.size;arith.ratio]
#Column	SNR	(A6)	SNR of the profile	[ucd=stat.snr;spect.line.profile]
#Column	logMHI	(F5.2)	[6.3/10.52] HI mass	[ucd=phys.mass]
#Column	logMdyn	(F5.2)	[7.5/12.1]? Dynamical mass, Equation 12	[ucd=phys.mass]
#Column	Note	(A4)	Note(s) (3)	[ucd=meta.note]
#Column	W16	(A3)	Display data from Wang+, 2016, J/MNRAS/460/2143 within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
Name	RAJ2000	DEJ2000	z	q	e_q	l_logM	logM	inc	e_inc	Vc	FHI	V95c	V85c	V75c	V65c	A-F	A-C	C-V	SNR	logMHI	logMdyn	Note	W16	SimbadName	NED	LEDA
 	deg	deg	 	 	 	 	[Msun]	deg	deg	km/s	Jy.km/s	km/s	km/s	km/s	km/s	 	 	 	 	[Msun]	[Msun]	 	 	 	 	
----------------	---------	---------	---------	-----	-----	-	----	--	--	----	------	---	---	---	---	-----	-----	-----	------	-----	-----	----	---	----------------	---	----
UGC 1281        	027.38212	+32.58783	 0.000520	 0.22	 0.03	 	 7.9	83	 7	 156	 38.98	 55	 51	 46	 40	 1.03	 1.06	 3.44	578.0 	 8.44	 9.63	1, 2	W16	UGC 1281        	NED	LEDA
UGC 2023        	038.32550	+33.49042	 0.001965	 0.97	 0.11	 	 8.7	13	27	 602	 17.23	 64	 56	 50	 44	 1.00	 1.03	 4.31	351.9 	 8.62	 9.77	   2	W16	UGC 2023        	NED	LEDA
UGC 2034        	038.42883	+40.52867	 0.001928	 0.84	 0.10	 	 8.6	33	11	 578	 30.19	 38	 31	 26	 22	 1.00	 1.01	 4.47	385.1 	 8.86	 9.52	   2	W16	UGC 2034        	NED	LEDA
UGC 2053        	038.62212	+29.74983	 0.003432	 0.55	 0.08	 	 8.4	57	 7	1024	 16.00	 36	 31	 27	 23	 1.02	 1.09	 4.26	211.2 	 8.72	 9.42	   2	W16	UGC 2053        	NED	LEDA
UGC 3371        	089.14992	+75.31719	 0.002722	 0.76	 0.09	 	 9.1	41	 9	 814	 25.21	 91	 85	 77	 68	 1.01	 1.10	 3.00	339.4 	 8.99	10.25	   2	W16	UGC 3371        	NED	LEDA
UGC 3817        	110.68533	+45.10853	 0.001458	 0.51	 0.07	 	 8.2	60	 7	 437	 10.81	 15	 14	 13	 12	 1.04	 1.11	 3.97	167.7 	 8.29	 8.84	   2	W16	UGC 3817        	NED	LEDA
UGC 4173        	121.79187	+80.12681	 0.002869	 0.47	 0.04	 	 7.8	63	 5	 859	 25.59	 36	 31	 28	 24	 1.05	 1.14	 3.87	830.3 	 9.23	 9.70	   2	W16	UGC 4173        	NED	LEDA
UGC 4278        	123.49545	+45.74215	 0.001801	 0.14	 0.01	 	 8.8	89	30	 559	 43.86	 87	 78	 70	 63	 1.03	 1.14	 2.80	102.3 	 9.06	10.23	    	W16	UGC 4278        	NED	LEDA
UGC 4325        	124.83554	+50.00961	 0.001748	 0.54	 0.03	 	 7.6	58	 5	 506	 20.50	 91	 73	 62	 53	 1.05	 1.30	 3.48	34.4  	 8.69	10.01	    	W16	UGC 4325        	NED	LEDA
UGC 4499        	129.42287	+51.65238	 0.002305	 0.44	 0.04	 	 8.6	65	 5	 689	 26.31	 60	 55	 49	 43	 1.04	 1.07	 3.20	539.1 	 9.02	 9.97	   2	W16	UGC 4499        	NED	LEDA
UGC 4543        	130.84102	+45.73599	 0.006538	 0.76	 0.05	 	 9.1	40	 6	1961	 29.90	 92	 78	 69	 61	 1.02	 1.03	 3.05	262.8 	 9.81	10.61	   2	W16	UGC 4543        	NED	LEDA
UGC 5272        	147.59487	+31.48828	 0.001711	 0.23	 0.02	 	 7.7	81	 6	 524	 17.53	 43	 38	 33	 28	 1.15	 1.04	 4.11	27.6  	 8.19	 9.31	   1	W16	UGC 5272        	NED	LEDA
UGC 5414        	150.98827	+40.76151	 0.002001	 0.68	 0.08	 	 8.5	47	 8	 605	 25.17	 66	 60	 53	 45	 1.12	 1.19	 3.64	285.8 	 8.77	 9.90	   2	W16	UGC 5414        	NED	LEDA
UGC 5846        	161.11890	+60.36705	 0.003409	 1.00	 0.12	 	 8.2	 0	 5	1020	 16.05	   	   	   	   	 1.02	 1.03	 3.91	235   	 8.82	     	   2	W16	UGC 5846        	NED	LEDA
UGC 6628        	175.02392	+45.94216	 0.002805	 0.87	 0.05	 	 8.2	30	 8	 850	 24.53	 34	 28	 25	 23	 1.05	 1.12	 3.95	604.6 	 9.13	 9.59	   2	W16	UGC 6628        	NED	LEDA
UGC 7232        	183.43399	+36.63127	 0.000761	 0.92	 0.05	 	 7.8	23	 8	 239	 23.52	 85	 71	 61	 50	 1.22	 1.00	 4.50	28.4  	 7.83	 9.55	1, 2	W16	UGC 7232        	NED	LEDA
UGC 7323        	184.37572	+45.61929	 0.001688	 0.70	 0.04	 	 9.2	45	 5	 512	 40.95	 84	 74	 66	 57	 1.10	 1.19	 3.30	33.8  	 8.80	10.07	   1	W16	UGC 7323        	NED	LEDA
