col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
IC3392,28.3,8.4,134,1690,206,259 ± 9,7.63 ± 0.02,1.87 ± 0.07,8.37 ± 0.02
IC3418,,8.1,101,,,<30.29,<6.70,<11.44,<7.44
NGC4064,23.3,9.0,32,954,225,285 ± 12,7.67 ± 0.02,2.48 ± 0.11,8.41 ± 0.02
NGC4189,38.9,7.5,202,2133,289,545 ± 14,7.95 ± 0.01,1.59 ± 0.04,8.69 ± 0.01
NGC4192,74.4,9.2,358,-143,518,1997 ± 27,8.52 ± 0.01,2.78 ± 0.04,9.26 ± 0.01
NGC4216,40.9,7.2,304,160,621,1009 ± 25,8.22 ± 0.01,1.37 ± 0.03,8.96 ± 0.01
NGC4222,12.5,8.4,26,230,255,128 ± 10,7.33 ± 0.03,0.58 ± 0.05,8.06 ± 0.03
NGC4254,185.0,8.6,331,2447,320,8369 ± 45,9.14 ± 0.00,4.64 ± 0.03,9.88 ± 0.00
NGC4293,48.8,7.6,328,936,297,810 ± 17,8.13 ± 0.01,3.80 ± 0.08,8.86 ± 0.01
NGC4294,6.4,8.2,29,376,173,62 ± 10,7.01 ± 0.07,0.37 ± 0.06,7.75 ± 0.07
NGC4298,82.7,7.5,191,1140,278,1336 ± 16,8.35 ± 0.01,2.50 ± 0.03,9.08 ± 0.01
NGC4299,5.2,8.3,117,239,112,42 ± 8,6.84 ± 0.08,0.19 ± 0.04,7.58 ± 0.08
NGC4302,67.2,7.7,313,1158,410,1375 ± 20,8.36 ± 0.01,3.39 ± 0.05,9.09 ± 0.01
NGC4321,187.9,10.2,433,1590,279,7635 ± 41,9.10 ± 0.00,3.45 ± 0.02,9.84 ± 0.00
NGC4330,16.4,7.7,32,1566,298,241 ± 15,7.60 ± 0.03,1.19 ± 0.07,8.34 ± 0.03
NGC4351,11.8,8.5,149,2324,124,79 ± 7,7.11 ± 0.04,0.37 ± 0.03,7.85 ± 0.04
NGC4380,35.3,7.5,249,990,307,432 ± 12,7.86 ± 0.01,0.90 ± 0.03,8.59 ± 0.01
NGC4383,22.9,8.1,184,1715,206,263 ± 11,7.64 ± 0.02,1.26 ± 0.05,8.37 ± 0.02
NGC4388,49.3,8.1,25,2501,486,859 ± 17,8.15 ± 0.01,2.86 ± 0.06,8.89 ± 0.01
NGC4394,12.0,8.7,24,929,215,105 ± 9,7.24 ± 0.04,0.44 ± 0.04,7.98 ± 0.04
NGC4396,10.0,7.8,217,-119,193,124 ± 12,7.32 ± 0.04,0.61 ± 0.06,8.05 ± 0.04
NGC4402,83.1,7.6,30,248,357,1402 ± 17,8.37 ± 0.01,5.00 ± 0.06,9.10 ± 0.01
NGC4405,18.3,7.7,33,1752,175,206 ± 11,7.53 ± 0.02,1.99 ± 0.11,8.27 ± 0.02
NGC4419,121.2,8.1,32,-172,447,1399 ± 12,8.37 ± 0.00,5.71 ± 0.05,9.10 ± 0.00
NGC4424,34.1,7.9,101,448,158,228 ± 7,7.58 ± 0.01,1.63 ± 0.05,8.31 ± 0.01
NGC4450,31.8,7.6,233,1960,340,523 ± 16,7.94 ± 0.01,1.14 ± 0.04,8.67 ± 0.01
NGC4457,63.6,7.8,238,905,297,1154 ± 18,8.28 ± 0.01,4.16 ± 0.07,9.02 ± 0.01
NGC4501,219.6,8.0,302,2277,589,5499 ± 25,8.96 ± 0.00,7.61 ± 0.03,9.69 ± 0.00
NGC4522,20.8,8.5,32,2351,217,223 ± 11,7.57 ± 0.02,1.13 ± 0.05,8.30 ± 0.02
NGC4532,18.3,7.1,151,2037,227,198 ± 11,7.52 ± 0.02,1.03 ± 0.06,8.25 ± 0.02
NGC4533,1.7,7.8,35,1698,103,10 ± 6,6.20 ± 0.26,0.04 ± 0.03,6.94 ± 0.26
NGC4535,85.4,8.2,680,1978,270,2862 ± 34,8.68 ± 0.01,2.27 ± 0.03,9.41 ± 0.01
NGC4536,88.4,8.6,452,1817,389,2465 ± 28,8.61 ± 0.01,1.90 ± 0.02,9.35 ± 0.01
NGC4548,58.7,7.6,354,509,336,1085 ± 18,8.26 ± 0.01,1.01 ± 0.02,8.99 ± 0.01
NGC4561,2.3,7.9,253,1433,92,23 ± 10,6.58 ± 0.19,0.14 ± 0.06,7.31 ± 0.19
