col_1,col_2,col_3,col_4
IC3392,1.16,2.32,2.41
NGC4064,1.06,2.18,2.08
NGC4189,1.27,3.23,3.57
NGC4192,5.10,9.70,
NGC4216,6.51,11.58,
NGC4222,1.55,4.01,
NGC4254,1.94,5.72,8.33
NGC4293,0.79,1.86,2.60
NGC4294,1.55,3.20,
NGC4298,1.45,3.94,4.69
NGC4299,1.15,1.85,
NGC4302,2.86,6.74,
NGC4321,1.03,5.95,9.74
NGC4330,1.65,3.76,
NGC4351,0.88,2.12,0.80
NGC4380,1.63,4.77,1.95
NGC4383,0.84,1.84,1.94
NGC4388,1.46,3.30,0.42
NGC4394,0.50,2.85,0.82
NGC4396,1.30,3.18,
NGC4402,2.69,5.21,5.63
NGC4405,0.69,1.35,1.74
NGC4419,1.24,2.70,3.69
NGC4424,0.92,1.94,1.97
NGC4450,0.85,2.78,2.04
NGC4457,0.65,1.84,2.87
NGC4501,2.20,6.54,8.97
NGC4522,1.08,2.46,
NGC4532,0.95,2.30,1.65
NGC4533,1.90,4.58,
NGC4535,0.74,6.39,8.29
NGC4536,1.33,3.62,4.31
NGC4548,0.78,6.31,1.29
NGC4561,1.91,2.87,
NGC4567,1.06,3.16,3.71
NGC4568,1.47,3.84,5.31
NGC4569,1.12,4.12,6.42
NGC4579,0.85,5.15,6.75
NGC4580,0.98,2.01,2.50
NGC4606,0.87,2.13,1.53
NGC4607,1.19,2.75,
NGC4651,1.30,2.67,2.96
NGC4654,1.52,4.97,6.15
NGC4689,1.47,4.10,4.76
NGC4694,0.85,2.41,1.38
NGC4698,4.91,5.94,
NGC4713,1.17,2.72,1.98
NGC4772,2.84,3.45,
NGC4808,1.65,3.59,3.32
