Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Rotation curves (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2A.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.6   kpc     R0.3   The R_0.3_ value
  25- 33 F9.6   km/s    V0.3   The V_0.3 value
  35- 42 F8.6   ---     R      Radius scaled by R0.3
  44- 52 F9.6   ---     V      Velocity scaled by V0.3
  54- 61 F8.6   ---   e_V      Uncertainty in V
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
CVnldwA  Data  2.437499 23.774862 0.077949  0.166983 0.114827 
CVnldwA  Data  2.437499 23.774862 0.151795  0.257415 0.095479 
CVnldwA  Data  2.437499 23.774862 0.229744  0.317142 0.086646 
CVnldwA  Data  2.437499 23.774862 0.303590  0.380234 0.075290 
CVnldwA  Data  2.437499 23.774862 0.381539  0.429445 0.076972 
CVnldwA  Data  2.437499 23.774862 0.455385  0.505155 0.067719 
CVnldwA  Data  2.437499 23.774862 0.533334  0.572453 0.068560 
CVnldwA  Data  2.437499 23.774862 0.607180  0.728501 0.070663 
CVnldwA  Data  2.437499 23.774862 0.685128  0.890857 0.071504 
CVnldwA  Data  2.437499 23.774862 0.758975  1.011993 0.092535 
CVnldwA  Data  2.437499 23.774862 0.836923  1.112520 0.113986 
CVnldwA  Data  2.437499 23.774862 0.910770  1.090227 0.083281 
CVnldwA  Data  2.437499 23.774862 0.988718  1.001478 0.104312 
CVnldwA  Data  2.437499 23.774862 1.062564  0.991804 0.086646 
CVnldwA  Model 2.960000 25.658800 0.064189  0.116692 0.106396 
CVnldwA  Model 2.960000 25.658800 0.125000  0.223646 0.088469 
CVnldwA  Model 2.960000 25.658800 0.189189  0.329680 0.080284 
CVnldwA  Model 2.960000 25.658800 0.250000  0.421816 0.069762 
CVnldwA  Model 2.960000 25.658800 0.314189  0.509467 0.071321 
CVnldwA  Model 2.960000 25.658800 0.375000  0.583453 0.062747 
CVnldwA  Model 2.960000 25.658800 0.439189  0.652591 0.063526 
CVnldwA  Model 2.960000 25.658800 0.500000  0.710415 0.065475 
CVnldwA  Model 2.960000 25.658800 0.564189  0.764307 0.066254 
CVnldwA  Model 2.960000 25.658800 0.625000  0.809453 0.085741 
