Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM only) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled DM (baryon subtracted) rotation velocity which is 
           corrected for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the DM rotation velocity.
--------------------------------------------------------------------------------
CVnldwA  Data  -1.13454 -4.6119E+00 1.3459 
CVnldwA  Data  -0.54407 -4.6515E+00 0.2010 
CVnldwA  Data  -0.44482 -4.2600E+00 0.1128 
CVnldwA  Data  -0.36798 -4.0561E+00 0.0698 
CVnldwA  Data  -0.29936 -3.9556E+00 0.0554 
CVnldwA  Data  -0.24304 -3.8452E+00 0.0399 
CVnldwA  Data  -0.19058 -3.8330E+00 0.0310 
CVnldwA  Data  -0.14613 -3.9270E+00 0.0345 
CVnldwA  Data  -0.10367 -4.1536E+00 0.0424 
CVnldwA  Data  -0.06695 -4.7734E+00 0.0968 
CVnldwA  Model -1.19253 -3.9293E+00 0.4193 
CVnldwA  Model -0.90309 -3.9405E+00 0.1804 
CVnldwA  Model -0.72310 -3.9588E+00 0.1095 
CVnldwA  Model -0.60206 -3.9817E+00 0.0732 
CVnldwA  Model -0.50281 -4.0106E+00 0.0609 
CVnldwA  Model -0.42597 -4.0417E+00 0.0459 
CVnldwA  Model -0.35735 -4.0777E+00 0.0409 
CVnldwA  Model -0.30103 -4.1140E+00 0.0381 
CVnldwA  Model -0.24857 -4.1540E+00 0.0353 
CVnldwA  Model -0.20412 -4.1926E+00 0.0427 
CVnldwA  Model -0.16166 -4.2338E+00 0.0495 
CVnldwA  Model -0.12494 -4.2726E+00 0.0344 
CVnldwA  Model -0.08927 -4.3130E+00 0.0413 
CVnldwA  Model -0.05799 -4.3508E+00 0.0331 
CVnldwA  Model -0.02725 -4.3901E+00 0.0302 
CVnldwA  Model  0.00000 -4.4273E+00 0.0257 
DDO_210  Data  -0.88931 -3.8481E+00 0.1174 
DDO_210  Data  -0.58828 -4.0581E+00 0.0670 
DDO_210  Data  -0.41218 -4.1937E+00 0.0495 
DDO_210  Data  -0.28724 -4.3103E+00 0.0368 
DDO_210  Data  -0.19033 -4.3613E+00 0.0358 
DDO_210  Data  -0.11115 -4.3001E+00 0.0289 
DDO_210  Data  -0.06000 -4.2512E+00 0.0296 
DDO_210  Data   0.00000 -4.1927E+00 0.0294 
DDO_210  Model -0.88931 -3.9333E+00 0.1639 
DDO_210  Model -0.58828 -3.9821E+00 0.0735 
DDO_210  Model -0.41218 -4.0464E+00 0.0494 
DDO_210  Model -0.28724 -4.1221E+00 0.0343 
DDO_210  Model -0.19033 -4.2048E+00 0.0329 
DDO_210  Model -0.11115 -4.2896E+00 0.0287 
DDO_210  Model -0.06000 -4.3510E+00 0.0308 
DDO_210  Model  0.00000 -4.4241E+00 0.0340 
DDO_216  Data  -0.73180 -3.7392E+00 0.4486 
DDO_216  Data  -0.45558 -3.7474E+00 0.1177 
DDO_216  Data  -0.27105 -4.1485E+00 0.1058 
DDO_216  Data  -0.15455 -4.4017E+00 0.1013 
DDO_216  Data  -0.05256 -4.6891E+00 0.1062 
DDO_216  Data   0.02997 -5.0074E+00 0.1447 
DDO_216  Data   0.09212 -5.0976E+00 0.1573 
DDO_216  Data   0.15282 -5.0580E+00 0.1172 
DDO_216  Data   0.20046 -4.9243E+00 0.0843 
DDO_216  Data   0.24847 -4.8495E+00 0.0754 
DDO_216  Data   0.28710 -4.7515E+00 0.0667 
DDO_216  Data   0.32681 -4.6204E+00 0.0792 
DDO_216  Data   0.36319 -4.4585E+00 0.0708 
DDO_216  Model -0.73154 -3.6401E+00 0.3051 
DDO_216  Model -0.45534 -3.8566E+00 0.1352 
DDO_216  Model -0.27081 -4.0995E+00 0.1062 
DDO_216  Model -0.15431 -4.2947E+00 0.0917 
DDO_216  Model -0.05232 -4.4819E+00 0.0748 
DDO_216  Model  0.03022 -4.6336E+00 0.0773 
DDO_216  Model  0.09237 -4.7438E+00 0.0931 
DDO_216  Model  0.15306 -4.8514E+00 0.0970 
DDO_216  Model  0.20071 -4.9412E+00 0.0951 
DDO_216  Model  0.24871 -5.0422E+00 0.0974 
DDO_216  Model  0.28734 -5.1288E+00 0.0960 
DDO_216  Model  0.32705 -5.2060E+00 0.1267 
DDO_216  Model  0.36343 -5.2206E+00 0.1176 
DDO_53   Data  -0.73848 -4.4151E+00 0.1980 
DDO_53   Data  -0.54943 -4.6113E+00 0.2362 
DDO_53   Data  -0.42769 -4.3697E+00 0.1335 
DDO_53   Data  -0.33272 -4.2401E+00 0.0780 
DDO_53   Data  -0.25482 -4.3192E+00 0.0638 
DDO_53   Data  -0.18881 -4.2695E+00 0.0522 
DDO_53   Data  -0.13151 -4.2026E+00 0.0602 
DDO_53   Data  -0.07658 -4.1828E+00 0.0523 
DDO_53   Data  -0.03168 -4.2499E+00 0.0515 
DDO_53   Data   0.00900 -4.5107E+00 0.0615 
DDO_53   Model -1.11999 -4.1616E+00 0.2359 
DDO_53   Model -0.81896 -4.1648E+00 0.1963 
DDO_53   Model -0.62989 -4.1707E+00 0.1452 
DDO_53   Model -0.50815 -4.1781E+00 0.1197 
DDO_53   Model -0.41318 -4.1873E+00 0.0847 
DDO_53   Model -0.33529 -4.1983E+00 0.0576 
DDO_53   Model -0.26927 -4.2110E+00 0.0495 
DDO_53   Model -0.21198 -4.2251E+00 0.0630 
DDO_53   Model -0.15705 -4.2420E+00 0.0586 
DDO_53   Model -0.11215 -4.2588E+00 0.0591 
DDO_53   Model -0.07146 -4.2765E+00 0.0611 
DDO_53   Model -0.03426 -4.2951E+00 0.0481 
DDO_53   Model  0.00000 -4.3142E+00 0.0504 
DDO_70   Data  -1.23247 -3.6133E+00 0.1772 
DDO_70   Data  -0.90511 -3.6640E+00 0.0642 
DDO_70   Data  -0.73762 -3.7165E+00 0.0569 
DDO_70   Data  -0.61705 -3.7743E+00 0.0583 
DDO_70   Data  -0.51231 -3.8439E+00 0.0638 
DDO_70   Data  -0.43659 -3.9082E+00 0.0685 
DDO_70   Data  -0.37213 -3.9734E+00 0.0636 
DDO_70   Data  -0.30948 -4.0469E+00 0.0511 
DDO_70   Data  -0.26050 -4.1114E+00 0.0427 
DDO_70   Data  -0.21648 -4.1745E+00 0.0368 
DDO_70   Data  -0.17177 -4.2430E+00 0.0358 
DDO_70   Data  -0.13556 -4.3011E+00 0.0385 
DDO_70   Data  -0.10214 -4.3564E+00 0.0423 
DDO_70   Data  -0.07110 -4.4084E+00 0.0416 
DDO_70   Data  -0.03865 -4.4629E+00 0.0403 
DDO_70   Data  -0.01170 -4.5080E+00 0.0427 
DDO_70   Data   0.01366 -4.5501E+00 0.0443 
DDO_70   Data   0.04054 -4.5946E+00 0.0430 
DDO_70   Data   0.06310 -4.6324E+00 0.0396 
DDO_70   Data   0.08455 -4.6699E+00 0.0348 
DDO_70   Data   0.10748 -4.7133E+00 0.0343 
DDO_70   Data   0.12689 -4.7549E+00 0.0367 
DDO_70   Data   0.14548 -4.8018E+00 0.0429 
DDO_70   Data   0.16547 -4.8650E+00 0.0469 
DDO_70   Model -1.35932 -3.5625E+00 0.1772 
