Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: The CDM NFW dark matter model density profiles
================================================================================
Byte-by-byte Description of file: dbfB-D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.3   ---     Con    Model concentration parameter
   8- 10 I3     km/s    V200   Model rotation velocity at R_200_; see Equ. 7
  12- 19 F8.5   ---     R      Model radius scaled by R0.3
  21- 31 E11.4  ---     rho    Model density scaled by {rho}0.3
  33- 38 F6.4   ---   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
 6.623 350 -1.39794 -2.9086E+00 0.0000 
 6.623 350 -1.22185 -3.0715E+00 0.0000 
 6.623 350 -1.09691 -3.1980E+00 0.0000 
 6.623 350 -1.00000 -3.3044E+00 0.0000 
 6.623 350 -0.92082 -3.3976E+00 0.0000 
 6.623 350 -0.85387 -3.4811E+00 0.0000 
 6.623 350 -0.79588 -3.5564E+00 0.0000 
 6.623 350 -0.74473 -3.6246E+00 0.0000 
 6.623 350 -0.69897 -3.6863E+00 0.0000 
 6.623 350 -0.65758 -3.7417E+00 0.0000 
 6.623 350 -0.61979 -3.7912E+00 0.0000 
 6.623 350 -0.58503 -3.8350E+00 0.0000 
 6.623 350 -0.55284 -3.8735E+00 0.0000 
 6.623 350 -0.52288 -3.9071E+00 0.0000 
 6.623 350 -0.49485 -3.9362E+00 0.0000 
 6.623 350 -0.46852 -3.9614E+00 0.0000 
 6.623 350 -0.44370 -3.9833E+00 0.0000 
 6.623 350 -0.42022 -4.0025E+00 0.0000 
 6.623 350 -0.39794 -4.0195E+00 0.0000 
 6.623 350 -0.37675 -4.0350E+00 0.0000 
 6.623 350 -0.35655 -4.0494E+00 0.0000 
 6.623 350 -0.33724 -4.0632E+00 0.0000 
 6.623 350 -0.31876 -4.0769E+00 0.0000 
 6.623 350 -0.30103 -4.0907E+00 0.0000 
 6.623 350 -0.28400 -4.1050E+00 0.0000 
 6.623 350 -0.26761 -4.1201E+00 0.0000 
 6.623 350 -0.25181 -4.1360E+00 0.0000 
 6.623 350 -0.23657 -4.1531E+00 0.0000 
 6.623 350 -0.22185 -4.1714E+00 0.0000 
 6.623 350 -0.20761 -4.1910E+00 0.0000 
 6.623 350 -0.19382 -4.2119E+00 0.0000 
 6.623 350 -0.18046 -4.2341E+00 0.0000 
 6.623 350 -0.16749 -4.2575E+00 0.0000 
 6.623 350 -0.15490 -4.2818E+00 0.0000 
 6.623 350 -0.14267 -4.3068E+00 0.0000 
 6.623 350 -0.13077 -4.3320E+00 0.0000 
 6.623 350 -0.11919 -4.3567E+00 0.0000 
 6.623 350 -0.10791 -4.3801E+00 0.0000 
 6.623 350 -0.09691 -4.4013E+00 0.0000 
 6.623 350 -0.08619 -4.4189E+00 0.0000 
 6.623 350 -0.07572 -4.4315E+00 0.0000 
 6.623 350 -0.06550 -4.4378E+00 0.0000 
 6.623 350 -0.05552 -4.4365E+00 0.0000 
 6.623 350 -0.04576 -4.4265E+00 0.0000 
 6.623 350 -0.03621 -4.4075E+00 0.0000 
 6.623 350 -0.02687 -4.3795E+00 0.0000 
 6.623 350 -0.01773 -4.3434E+00 0.0000 
 6.623 350 -0.00877 -4.3002E+00 0.0000 
 6.623 350  0.00000 -4.2513E+00 0.0000 
 6.712 330 -1.39794 -2.9036E+00 0.0000 
 6.712 330 -1.22185 -3.0666E+00 0.0000 
 6.712 330 -1.09691 -3.1932E+00 0.0000 
 6.712 330 -1.00000 -3.2998E+00 0.0000 
 6.712 330 -0.92082 -3.3932E+00 0.0000 
 6.712 330 -0.85387 -3.4768E+00 0.0000 
 6.712 330 -0.79588 -3.5523E+00 0.0000 
 6.712 330 -0.74473 -3.6207E+00 0.0000 
 6.712 330 -0.69897 -3.6826E+00 0.0000 
 6.712 330 -0.65758 -3.7382E+00 0.0000 
 6.712 330 -0.61979 -3.7879E+00 0.0000 
 6.712 330 -0.58503 -3.8320E+00 0.0000 
 6.712 330 -0.55284 -3.8707E+00 0.0000 
 6.712 330 -0.52288 -3.9044E+00 0.0000 
 6.712 330 -0.49485 -3.9337E+00 0.0000 
 6.712 330 -0.46852 -3.9591E+00 0.0000 
 6.712 330 -0.44370 -3.9812E+00 0.0000 
 6.712 330 -0.42022 -4.0005E+00 0.0000 
 6.712 330 -0.39794 -4.0177E+00 0.0000 
 6.712 330 -0.37675 -4.0333E+00 0.0000 
 6.712 330 -0.35655 -4.0478E+00 0.0000 
 6.712 330 -0.33724 -4.0618E+00 0.0000 
 6.712 330 -0.31876 -4.0756E+00 0.0000 
 6.712 330 -0.30103 -4.0895E+00 0.0000 
 6.712 330 -0.28400 -4.1039E+00 0.0000 
 6.712 330 -0.26761 -4.1191E+00 0.0000 
 6.712 330 -0.25181 -4.1352E+00 0.0000 
 6.712 330 -0.23657 -4.1524E+00 0.0000 
 6.712 330 -0.22185 -4.1708E+00 0.0000 
 6.712 330 -0.20761 -4.1906E+00 0.0000 
 6.712 330 -0.19382 -4.2117E+00 0.0000 
 6.712 330 -0.18046 -4.2341E+00 0.0000 
 6.712 330 -0.16749 -4.2576E+00 0.0000 
 6.712 330 -0.15490 -4.2822E+00 0.0000 
 6.712 330 -0.14267 -4.3074E+00 0.0000 
 6.712 330 -0.13077 -4.3328E+00 0.0000 
 6.712 330 -0.11919 -4.3578E+00 0.0000 
 6.712 330 -0.10791 -4.3815E+00 0.0000 
 6.712 330 -0.09691 -4.4029E+00 0.0000 
 6.712 330 -0.08619 -4.4207E+00 0.0000 
 6.712 330 -0.07572 -4.4335E+00 0.0000 
 6.712 330 -0.06550 -4.4399E+00 0.0000 
 6.712 330 -0.05552 -4.4386E+00 0.0000 
 6.712 330 -0.04576 -4.4286E+00 0.0000 
 6.712 330 -0.03621 -4.4094E+00 0.0000 
 6.712 330 -0.02687 -4.3812E+00 0.0000 
 6.712 330 -0.01773 -4.3448E+00 0.0000 
 6.712 330 -0.00877 -4.3013E+00 0.0000 
 6.712 330  0.00000 -4.2521E+00 0.0000 
 6.807 310 -1.39794 -2.8978E+00 0.0000 
 6.807 310 -1.22185 -3.0610E+00 0.0000 
 6.807 310 -1.09691 -3.1878E+00 0.0000 
 6.807 310 -1.00000 -3.2946E+00 0.0000 
 6.807 310 -0.92082 -3.3882E+00 0.0000 
 6.807 310 -0.85387 -3.4721E+00 0.0000 
 6.807 310 -0.79588 -3.5478E+00 0.0000 
 6.807 310 -0.74473 -3.6165E+00 0.0000 
 6.807 310 -0.69897 -3.6786E+00 0.0000 
 6.807 310 -0.65758 -3.7345E+00 0.0000 
 6.807 310 -0.61979 -3.7844E+00 0.0000 
 6.807 310 -0.58503 -3.8287E+00 0.0000 
 6.807 310 -0.55284 -3.8676E+00 0.0000 
 6.807 310 -0.52288 -3.9015E+00 0.0000 
 6.807 310 -0.49485 -3.9310E+00 0.0000 
 6.807 310 -0.46852 -3.9566E+00 0.0000 
 6.807 310 -0.44370 -3.9788E+00 0.0000 
 6.807 310 -0.42022 -3.9982E+00 0.0000 
 6.807 310 -0.39794 -4.0156E+00 0.0000 
 6.807 310 -0.37675 -4.0313E+00 0.0000 
 6.807 310 -0.35655 -4.0460E+00 0.0000 
 6.807 310 -0.33724 -4.0600E+00 0.0000 
 6.807 310 -0.31876 -4.0739E+00 0.0000 
 6.807 310 -0.30103 -4.0880E+00 0.0000 
 6.807 310 -0.28400 -4.1026E+00 0.0000 
 6.807 310 -0.26761 -4.1179E+00 0.0000 
 6.807 310 -0.25181 -4.1341E+00 0.0000 
 6.807 310 -0.23657 -4.1515E+00 0.0000 
