# Full MHONGOOSE RAR: Nkomo+2025 + Sorgho+2019
# name	log_gbar	log_gobs	source
ESO444-G084	-11.335184	-11.430628	Nkomo+2025
ESO444-G084	-11.363979	-11.147385	Nkomo+2025
ESO444-G084	-11.402405	-10.975531	Nkomo+2025
ESO444-G084	-11.440107	-10.899684	Nkomo+2025
ESO444-G084	-11.479043	-10.834451	Nkomo+2025
ESO444-G084	-11.515345	-10.780411	Nkomo+2025
ESO444-G084	-11.551001	-10.739014	Nkomo+2025
ESO444-G084	-11.587857	-10.705820	Nkomo+2025
ESO444-G084	-11.624041	-10.664091	Nkomo+2025
ESO444-G084	-11.657812	-10.630353	Nkomo+2025
ESO444-G084	-11.691008	-10.645114	Nkomo+2025
ESO444-G084	-11.757404	-10.636952	Nkomo+2025
ESO444-G084	-11.821536	-10.615957	Nkomo+2025
ESO444-G084	-11.851986	-10.583756	Nkomo+2025
ESO444-G084	-11.923617	-10.606246	Nkomo+2025
ESO444-G084	-11.993839	-10.646772	Nkomo+2025
KKS2000-23	-11.456079	-11.015997	Nkomo+2025
KKS2000-23	-11.501411	-11.205025	Nkomo+2025
KKS2000-23	-11.545697	-11.094194	Nkomo+2025
KKS2000-23	-11.588988	-11.061444	Nkomo+2025
KKS2000-23	-11.631331	-11.049488	Nkomo+2025
KKS2000-23	-11.672765	-11.022430	Nkomo+2025
KKS2000-23	-11.713328	-10.984391	Nkomo+2025
KKS2000-23	-11.753053	-10.953629	Nkomo+2025
KKS2000-23	-11.791969	-10.932532	Nkomo+2025
KKS2000-23	-11.830103	-10.919310	Nkomo+2025
KKS2000-23	-11.867478	-10.924064	Nkomo+2025
KKS2000-23	-11.904116	-10.904391	Nkomo+2025
KKS2000-23	-11.940034	-10.900185	Nkomo+2025
KKS2000-23	-12.005216	-10.927734	Nkomo+2025
KKS2000-23	-12.069151	-10.938971	Nkomo+2025
KKS2000-23	-12.130743	-10.942566	Nkomo+2025
NGC7424	-10.631398	-10.278676	Sorgho+2019
NGC7424	-10.722409	-10.263828	Sorgho+2019
NGC7424	-10.808342	-10.388509	Sorgho+2019
NGC7424	-10.889651	-10.464910	Sorgho+2019
NGC7424	-10.966756	-10.489396	Sorgho+2019
NGC7424	-11.109813	-10.407637	Sorgho+2019
NGC7424	-11.240002	-10.421932	Sorgho+2019
NGC7424	-11.359186	-10.479636	Sorgho+2019
NGC7424	-11.468764	-10.624611	Sorgho+2019
NGC7424	-11.569814	-10.674261	Sorgho+2019
NGC7424	-11.663213	-10.680351	Sorgho+2019
NGC7424	-11.749712	-10.716997	Sorgho+2019
NGC7424	-11.829974	-10.772122	Sorgho+2019
NGC7424	-11.904603	-10.847577	Sorgho+2019
NGC7424	-11.974151	-10.927698	Sorgho+2019
NGC3621	-10.929152	-10.693516	Sorgho+2019
NGC3621	-10.478536	-10.309701	Sorgho+2019
NGC3621	-10.320280	-10.160337	Sorgho+2019
NGC3621	-10.251763	-10.091456	Sorgho+2019
NGC3621	-10.267108	-10.089930	Sorgho+2019
NGC3621	-10.329579	-10.123783	Sorgho+2019
NGC3621	-10.396679	-10.161774	Sorgho+2019
NGC3621	-10.424061	-10.178066	Sorgho+2019
NGC3621	-10.487499	-10.215752	Sorgho+2019
NGC3621	-10.541393	-10.248248	Sorgho+2019
NGC3621	-10.600400	-10.283085	Sorgho+2019
NGC3621	-10.653000	-10.314368	Sorgho+2019
NGC3621	-10.714748	-10.349130	Sorgho+2019
NGC3621	-10.772764	-10.381314	Sorgho+2019
NGC3621	-10.827481	-10.411278	Sorgho+2019
NGC3621	-10.916225	-10.452368	Sorgho+2019
NGC3621	-11.009696	-10.491958	Sorgho+2019
NGC3621	-11.110252	-10.530248	Sorgho+2019
NGC3621	-11.162870	-10.553730	Sorgho+2019
NGC3621	-11.158112	-10.562539	Sorgho+2019
NGC3621	-11.119434	-10.571151	Sorgho+2019
NGC3621	-11.081512	-10.577351	Sorgho+2019
NGC3621	-11.081766	-10.593697	Sorgho+2019
NGC3621	-11.096223	-10.613818	Sorgho+2019
NGC3621	-11.162347	-10.649792	Sorgho+2019
NGC3621	-11.227497	-10.683874	Sorgho+2019
NGC3621	-11.340598	-10.728619	Sorgho+2019
NGC3621	-11.438868	-10.765940	Sorgho+2019
NGC3621	-11.547382	-10.802102	Sorgho+2019
NGC3621	-11.521204	-10.811698	Sorgho+2019
NGC3621	-11.496533	-10.820389	Sorgho+2019
NGC3621	-11.473364	-10.828272	Sorgho+2019
NGC3621	-11.427318	-10.829418	Sorgho+2019
NGC3621	-11.594127	-10.878381	Sorgho+2019
NGC3621	-12.201900	-10.960479	Sorgho+2019
