# MHONGOOSE RAR points from Nkomo+2025
# name	log_gbar	log_gobs
ESO444-G084	-11.335184	-11.430628
ESO444-G084	-11.363979	-11.147385
ESO444-G084	-11.402405	-10.975531
ESO444-G084	-11.440107	-10.899684
ESO444-G084	-11.479043	-10.834451
ESO444-G084	-11.515345	-10.780411
ESO444-G084	-11.551001	-10.739014
ESO444-G084	-11.587857	-10.705820
ESO444-G084	-11.624041	-10.664091
ESO444-G084	-11.657812	-10.630353
ESO444-G084	-11.691008	-10.645114
ESO444-G084	-11.757404	-10.636952
ESO444-G084	-11.821536	-10.615957
ESO444-G084	-11.851986	-10.583756
ESO444-G084	-11.923617	-10.606246
ESO444-G084	-11.993839	-10.646772
KKS2000-23	-11.456079	-11.015997
KKS2000-23	-11.501411	-11.205025
KKS2000-23	-11.545697	-11.094194
KKS2000-23	-11.588988	-11.061444
KKS2000-23	-11.631331	-11.049488
KKS2000-23	-11.672765	-11.022430
KKS2000-23	-11.713328	-10.984391
KKS2000-23	-11.753053	-10.953629
KKS2000-23	-11.791969	-10.932532
KKS2000-23	-11.830103	-10.919310
KKS2000-23	-11.867478	-10.924064
KKS2000-23	-11.904116	-10.904391
KKS2000-23	-11.940034	-10.900185
KKS2000-23	-12.005216	-10.927734
KKS2000-23	-12.069151	-10.938971
KKS2000-23	-12.130743	-10.942566
