recno	PGC1	PGC1+	Nm	GLON	GLAT	SGLON	SGLAT	Ksmag	logK	HRV	VLS	Nd	Dist	e_Dist	sigmaL	sigmaV	R2t	Rg	logMK	logMd	CF3	_RA_icrs	_DE_icrs
2494	6848	6848	9	140.5221	-38.805	321.5354	-6.4061	7.24	11.64	2884	3062	3	27.8	10	230	134	0.624	0.164	13.387	12.427	1	27.5788	22.0473
2693	9332	10123	4	145.1531	-24.8122	335.8323	-9.6931	8.55	9.86	534	722	1	8.67	6	55	17	0.15	8.279	11.529	12.34	1	37.2626	33.8129
2692	10123	10123	14	145.0861	-19.1927	341.5191	-9.3357	6.11	10.97	651	845	1	10.42	13	128	123	0.347	0.307	12.622	12.629	1	40.1116	38.9443
3073	2557	2557	38	121.5054	-21.7886	336.043	12.2064	1.25	10.81	-273	-14	38	0.75	3	111	114	0.302	0.234	12.441	12.447	1	11.1026	41.0637
2039	2797207	2797207	5	136.8977	8.1653	8.0657	1.3606	7.75	11.31	2413	2645	0			172	216	0.466	0.116	13.009	12.693	0	50.3347	66.8805
3242	13826	9892	8	138.5167	10.6899	10.7504	0.0501	4.5	10.27	-36	180	6	3.23	3	72	89	0.194	0.308	11.866	12.348	1	57.5886	67.9675
2154	14508	14508	15	138.0615	12.6955	12.6942	0.7156	5.28	11.8	1267	1492	2	13.86	15	266	223	0.72	0.436	13.574	13.294	1	60.2976	69.7757
3006	12174	12174	4	128.7315	19.5	18.7411	10.2224	7.88	11.24	2370	2616	1	27.42	14	163	104	0.441	0.31	12.936	12.486	1	48.9761	80.7001
3177	25861	25861	5	223.2637	33.9898	84.7544	-49.5032	7.11	10.95	1480	1311	0			126	82	0.341	0.182	12.6	12.045	1	137.585	7.0405
2414	27074	27074	7	225.1403	38.9081	87.5579	-44.7247	8.28	10.85	2146	1981	2	47.22	10	114	100	0.31	0.591	12.477	12.736	0	142.6746	8.0443
2378	27159	27159	16	223.2384	40.5635	85.7107	-42.9627	8.33	11.23	3294	3138	1	53.95	18	160	157	0.434	0.288	12.914	12.81	1	143.4641	10.111
1906	26733	26733	12	220.5648	39.3423	82.6926	-43.9055	7.95	11.42	3441	3291	1	63.97	18	190	204	0.514	0.52	13.137	13.297	1	141.4204	11.3995
1590	30445	34426	11	216.9347	55.544	83.3638	-27.5334	7.24	10.75	1201	1100	2	24.37	11	105	97	0.285	0.305	12.365	12.418	0	155.9652	19.9279
1586	30083	34426	19	212.9301	54.7765	80.6491	-27.7249	6.65	11.12	1381	1288	5	23.68	5	146	152	0.396	0.377	12.795	12.9	1	154.4338	21.8707
2501	23362	23498	5	201.4643	28.5952	55.7148	-47.0802	8.99	11.04	3537	3452	2	41.12	11	136	55	0.369	0.404	12.704	12.053	1	124.7852	21.9379
3532	23701	23701	10	197.7608	31.6141	55.0719	-42.7023	8.81	10.68	2164	2098	2	28.21	11	99	131	0.269	0.229	12.29	12.556	1	126.7991	25.9363
3455	25525	25525	8	201.3505	39.8977	64.7446	-37.9254	9.62	10.59	2813	2738	0			91	141	0.247	0.133	12.182	12.386	1	136.5272	25.4392
2808	26649	26649	7	190.1471	45.4062	61.0993	-28.5071	8.02	10.81	1723	1697	1	32.36	14	111	124	0.301	0.175	12.439	12.391	1	141.0822	34.5197
3027	24930	27077	3	190.4553	38.7611	55.8675	-33.4175	6.37	10.23	436	408	3	9.1	5	70	110	0.189	0.092	11.831	12.004	1	133.1727	33.4214
1589	30744	34426	10	201.4157	58.6193	75.7916	-21.8007	7.26	10.93	1422	1367	3	24.91	8	123	103	0.334	0.465	12.574	12.654	1	157.2484	28.8036
1591	32533	34426	14	203.9782	63.4165	79.2305	-18.0461	7.77	10.74	1451	1396	3	24.83	9	104	185	0.283	0.224	12.358	12.846	1	162.8106	28.019
2664	35064	35064	15	174.9547	68.4928	72.9841	-6.8827	7.39	11.23	2037	2048	1	23.99	14	161	104	0.435	0.288	12.919	12.45	1	171.1311	38.6832
1274	37691	37617	10	152.882	70.2456	70.9915	0.7885	6.72	10.81	883	933	1	20.61	14	111	135	0.301	0.472	12.441	12.893	0	179.3821	43.6132
1273	36699	37617	18	148.9886	65.8225	66.3443	1.0567	6.59	10.9	900	969	7	16.79	6	120	87	0.325	0.359	12.539	12.394	0	177.2548	48.0257
1267	37617	37617	24	140.5281	62.4113	62.3786	4.1407	5.99	11.27	1029	1124	8	20.08	5	166	104	0.45	0.548	12.962	12.735	1	179.4555	52.8468
