recno	PGC	NGC	UGC	IC	Dist	e_Dist	logM*	e_logM*	Gamma*	n_Gamma*	logSFR	e_logSFR	n_logSFR	DelMS	Flags	_RA	_DE
1619	11067	"         "	" "	"       "	72.4	0.08	10.01	0.1	0.44	"SSFRLIKE"	-0.47	0.2	"FUV+WISE4"	-0.36	" "	43.95365	1.0792
1635	11153	"         "	" "	"       "	30.6	0.12	8.7	0.1	0.28	"SSFRLIKE"	-1.16	0.2	"FUV+WISE4"	-0.19	"S"	44.28858	1.32639
1637	11156	"         "	" "	"       "	35.8	0.12	10.1	0.1	0.47	"SSFRLIKE"	-0.5	0.2	"FUV+WISE4"	-0.45	" "	44.2949	2.77507
1583	10815	"         "	" "	"       "	64.1	0.1	9.96	0.1	0.31	"SSFRLIKE"	-0.01	0.2	"FUV+WISE4"	0.13	" "	42.78917	2.59385
1604	10942	"NGC1137  "	" "	"       "	42.8	0.15	10.23	0.1	0.33	"SSFRLIKE"	0.15	0.2	"FUV+WISE4"	0.11	" "	43.51144	2.96211
1669	11336	"         "	" "	"       "	33.0	0.12	9.72	0.1	0.2	"SSFRLIKE"	0.28	0.2	"FUV+WISE4"	0.58	" "	44.96084	2.77134
1650	11230	"NGC1153  "	" "	"       "	42.8	0.15	10.7	0.1	0.5	"SSFRLIKE"	-1.05	0.2	"FUV+WISE4"		"S"	44.543	3.36196
1659	11265	"         "	" "	"       "	43.4	0.15	10.03	0.1	0.5	"SSFRLIKE"	-1.18	0.2	"FUV+WISE4"		" "	44.67252	3.43485
1655	11252	"         "	" "	"       "	34.0	0.12	9.89	0.18	0.44	"SSFRLIKE"	-0.57	0.2	"FUV+WISE4"	-0.39	"S"	44.59207	3.86294
1568	10659	"         "	" "	"       "	59.3	0.11	10.64	0.1	0.44	"SSFRLIKE"	0.17	0.2	"FUV+WISE4"	-0.14	" "	42.24512	3.16867
1553	10588	"         "	" "	"       "	12.3	0.12	8.74	0.24	0.21	"SSFRLIKE"	-0.82	0.2	"FUV+WISE4"	0.12	" "	41.99092	3.88544
1582	10813	"         "	" "	"       "	12.3	0.12	7.87	0.77	0.2	"SSFRLIKE"	-1.55	0.2	"FUV+WISE4"	-0.03	"S"	42.76904	4.45386
1510	10297	"         "	" "	"       "	59.3	0.11	8.9	0.1	0.2	"SSFRLIKE"	-0.12	0.2	"NUV+WISE4"	0.71	" "	40.82203	3.64441
1515	10309	"NGC1070  "	" "	"       "	58.2	0.11	11.12	0.1	0.48	"SSFRLIKE"	0.49	0.2	"FUV+WISE4"	-0.14	" "	40.84279	4.96838
1531	10350	"         "	" "	"       "	59.3	0.11	9.87	0.1	0.37	"SSFRLIKE"	-0.37	0.2	"FUV+WISE4"	-0.17	" "	41.0023	5.04648
1639	11179	"         "	" "	"       "	99.5	0.06	10.89	0.11	0.5	"SSFRLIKE"	-0.42	0.2	"FUV+WISE4"		" "	44.39029	5.97696
1599	10927	"         "	" "	"       "	106.2	0.06	11.14	0.1	0.39	"W4W1    "	0.6	0.2	"WISE4    "		" "	43.42178	6.26559
1621	11074	"         "	" "	"       "	109.9	0.05	10.61	0.1	0.34	"SSFRLIKE"	0.49	0.2	"NUV+WISE4"	0.2	" "	43.99006	6.49482
1465	10055	"NGC1026  "	" "	"       "	59.3	0.11	10.92	0.1	0.5	"SSFRLIKE"	-2.14	0.64	"FUV+WISE4"		" "	39.83	6.54404
