name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
2MASSJ00385299-5529210,99.999,99.999,99.999,99.999,3.6,90.83,0,0,3.362,88.4,-0.05448,4.046,0,0,2.664,0.1417,19.33,0.1639,7.987,0.133,18.35,0.6283,7.593,1.352,15.87,1.092,7.441,2.235,15.33,1.182,7.328,2.93,15.05,1.247,12.45,0.8003,15.37,1.086,12.03,0.4999,15.99,1.008
2MASSJ10574998+0138550,99.999,99.999,99.999,99.999,2.779,94.36,0,0,3.006,90.71,0.05522,3.167,0,0,5.829,0.2303,18.56,0.5311,7.044,0.2286,17.95,0.8301,5.524,1.555,16.34,0.9101,5.108,2.667,15.89,0.9645,5.327,3.082,15.63,1.037,7.45,1.081,16.13,0.8138,7.768,0.6731,16.57,0.7792
2MASSJ11000107+0137314,99.999,99.999,99.999,99.999,3.471,111.5,0,0,3.182,126.8,-0.06697,1.594,0,0,7.159,0.1389,18.54,0.7319,7.645,0.2041,18.06,0.6137,5.925,1.494,16.36,0.7654,5.672,2.413,15.88,0.8624,5.838,2.897,15.61,0.8704,7.832,0.9238,16.31,0.7065,7.677,0.6284,16.85,0.5748
2MASSJ12541443-2903030,99.999,99.999,99.999,99.999,3.515,158.5,0,0,4.253,152.3,0.01799,4.82,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
2MASSJ15172990+0810389,99.999,99.999,99.999,99.999,9.636,115.6,0,0,8.882,111.3,-0.039,4.098,0,0,10.34,0.1197,19.58,0.2502,21.09,0.1133,17.78,0.6838,12.79,0.8956,16.44,1.034,11.92,1.304,16.17,1.063,11.35,1.618,16.01,1.135,18.64,0.4697,16.36,0.9687,12.38,0.4837,17.42,0.6054
2MASSJ23250895+1509457,99.999,99.999,99.999,99.999,3.514,124.8,0,0,4.426,115.4,0.1594,5.59,0,0,7.714,0.08534,19.31,0.5034,8.054,0.1208,18.8,0.5615,5.153,1.56,16.95,0.6329,4.876,2.567,16.48,0.7099,5.152,2.998,16.2,0.6884,7.252,0.7604,17.03,0.5665,6.781,0.4841,17.72,0.495
2MASSJ23253174+1522128,99.999,99.999,99.999,99.999,4.352,130.3,0,0,2.969,153.4,-0.04741,1.15,0,0,99.999,99.999,99.999,99.999,15.04,0.01797,20.04,0.9211,7.252,0.953,17.39,0.782,7.63,1.329,16.77,1.081,7.582,2.256,16.2,1.103,12.91,0.6459,16.45,0.9897,15.34,0.3128,16.82,1.084
2MASSJ23542737-1023588,99.999,99.999,99.999,99.999,4.621,242.1,0,0,4.025,244.4,-0.1093,2.58,0,0,8.586,0.08215,19.38,0.4435,9.212,0.1166,18.79,0.5183,5.387,1.508,17.03,0.6851,5.05,2.707,16.53,0.6882,5.089,3.796,16.19,0.6883,7.018,1.129,16.85,0.5214,7.126,0.6485,17.42,0.519
2MASXJ00585745-0039197,99.999,99.999,99.999,99.999,2.731,203.7,0,0,1.589,210.7,-0.0372,1.583,0,0,10.5,0.09695,18.55,0.4708,11.24,0.1218,18.01,0.6834,6.221,1.319,16.51,1.066,5.691,2.425,15.99,1.182,5.349,3.473,15.68,1.338,7.677,1.115,16.39,0.761,9.337,0.481,16.8,0.9045
2MASXJ01131189+1505583,99.999,99.999,99.999,99.999,3.3,184.1,0,0,3.793,176.1,0.0844,3.331,0,0,9.542,0.1784,18.69,0.4078,11.49,0.1768,18.17,0.5528,7.357,2.209,16.23,0.8297,6.816,4.02,15.72,0.8848,6.717,5.385,15.37,1.016,10.43,1.606,15.84,0.8239,11.49,0.8314,16.3,0.8804
