galaxy,rho_c_1e-2Msun_pc3,rc_kpc,r_eps_kpc,r_eps_over_rc,m_psi_1e-23eV,rs_kpc,r200_kpc,c,chi2_red
ESO 014-0040,36.8,2.38,1.59,0.67,0.5,15.3,287.0,18.8,6.22
ESO 084-0411,0.483,8.96,7.7,0.86,0.33,1.5600000000000003e-05,123.0,7900000.0,0.878
ESO 120-0211,2.7,1.59,1.22,0.77,5.2,0.00147,30.3,20600.0,1.03
ESO 187-0510,3.95,1.59,2.17,1.36,3.06,0.0167,42.6,2550.0,0.44
ESO 206-0140,20.4,1.98,1.1,0.56,1.09,6.0,123.0,20.4,3.13
ESO 302-0120,3.55,3.98,4.25,1.07,0.54,0.00174,106.0,60900.0,0.58
ESO 305-0090,2.38,2.81,4.34,1.54,1.24,0.0076,68.1,8960.0,0.17
ESO 425-0180,106.0,0.326,0.151,0.46,27.0,21.0,205.0,9.78,5.25
ESO 488-0490,7.15,2.66,4.13,1.55,0.77,0.00010800000000000001,108.0,1000000.0,0.83
F730-V1,23.6,1.75,1.16,0.66,1.16,9.3,160.0,17.2,5.72
UGC 4115,15.5,0.96,0.94,0.98,4.62,1.8999999999999998e-06,46.7,24600000.0,0.084
UGC 11454,17.3,2.56,1.29,0.5,0.72,12.6,185.0,14.6,9.09
UGC 11557,1.48,6.7,6.7,1.0,0.335,0.00188,129.0,68800.0,0.389
UGC 11583,10.2,0.95,1.04,1.09,5.6,2.27e-06,42.3,18600000.0,0.617
UGC 11616,16.6,2.51,1.48,0.59,0.69,7.2,142.0,19.8,3.49
UGC 11648,29.5,1.01,1.72,1.7,2.73,54.0,285.0,5.28,1.08
UGC 11748,86.0,2.63,1.58,0.6,0.283,2.24,170.0,76.0,11.6
UGC 11819,6.35,4.46,6.97,1.56,0.278,0.000172,175.0,1010000.0,0.408
