galaxy,rho_c_1e-2Msun_pc3,rc_kpc,r_eps_kpc,r_eps_over_rc,m_psi_1e-23eV,rs_kpc,rho_s_1e-2Msun_pc3,c,r200_kpc,M200_1e11Msun
ESO 014-0040,50.2,1.87,2.09,1.1,0.554,7.87,9.07,29.3,231.0,13.5
ESO 084-0411,0.542,5.82,5.79,1.0,0.554,4.42,1.9,16.0,70.6,0.36
ESO 120-0211,3.09,3.76,0.54,0.15,0.554,1.18,3.02,19.2,22.5,0.01
ESO 187-0510,4.04,3.52,1.06,0.3,0.554,0.73,33.0,47.8,34.7,0.04
ESO 206-0140,7.78,2.99,3.58,1.2,0.554,3.28,13.9,34.5,113.0,1.55
ESO 302-0120,3.67,3.6,3.7,1.0,0.554,1.2,90.8,69.6,83.5,0.57
ESO 305-0090,1.82,4.3,2.55,0.59,0.554,1.7,13.4,34.0,57.6,0.2
ESO 425-0180,10.9,2.74,6.21,2.3,0.554,2.13,22.9,41.6,88.7,0.82
ESO 488-0490,5.52,3.26,3.06,0.94,0.554,1.13,109.0,74.6,84.6,0.6
F730-V1,12.08,2.68,2.64,0.99,0.554,4.62,8.63,28.8,133.0,2.57
UGC 4115,12.0,2.68,1.26,0.47,0.554,1.53,28.0,44.9,68.8,0.35
UGC 11454,10.7,2.76,2.36,0.86,0.554,9.31,2.54,17.9,167.0,5.12
UGC 11557,1.7,4.37,4.55,1.0,0.554,2.26,14.6,35.1,79.4,0.5
UGC 11583,4.65,3.4,1.77,0.52,0.554,0.86,73.2,64.3,55.3,0.17
UGC 11616,11.8,2.69,4.59,1.7,0.554,4.21,8.6,28.7,121.0,1.95
UGC 11648,9.86,2.82,1.34,0.48,0.554,11.5,1.21,13.4,154.0,4.02
UGC 11748,102.0,1.57,2.13,1.4,0.554,2.6,80.3,66.5,173.0,5.65
UGC 11819,10.3,2.78,2.98,1.1,0.554,8.98,2.75,18.5,166.0,5.04
