!# Results of ROTMAS saved at 12-May-2008 (12:07:00)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 25.9023
!# Red. Chi-square (N=61,n=2) : 0.439021
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.315620    28.462700     0.710000     1.000000 
!# Parameter error :     0.053842     1.700858     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722   0.997403         0       3.9     0.859   3.07025   3.30795         0         0   
   0.2714     1.803   1.92831         0      9.66      1.89   6.08324   6.63137         0         0   
    0.407     3.252   2.66931         0     13.65     2.388   8.98603   9.92217         0         0   
   0.5427     4.869   3.10338         0     16.33     2.158   11.7432   13.0859         0         0   
   0.6784     4.945   3.50606         0      17.3     2.139   14.3259   15.5556         0         0   
   0.8141     5.347   3.86087         0     18.25     2.737   16.7203    17.974         0         0   
   0.9498     5.506   4.25717         0     20.37     2.815   18.9232   20.1625         0         0   
    1.085     6.036   4.57368         0     22.58     2.338   20.9321   22.2599         0         0   
    1.221     6.825    4.7306         0      24.6     1.904   22.7755   24.2422         0         0   
    1.357     7.925   4.92956         0     26.17     1.346   24.4537   26.1742         0         0   
    1.492     8.879   4.99019         0        28       2.1   25.9702    27.896         0         0   
    1.628     9.837   5.05031         0     30.21     2.858   27.3615   29.5114         0         0   
    1.764     11.22   5.17052         0      31.8     3.009   28.6296   31.1813         0         0   
      1.9     12.43   5.35671         0     33.39     3.076   29.7872   32.7182         0         0   
    2.035     13.07    5.4099         0     34.49     3.207   30.8386    33.928         0         0   
    2.171     13.51   5.40457         0     34.88     3.045   31.8098   34.9799         0         0   
    2.307     13.85   5.42586         0     35.32     2.714   32.7019    35.926         0         0   
    2.442     14.09   5.41523         0     36.02     2.405   33.5176   36.7598         0         0   
    2.578     14.32   5.38862         0     36.57     2.049   34.2762   37.5361         0         0   
    2.714     14.67   5.36202         0     37.34     1.855   34.9779   38.3068         0         0   
    2.849     15.08   5.31946         0     37.82     1.685   35.6238   39.0481         0         0   
    2.985     15.52   5.26893         0     38.44     1.485   36.2285   39.7635         0         0   
    3.121     15.97   5.21627         0     39.34     1.401   36.7915   40.4458         0         0   
    3.256     16.27   5.15669         0     39.87     1.343    37.313   41.0313         0         0   
    3.392     16.48   5.09019         0     40.33     1.259   37.8043   41.5532         0         0   
    3.528     16.73    5.0269         0     40.83     1.279   38.2644   42.0634         0         0   
    3.663     16.89   4.95402         0     41.36     1.246    38.693   42.5084         0         0   
    3.799      17.1   4.88061         0     42.27     1.187   39.0989   42.9529         0         0   
    3.935     17.46   4.81625         0     43.14     1.268    39.481   43.4372         0         0   
     4.07     17.78   4.74604         0     43.93      1.42   39.8387   43.8836         0         0   
    4.206     18.01   4.67688         0     44.43     1.494    40.179   44.2785         0         0   
    4.342     18.19   4.61518         0     45.06     1.466   40.5009   44.6374         0         0   
    4.477      18.4   4.54761         0     45.94      1.35   40.8036   44.9908         0         0   
    4.613     18.77   4.48112         0      46.7     1.454   41.0927   45.3983         0         0   
    4.749     19.08   4.42155         0     47.24     1.508   41.3673   45.7695         0         0   
    4.884     19.25   4.35664         0     48.01     1.683   41.6264   46.0684         0         0   
     5.02     19.39   4.29493         0     48.39     1.803   41.8749   46.3457         0         0   
    5.156     19.67   4.23962         0     47.88     1.724   42.1117    46.672         0         0   
    5.292     19.93   4.18057         0     47.66     2.003   42.3375   46.9803         0         0   
    5.427     20.04   4.12313         0     48.08       2.1   42.5516   47.2148         0         0   
    5.563     20.05   4.07259         0     47.82     2.347   42.7577   47.4005         0         0   
    5.699     20.02   4.01727         0     47.81      2.53   42.9549   47.5612         0         0   
    5.834     19.94   3.96407         0     48.39     2.603   43.1424   47.6926         0         0   
     5.97     19.89    3.9162         0     48.28     2.673   43.3234   47.8317         0         0   
    6.106     19.88   3.86513         0     47.64     3.042   43.4971   47.9807         0         0   
    6.241     19.85   3.81938         0     47.42     3.107   43.6626   48.1148         0         0   
    6.377      19.8   3.77363         0      47.1     2.564   43.8228    48.236         0         0   
    6.513     19.76   3.72736         0     46.66     2.371   43.9768   48.3561         0         0   
    6.648     19.66   3.68639         0     46.94     2.616   44.1239   48.4461         0         0   
    6.784      19.4   3.64491         0     47.84     2.979   44.2666   48.4683         0         0   
     6.92      19.2   3.60394         0     47.91     3.611   44.4041   48.5114         0         0   
    7.055     19.21   3.56777         0     47.18     3.505   44.5357   48.6332         0         0   
    7.191     19.18   3.52894         0     47.34     3.598   44.6637   48.7357         0         0   
    7.327     19.04    3.4917         0     48.08     4.224   44.7872   48.7914         0         0   
    7.462     18.82   3.45925         0     48.52     3.739   44.9056   48.8126         0         0   
    7.598     18.63    3.4252         0     50.07      3.88   45.0209   48.8435         0         0   
    7.734     18.48   3.39063         0     51.34     3.949   45.1324    48.887         0         0   
    7.869     18.29   3.36138         0      50.4     4.357   45.2395   48.9125         0         0   
    8.005     18.16   3.33105         0     51.71     4.171   45.3439   48.9587         0         0   
    8.141     18.05    3.3034         0     52.74     3.512   45.4451   49.0099         0         0   
    8.276     18.01   3.28105         0     53.28     3.786   45.5424    49.084         0         0   
