!# Results of ROTMAS saved at 12-Oct-2007 (11:50:22)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 25.7361
!# Red. Chi-square (N=61,n=2) : 0.436205
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.339710    27.554899     1.000000     1.000000 
!# Parameter error :     0.055101     1.646664     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722    1.1837         0       3.9     0.859   3.02124    3.3242         0         0   
   0.2714     1.803   2.28848         0      9.66      1.89   5.98808   6.65921         0         0   
    0.407     3.252   3.16789         0     13.65     2.388   8.84997    9.9465         0         0   
   0.5427     4.869   3.68303         0     16.33     2.158   11.5729   13.0845         0         0   
   0.6784     4.945   4.16093         0      17.3     2.139   14.1287   15.5366         0         0   
   0.8141     5.347   4.58201         0     18.25     2.737   16.5032   17.9427         0         0   
   0.9498     5.506   5.05233         0     20.37     2.815   18.6926    20.131         0         0   
    1.085     6.036   5.42796         0     22.58     2.338   20.6934   22.2287         0         0   
    1.221     6.825   5.61419         0      24.6     1.904   22.5331   24.2041         0         0   
    1.357     7.925   5.85031         0     26.17     1.346    24.211   26.1382         0         0   
    1.492     8.879   5.92227         0        28       2.1   25.7298   27.8556         0         0   
    1.628     9.837   5.99361         0     30.21     2.858   27.1254   29.4699         0         0   
    1.764     11.22   6.13628         0      31.8     3.009   28.3991   31.1457         0         0   
      1.9     12.43   6.35724         0     33.39     3.076   29.5634   32.6942         0         0   
    2.035     13.07   6.42037         0     34.49     3.207   30.6219   33.9079         0         0   
    2.171     13.51   6.41405         0     34.88     3.045   31.6007   34.9609         0         0   
    2.307     13.85   6.43931         0     35.32     2.714   32.5006   35.9107         0         0   
    2.442     14.09   6.42669         0     36.02     2.405    33.324   36.7467         0         0   
    2.578     14.32   6.39512         0     36.57     2.049   34.0903   37.5248         0         0   
    2.714     14.67   6.36355         0     37.34     1.855   34.7996   38.2978         0         0   
    2.849     15.08   6.31304         0     37.82     1.685   35.4529   39.0406         0         0   
    2.985     15.52   6.25307         0     38.44     1.485   36.0649   39.7573         0         0   
    3.121     15.97   6.19057         0     39.34     1.401   36.6349   40.4411         0         0   
    3.256     16.27   6.11986         0     39.87     1.343   37.1632   41.0276         0         0   
    3.392     16.48   6.04095         0     40.33     1.259   37.6609   41.5503         0         0   
    3.528     16.73   5.96583         0     40.83     1.279   38.1273   42.0616         0         0   
    3.663     16.89   5.87934         0     41.36     1.246   38.5619   42.5071         0         0   
    3.799      17.1   5.79222         0     42.27     1.187   38.9735   42.9523         0         0   
    3.935     17.46   5.71584         0     43.14     1.268   39.3612   43.4376         0         0   
     4.07     17.78   5.63251         0     43.93      1.42   39.7242   43.8847         0         0   
    4.206     18.01   5.55044         0     44.43     1.494   40.0697   44.2803         0         0   
    4.342     18.19   5.47721         0     45.06     1.466   40.3965   44.6403         0         0   
    4.477      18.4   5.39702         0     45.94      1.35   40.7038   44.9943         0         0   
    4.613     18.77   5.31811         0      46.7     1.454   40.9975   45.4026         0         0   
    4.749     19.08   5.24741         0     47.24     1.508   41.2765   45.7747         0         0   
    4.884     19.25   5.17038         0     48.01     1.683   41.5397   46.0743         0         0   
     5.02     19.39   5.09715         0     48.39     1.803   41.7922   46.3524         0         0   
    5.156     19.67    5.0315         0     47.88     1.724   42.0329   46.6796         0         0   
    5.292     19.93   4.96142         0     47.66     2.003   42.2624   46.9886         0         0   
    5.427     20.04   4.89325         0     48.08       2.1     42.48   47.2239         0         0   
    5.563     20.05   4.83327         0     47.82     2.347   42.6896   47.4106         0         0   
    5.699     20.02   4.76762         0     47.81      2.53   42.8902    47.572         0         0   
    5.834     19.94   4.70449         0     48.39     2.603   43.0808   47.7042         0         0   
     5.97     19.89   4.64767         0     48.28     2.673   43.2649   47.8442         0         0   
    6.106     19.88   4.58706         0     47.64     3.042   43.4416    47.994         0         0   
    6.241     19.85   4.53277         0     47.42     3.107   43.6099   48.1289         0         0   
    6.377      19.8   4.47847         0      47.1     2.564   43.7729    48.251         0         0   
    6.513     19.76   4.42356         0     46.66     2.371   43.9296   48.3718         0         0   
    6.648     19.66   4.37494         0     46.94     2.616   44.0793   48.4627         0         0   
    6.784      19.4   4.32571         0     47.84     2.979   44.2245   48.4858         0         0   
     6.92      19.2   4.27709         0     47.91     3.611   44.3644   48.5297         0         0   
    7.055     19.21   4.23416         0     47.18     3.505   44.4984   48.6524         0         0   
    7.191     19.18   4.18808         0     47.34     3.598   44.6285   48.7557         0         0   
    7.327     19.04   4.14389         0     48.08     4.224   44.7542   48.8122         0         0   
    7.462     18.82   4.10537         0     48.52     3.739   44.8748   48.8343         0         0   
    7.598     18.63   4.06497         0     50.07      3.88   44.9921   48.8661         0         0   
    7.734     18.48   4.02394         0     51.34     3.949   45.1056   48.9103         0         0   
    7.869     18.29   3.98922         0      50.4     4.357   45.2147   48.9367         0         0   
    8.005     18.16   3.95323         0     51.71     4.171    45.321   48.9837         0         0   
    8.141     18.05   3.92041         0     52.74     3.512    45.424   49.0358         0         0   
    8.276     18.01   3.89389         0     53.28     3.786   45.5231   49.1108         0         0   
