!# Results of ROTMAS saved at 12-Oct-2007 (11:50:33)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 16.0796
!# Red. Chi-square (N=61,n=3) : 0.277234
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.691060     9.050990    10.823300     1.000000 
!# Parameter error :     0.235428     1.067851     1.051985     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722   3.89423         0       3.9     0.859   1.73554   4.32416         0         0   
   0.2714     1.803   7.52882         0      9.66      1.89   3.46318   8.48101         0         0   
    0.407     3.252    10.422         0     13.65     2.388     5.174   12.0815         0         0   
   0.5427     4.869   12.1167         0     16.33     2.158    6.8633   14.7522         0         0   
   0.6784     4.945    13.689         0      17.3     2.139   8.52316   16.8667         0         0   
   0.8141     5.347   15.0743         0     18.25     2.737   10.1477    18.942         0         0   
   0.9498     5.506   16.6216         0     20.37     2.815   11.7319   21.0767         0         0   
    1.085     6.036   17.8573         0     22.58     2.338   13.2659     23.05         0         0   
    1.221     6.825     18.47         0      24.6     1.904   14.7611   24.6092         0         0   
    1.357     7.925   19.2468         0     26.17     1.346   16.2059   26.3795         0         0   
    1.492     8.879   19.4835         0        28       2.1   17.5886   27.7093         0         0   
    1.628     9.837   19.7182         0     30.21     2.858   18.9288   29.0495         0         0   
    1.764     11.22   20.1876         0      31.8     3.009   20.2157   30.6937         0         0   
      1.9     12.43   20.9145         0     33.39     3.076   21.4498   32.4348         0         0   
    2.035     13.07   21.1222         0     34.49     3.207   22.6232   33.5973         0         0   
    2.171     13.51   21.1014         0     34.88     3.045   23.7544   34.5263         0         0   
    2.307     13.85   21.1845         0     35.32     2.714   24.8359   35.4603         0         0   
    2.442     14.09    21.143         0     36.02     2.405    25.862   36.2547         0         0   
    2.578     14.32   21.0392         0     36.57     2.049   26.8496   36.9947         0         0   
    2.714     14.67   20.9353         0     37.34     1.855   27.7927   37.7615         0         0   
    2.849     15.08   20.7691         0     37.82     1.685   28.6868   38.4928         0         0   
    2.985     15.52   20.5718         0     38.44     1.485   29.5471   39.2059         0         0   
    3.121     15.97   20.3662         0     39.34     1.401   30.3687   39.9009         0         0   
    3.256     16.27   20.1336         0     39.87     1.343   31.1479   40.5002         0         0   
    3.392     16.48    19.874         0     40.33     1.259   31.8981   41.0372         0         0   
    3.528     16.73   19.6269         0     40.83     1.279   32.6151   41.5794         0         0   
    3.663     16.89   19.3423         0     41.36     1.246   33.2957   42.0476         0         0   
    3.799      17.1   19.0557         0     42.27     1.187   33.9518   42.5236         0         0   
    3.935     17.46   18.8044         0     43.14     1.268   34.5797   43.0606         0         0   
     4.07     17.78   18.5303         0     43.93      1.42   35.1765   43.5533         0         0   
    4.206     18.01   18.2603         0     44.43     1.494   35.7526   44.0005         0         0   
    4.342     18.19   18.0194         0     45.06     1.466   36.3048   44.4254         0         0   
    4.477      18.4   17.7555         0     45.94      1.35   36.8305   44.8364         0         0   
    4.613     18.77   17.4959         0      46.7     1.454   37.3388   45.3057         0         0   
    4.749     19.08   17.2633         0     47.24     1.508   37.8267   45.7486         0         0   
    4.884     19.25   17.0099         0     48.01     1.683    38.292   46.1105         0         0   
     5.02     19.39    16.769         0     48.39     1.803   38.7427   46.4561         0         0   
    5.156     19.67    16.553         0     47.88     1.724    39.176    46.858         0         0   
    5.292     19.93   16.3225         0     47.66     2.003   39.5929   47.2358         0         0   
    5.427     20.04   16.0982         0     48.08       2.1   39.9913   47.5401         0         0   
    5.563     20.05   15.9009         0     47.82     2.347    40.378    47.804         0         0   
    5.699     20.02   15.6849         0     47.81      2.53   40.7507   48.0358         0         0   
    5.834     19.94   15.4772         0     48.39     2.603   41.1074   48.2386         0         0   
     5.97     19.89   15.2903         0     48.28     2.673   41.4542   48.4546         0         0   
    6.106     19.88   15.0909         0     47.64     3.042   41.7888    48.675         0         0   
    6.241     19.85   14.9123         0     47.42     3.107   42.1097   48.8838         0         0   
    6.377      19.8   14.7336         0      47.1     2.564    42.422    49.079         0         0   
    6.513     19.76    14.553         0     46.66     2.371   42.7239   49.2705         0         0   
    6.648     19.66    14.393         0     46.94     2.616   43.0137   49.4354         0         0   
    6.784      19.4   14.2311         0     47.84     2.979   43.2963   49.5323         0         0   
     6.92      19.2   14.0711         0     47.91     3.611   43.5698   49.6484         0         0   
    7.055     19.21   13.9299         0     47.18     3.505   43.8327   49.8435         0         0   
    7.191     19.18   13.7783         0     47.34     3.598   44.0894   50.0159         0         0   
    7.327     19.04   13.6329         0     48.08     4.224   44.3382   50.1423         0         0   
    7.462     18.82   13.5062         0     48.52     3.739   44.5776   50.2372         0         0   
    7.598     18.63   13.3733         0     50.07      3.88   44.8117   50.3389         0         0   
    7.734     18.48   13.2383         0     51.34     3.949   45.0388   50.4505         0         0   
    7.869     18.29    13.124         0      50.4     4.357   45.2577   50.5472         0         0   
    8.005     18.16   13.0056         0     51.71     4.171   45.4719   50.6619         0         0   
    8.141     18.05   12.8977         0     52.74     3.512     45.68    50.782         0         0   
    8.276     18.01   12.8104         0     53.28     3.786   45.8808   50.9265         0         0   
