!# Results of ROTMAS saved at 12-May-2008 (12:06:09)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 48.7772
!# Red. Chi-square (N=61,n=2) : 0.826732
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     4.509870    58.031300     0.710000     1.000000 
!# Parameter error :     0.415796     4.107085     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722    1.1837         0       3.9     0.859   8.18096    8.2731         0         0   
   0.2714     1.803   2.28848         0      9.66      1.89   11.5094   11.8083         0         0   
    0.407     3.252   3.16789         0     13.65     2.388   14.0216   14.6392         0         0   
   0.5427     4.869   3.68303         0     16.33     2.158   16.1082   17.1118         0         0   
   0.6784     4.945   4.16093         0      17.3     2.139   17.9181   18.9157         0         0   
   0.8141     5.347   4.58201         0     18.25     2.737   19.5293   20.6129         0         0   
   0.9498     5.506   5.05233         0     20.37     2.815   20.9883   22.1122         0         0   
    1.085     6.036   5.42796         0     22.58     2.338   22.3209   23.5706         0         0   
    1.221     6.825   5.61419         0      24.6     1.904   23.5609   24.9815         0         0   
    1.357     7.925   5.85031         0     26.17     1.346   24.7159   26.4194         0         0   
    1.492     8.879   5.92227         0        28       2.1   25.7901   27.7285         0         0   
    1.628     9.837   5.99361         0     30.21     2.858   26.8088   28.9997         0         0   
    1.764     11.22   6.13628         0      31.8     3.009   27.7712   30.3951         0         0   
      1.9     12.43   6.35724         0     33.39     3.076   28.6834   31.7165         0         0   
    2.035     13.07   6.42037         0     34.49     3.207   29.5443    32.756         0         0   
    2.171     13.51   6.41405         0     34.88     3.045   30.3709   33.6767         0         0   
    2.307     13.85   6.43931         0     35.32     2.714   31.1602   34.5285         0         0   
    2.442     14.09   6.42669         0     36.02     2.405   31.9099   35.3001         0         0   
    2.578     14.32   6.39512         0     36.57     2.049   32.6339   36.0427         0         0   
    2.714     14.67   6.36355         0     37.34     1.855   33.3289   36.8073         0         0   
    2.849     15.08   6.31304         0     37.82     1.685    33.992   37.5654         0         0   
    2.985     15.52   6.25307         0     38.44     1.485    34.635   38.3173         0         0   
    3.121     15.97   6.19057         0     39.34     1.401   35.2546    39.053         0         0   
    3.256     16.27   6.11986         0     39.87     1.343   35.8478   39.7035         0         0   
    3.392     16.48   6.04095         0     40.33     1.259   36.4248   40.3021         0         0   
    3.528     16.73   5.96583         0     40.83     1.279   36.9823   40.9005         0         0   
    3.663     16.89   5.87934         0     41.36     1.246   37.5175   41.4413         0         0   
    3.799      17.1   5.79222         0     42.27     1.187   38.0395   41.9908         0         0   
    3.935     17.46   5.71584         0     43.14     1.268   38.5449   42.5883         0         0   
     4.07     17.78   5.63251         0     43.93      1.42   39.0312    43.152         0         0   
    4.206     18.01   5.55044         0     44.43     1.494   39.5064   43.6691         0         0   
    4.342     18.19   5.47721         0     45.06     1.466   39.9674   44.1539         0         0   
    4.477      18.4   5.39702         0     45.94      1.35   40.4117   44.6357         0         0   
    4.613     18.77   5.31811         0      46.7     1.454   40.8465   45.1756         0         0   
    4.749     19.08   5.24741         0     47.24     1.508   41.2691   45.6808         0         0   
    4.884     19.25   5.17038         0     48.01     1.683    41.677   46.1141         0         0   
     5.02     19.39   5.09715         0     48.39     1.803   42.0766   46.5281         0         0   
    5.156     19.67    5.0315         0     47.88     1.724   42.4656   46.9916         0         0   
    5.292     19.93   4.96142         0     47.66     2.003   42.8442   47.4374         0         0   
    5.427     20.04   4.89325         0     48.08       2.1   43.2102   47.8092         0         0   
    5.563     20.05   4.83327         0     47.82     2.347   43.5694    48.134         0         0   
    5.699     20.02   4.76762         0     47.81      2.53   43.9195   48.4341         0         0   
    5.834     19.94   4.70449         0     48.39     2.603   44.2583   48.7044         0         0   
     5.97     19.89   4.64767         0     48.28     2.673   44.5912   48.9829         0         0   
    6.106     19.88   4.58706         0     47.64     3.042   44.9158   49.2705         0         0   
    6.241     19.85   4.53277         0     47.42     3.107   45.2303   49.5418         0         0   
    6.377      19.8   4.47847         0      47.1     2.564   45.5395   49.8009         0         0   
    6.513     19.76   4.42356         0     46.66     2.371   45.8414   50.0578         0         0   
    6.648     19.66   4.37494         0     46.94     2.616    46.134   50.2837         0         0   
    6.784      19.4   4.32571         0     47.84     2.979    46.422   50.4445         0         0   
     6.92      19.2   4.27709         0     47.91     3.611   46.7033   50.6243         0         0   
    7.055     19.21   4.23416         0     47.18     3.505   46.9761   50.8774         0         0   
    7.191     19.18   4.18808         0     47.34     3.598   47.2448   51.1116         0         0   
    7.327     19.04   4.14389         0     48.08     4.224   47.5075   51.2999         0         0   
    7.462     18.82   4.10537         0     48.52     3.739   47.7625    51.453         0         0   
    7.598     18.63   4.06497         0     50.07      3.88   48.0137   51.6151         0         0   
    7.734     18.48   4.02394         0     51.34     3.949   48.2594   51.7878         0         0   
    7.869     18.29   3.98922         0      50.4     4.357    48.498   51.9411         0         0   
    8.005     18.16   3.95323         0     51.71     4.171   48.7333   52.1135         0         0   
    8.141     18.05   3.92041         0     52.74     3.512   48.9635    52.289         0         0   
    8.276     18.01   3.89389         0     53.28     3.786   49.1872   52.4834         0         0   
